whole.sig ENV1.sig ENV2.sig ENV3.sig ENV4.sig
CO_0.01 <0.001 <0.001 <0.001 <0.001 <0.001
CO_0.05 <0.001 <0.001 <0.001 <0.001 <0.001
CO_0.1 1 0.953 0.933 0.944 0.982
CO_0.15 0.049 0.865 0.817 0.875 0.938
CO_0.2 0.006 0.895 0.794 0.903 0.894
CO_0.25 <0.001 0.911 0.728 0.901 0.893
CO_0.3 <0.001 0.9 0.712 0.917 0.872
CO_0.35 <0.001 0.876 0.641 0.887 0.849
CO_0.4 <0.001 0.771 0.537 0.788 0.849
CO_0.45 <0.001 0.689 0.435 0.686 0.842
CO_0.5 <0.001 0.64 0.412 0.613 0.794
CO_0.55 <0.001 0.473 0.327 0.52 0.715
CO_0.6 <0.001 0.39 0.239 0.403 0.689
CO_0.65 <0.001 0.28 0.146 0.292 0.624
CO_0.7 <0.001 0.151 0.053 0.163 0.587
CO_0.75 <0.001 0.094 0.021 0.1 0.498
CO_0.8 <0.001 0.091 0.02 0.095 0.462
CO_0.85 <0.001 0.091 0.019 0.085 0.418
CO_0.9 <0.001 0.125 0.036 0.124 0.451
CO_0.95 <0.001 0.155 0.063 0.161 0.527
CO_0.99 <0.001 0.255 0.102 0.22 0.548
CO_1 <0.001 0.255 0.102 0.217 0.554
