f__ f__Acetobacteraceae f__Acidobacteriaceae f__ACK-M1 f__Actinomycetaceae f__Actinosynnemataceae f__Aerococcaceae f__Aeromonadaceae f__AKIW874 f__Alcaligenaceae f__Alicyclobacillaceae f__Alteromonadaceae f__Aurantimonadaceae f__Bacillaceae f__Bacteroidaceae f__Bartonellaceae f__Bdellovibrionaceae f__Beijerinckiaceae f__Bifidobacteriaceae f__Bogoriellaceae f__Bradyrhizobiaceae f__Brevibacteriaceae f__Brucellaceae f__Burkholderiaceae f__Campylobacteraceae f__Cardiobacteriaceae f__Carnobacteriaceae f__Catabacteriaceae f__Caulobacteraceae f__Cellulomonadaceae f__Chromatiaceae f__CL500-29 f__Clostridiaceae f__ClostridialesFamilyXI.IncertaeSedis f__ClostridialesFamilyXIII.IncertaeSedis f__Comamonadaceae f__Coriobacteriaceae f__Corynebacteriaceae f__Coxiellaceae f__Cryptosporangiaceae f__Cyclobacteriaceae f__Cystobacteraceae f__Deinococcaceae f__Dermabacteraceae f__Dermacoccaceae f__Desulfovibrionaceae f__Dethiosulfovibrionaceae f__Dietziaceae f__EB1017 f__Enterobacteriaceae f__Enterococcaceae f__Erysipelotrichaceae f__Erythrobacteraceae f__Eubacteriaceae f__Flavobacteriaceae f__Flexibacteraceae f__Frankiaceae f__Fusobacteriaceae f__Gemmatimonadaceae f__Geodermatophilaceae f__Glycomycetaceae f__Gordoniaceae f__Haliangiaceae f__Halomonadaceae f__Helicobacteraceae f__Hydrogenophilaceae f__Hyphomicrobiaceae f__Hyphomonadaceae f__Iamiaceae f__Intrasporangiaceae f__Isosphaeraceae f__Kineosporiaceae f__Koribacteraceae f__Kouleothrixaceae f__Lachnospiraceae f__Lactobacillaceae f__Legionellaceae f__Leuconostocaceae f__Listeriaceae f__Marinilabiaceae f__Methylobacteriaceae f__Methylococcaceae f__Methylocystaceae f__Methylophilaceae f__Microbacteriaceae f__Micrococcaceae f__Micromonosporaceae f__Moraxellaceae f__Mycobacteriaceae f__Mycoplasmataceae f__Myxococcaceae f__Nakamurellaceae f__Nannocystaceae f__Neisseriaceae f__Nitrosomonadaceae f__Nitrospiraceae f__Nocardiaceae f__Nocardioidaceae f__Nocardiopsaceae f__Nostocaceae f__Oceanospirillaceae f__Opitutaceae f__Oxalobacteraceae f__Paenibacillaceae f__Pasteurellaceae f__Patulibacteraceae f__Peptococcaceae f__Peptostreptococcaceae f__Phyllobacteriaceae f__Planococcaceae f__Polyangiaceae f__Porphyromonadaceae f__Prevotellaceae f__Promicromonosporaceae f__Propionibacteriaceae f__Pseudoalteromonadaceae f__Pseudomonadaceae f__Pseudonocardiaceae f__Rhizobiaceae f__Rhodobacteraceae f__Rhodobiaceae f__Rhodocyclaceae f__Rhodospirillaceae f__Rhodothermaceae f__Rickettsiaceae f__Rikenellaceae f__Rivulariaceae f__Rubrobacteraceae f__Ruminococcaceae f__Sanguibacteraceae f__Saprospiraceae f__Scytonemataceae f__Shewanellaceae f__Sinobacteraceae f__Solibacteraceae f__Solirubrobacteraceae f__Sphingobacteriaceae f__Sphingomonadaceae f__Spirochaetaceae f__Staphylococcaceae f__Streptococcaceae f__Streptomycetaceae f__Streptosporangiaceae f__Symbiobacteriaceae f__Synergistaceae f__Syntrophobacteraceae f__Thermoactinomycetaceae f__Thermotogaceae f__Tsukamurellaceae f__Veillonellaceae f__Verrucomicrobiaceae f__Vibrionaceae f__Victivallaceae f__Williamsiaceae f__Xanthobacteraceae f__Xanthomonadaceae f__Yaniellaceae
M13Urin.140575 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
M64Urin.140764 1 0 0 0 1 0 1 1 0 0 1 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 1 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
M44Uric.140688 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
M12Aptr.140800 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
M41Kner.140735 1 1 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 1 1 0 1 0 1 0 1 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0
F24Plmr.140433 1 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0 0 0 0 1 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 1 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0
M53Tong.140327 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
M42Glns.140719 1 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
F31Indl.140679 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 1 0 0 0 1 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0
M33Fotl.140701 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
