OTUID	M13Urin.140575	M64Urin.140764	M44Uric.140688	M12Aptr.140800	M41Kner.140735	F24Plmr.140433	M53Tong.140327	M42Glns.140719	F31Indl.140679	M33Fotl.140701	F21Aptl.140686	F32Mout.140603	M22Mout.140541	F32Knel.140324	F12Navl.140828	F34Tong.140848	Phylum	Class	Order	Family 	Genus				
15462	10	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae
154802	3	0	29	0	0	2	1	0	3	0	0	2	7	0	0	0	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae
18951	5	0	0	0	0	1	0	0	2	0	0	1	9	0	0	0	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae
217443	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Phyllobacteriaceae
2182	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae
218959	215	0	0	0	0	11	1	2	13	0	0	18	41	5	1	0	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae
221080	8	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae
237040	1	10	4	0	0	2	0	1	0	0	0	1	0	0	0	0	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Alicyclobacillaceae
276632	2	0	0	0	21	0	0	1	0	0	0	0	0	2	1	0	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae
325300	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae
334299	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae
339951	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae
359171	1	0	0	0	0	0	0	0	1	0	0	0	0	19	0	0	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__ClostridialesFamilyXI.IncertaeSedis
470200	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	k__Bacteria	p__Actinobacteria	c__Actinobacteria(class)	o__Actinomycetales	f__Corynebacteriaceae
470599	11	173	276	0	0	0	0	0	2	0	0	0	0	19	0	0	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae
484436	1	1	0	5	22	1	0	2	0	0	0	0	0	3	0	0	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae
495394	8	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae
557799	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	k__Bacteria	p__Actinobacteria	c__Actinobacteria(class)	o__Actinomycetales	f__Corynebacteriaceae
589524	1	1	0	1	34	2	0	7	71	0	22	0	0	25	0	0	k__Bacteria	p__Cyanobacteria	c__	o__	f__
71888	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	p__Actinobacteria	c__Actinobacteria(class)	o__Actinomycetales	f__Actinomycetaceae
72858	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	p__Actinobacteria	c__Actinobacteria(class)	o__Bifidobacteriales	f__Bifidobacteriaceae
85594	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Veillonellaceae
100122	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	p__Actinobacteria	c__Actinobacteria(class)	o__Actinomycetales	f__Brevibacteriaceae
