	MT2.141698	CA1.141704	BB2.141659	CO2.141657	TL3.141709	SN3.141650	SK2.141662	CR1.141682	CF3.141691	BZ1.141724	TL1.141653	GB3.141652	CM1.141723	CL1.141697	HF1.141663	PE7.141734	HF2.141686	GB2.141732	CF1.141675	IE2.141655	PE1.141715	MP2.141695	SN1.141681	DF3.141696	BP1.141702	SR1.141680	SP1.141656	LQ2.141729	VC2.141694	HJ1.141718	KP3.141658	HJ2.141717	SK3.141716	PE6.141700	PE4.141683	SK1.141669	MP1.141661	BF2.141708	BF1.141647	AR3.141705	CF2.141679	SA1.141670	LQ3.141712	AR1.141727	SR3.141674	MT1.141719	IT2.141720	CL3.141664	SF1.141728	SP2.141678	IE1.141648	MD2.141689	KP1.141713	PE5.141692	TL2.141706	HI4.141735	SB1.141730	HI3.141676	CL4.141667	PE3.141731	CO1.141714	RT1.141654	RT2.141710	KP4.141733	DF1.141684	CL2.141671	MD5.141688	IT1.141711	AR2.141703	CO3.141651	HI2.141672	DF2.141726	JT1.141699	GB1.141665	CC1.141721	SF2.141677	VC1.141722
MT2.141698	0.0	10.75	1.93333333	6.21666667	21.83333333	10.35	7.18333333	12.86666667	4.68333333	18.0	21.83333333	7.48333333	13.5	12.18333333	4.3	59.45	4.3	7.48333333	4.64166667	5.0	59.88333333	2.66666667	10.35	10.83333333	3.05	12.1	10.3	28.5	10.9	2.58333333	7.7	2.58333333	6.8	59.45	59.88333333	7.1	2.66666667	5.21666667	5.21666667	74.53333333	4.86666667	11.43333333	28.5	74.53333333	12.11666667	0.0	0.38333333	12.18333333	11.41666667	10.18333333	5.0	11.9	7.7	59.43333333	21.83333333	26.71666667	12.33333333	26.71666667	12.18333333	59.88333333	6.4	15.33333333	15.33333333	7.7	10.83333333	12.18333333	11.6	0.36666667	74.53333333	6.0	26.71666667	10.83333333	12.83333333	7.46666667	1.4	11.41666667	10.9
CA1.141704	10.75	0.0	8.81666667	4.53333333	32.58333333	0.4	17.93333333	2.11666667	6.06666667	28.75	32.58333333	3.26666667	2.75	1.43333333	6.45	48.7	6.45	3.26666667	6.10833333	5.75	49.13333333	13.41666667	0.4	0.08333333	7.7	1.35	0.45	17.75	0.15	8.16666667	3.05	8.16666667	17.55	48.7	49.13333333	17.85	13.41666667	5.53333333	5.53333333	63.78333333	5.88333333	0.68333333	17.75	63.78333333	1.36666667	10.75	11.13333333	1.43333333	0.66666667	0.56666667	5.75	1.15	3.05	48.68333333	32.58333333	15.96666667	1.58333333	15.96666667	1.43333333	49.13333333	4.35	4.58333333	4.58333333	3.05	0.08333333	1.43333333	0.85	11.11666667	63.78333333	4.75	15.96666667	0.08333333	2.08333333	3.28333333	9.35	0.66666667	0.15
BB2.141659	1.93333333	8.81666667	0.0	4.28333334	23.76666666	8.41666667	9.11666666	10.93333334	2.75	19.93333333	23.76666666	5.55	11.56666667	10.25	2.36666667	57.51666667	2.36666667	5.55	2.70833334	3.06666667	57.95	4.6	8.41666667	8.9	1.11666667	10.16666667	8.36666667	26.56666667	8.96666667	0.65	5.76666667	0.65	8.73333333	57.51666667	57.95	9.03333333	4.6	3.28333334	3.28333334	72.6	2.93333334	9.5	26.56666667	72.6	10.18333334	1.93333333	2.31666666	10.25	9.48333334	8.25	3.06666667	9.96666667	5.76666667	57.5	23.76666666	24.78333334	10.4	24.78333334	10.25	57.95	4.46666667	13.4	13.4	5.76666667	8.9	10.25	9.66666667	2.3	72.6	4.06666667	24.78333334	8.9	10.9	5.53333334	0.53333333	9.48333334	8.96666667
CO2.141657	6.21666667	4.53333333	4.28333334	0.0	28.05	4.13333333	13.4	6.65	1.53333334	24.21666667	28.05	1.26666666	7.28333333	5.96666666	1.91666667	53.23333333	1.91666667	1.26666666	1.575	1.21666667	53.66666666	8.88333334	4.13333333	4.61666666	3.16666667	5.88333333	4.08333333	22.28333333	4.68333333	3.63333334	1.48333333	3.63333334	13.01666667	53.23333333	53.66666666	13.31666667	8.88333334	1.0	1.0	68.31666666	1.35	5.21666666	22.28333333	68.31666666	5.9	6.21666667	6.6	5.96666666	5.2	3.96666666	1.21666667	5.68333333	1.48333333	53.21666666	28.05	20.5	6.11666666	20.5	5.96666666	53.66666666	0.18333333	9.11666666	9.11666666	1.48333333	4.61666666	5.96666666	5.38333333	6.58333334	68.31666666	0.21666667	20.5	4.61666666	6.61666666	1.25	4.81666667	5.2	4.68333333
TL3.141709	21.83333333	32.58333333	23.76666666	28.05	0.0	32.18333333	14.65	34.7	26.51666666	3.83333333	0.0	29.31666666	35.33333333	34.01666666	26.13333333	81.28333333	26.13333333	29.31666666	26.475	26.83333333	81.71666666	19.16666666	32.18333333	32.66666666	24.88333333	33.93333333	32.13333333	50.33333333	32.73333333	24.41666666	29.53333333	24.41666666	15.03333333	81.28333333	81.71666666	14.73333333	19.16666666	27.05	27.05	96.36666666	26.7	33.26666666	50.33333333	96.36666666	33.95	21.83333333	21.45	34.01666666	33.25	32.01666666	26.83333333	33.73333333	29.53333333	81.26666666	0.0	48.55	34.16666666	48.55	34.01666666	81.71666666	28.23333333	37.16666666	37.16666666	29.53333333	32.66666666	34.01666666	33.43333333	21.46666666	96.36666666	27.83333333	48.55	32.66666666	34.66666666	29.3	23.23333333	33.25	32.73333333
SN3.141650	10.35	0.4	8.41666667	4.13333333	32.18333333	0.0	17.53333333	2.51666667	5.66666667	28.35	32.18333333	2.86666667	3.15	1.83333333	6.05	49.1	6.05	2.86666667	5.70833333	5.35	49.53333333	13.01666667	0.0	0.48333333	7.3	1.75	0.05	18.15	0.55	7.76666667	2.65	7.76666667	17.15	49.1	49.53333333	17.45	13.01666667	5.13333333	5.13333333	64.18333333	5.48333333	1.08333333	18.15	64.18333333	1.76666667	10.35	10.73333333	1.83333333	1.06666667	0.16666667	5.35	1.55	2.65	49.08333333	32.18333333	16.36666667	1.98333333	16.36666667	1.83333333	49.53333333	3.95	4.98333333	4.98333333	2.65	0.48333333	1.83333333	1.25	10.71666667	64.18333333	4.35	16.36666667	0.48333333	2.48333333	2.88333333	8.95	1.06666667	0.55
SK2.141662	7.18333333	17.93333333	9.11666666	13.4	14.65	17.53333333	0.0	20.05	11.86666666	10.81666667	14.65	14.66666666	20.68333333	19.36666666	11.48333333	66.63333333	11.48333333	14.66666666	11.825	12.18333333	67.06666666	4.51666666	17.53333333	18.01666666	10.23333333	19.28333333	17.48333333	35.68333333	18.08333333	9.76666666	14.88333333	9.76666666	0.38333333	66.63333333	67.06666666	0.08333333	4.51666666	12.4	12.4	81.71666666	12.05	18.61666666	35.68333333	81.71666666	19.3	7.18333333	6.8	19.36666666	18.6	17.36666666	12.18333333	19.08333333	14.88333333	66.61666666	14.65	33.9	19.51666666	33.9	19.36666666	67.06666666	13.58333333	22.51666666	22.51666666	14.88333333	18.01666666	19.36666666	18.78333333	6.81666666	81.71666666	13.18333333	33.9	18.01666666	20.01666666	14.65	8.58333333	18.6	18.08333333
CR1.141682	12.86666667	2.11666667	10.93333334	6.65	34.7	2.51666667	20.05	0.0	8.18333334	30.86666667	34.7	5.38333334	0.63333333	0.68333334	8.56666667	46.58333333	8.56666667	5.38333334	8.225	7.86666667	47.01666666	15.53333334	2.51666667	2.03333334	9.81666667	0.76666667	2.56666667	15.63333333	1.96666667	10.28333334	5.16666667	10.28333334	19.66666667	46.58333333	47.01666666	19.96666667	15.53333334	7.65	7.65	61.66666666	8.0	1.43333334	15.63333333	61.66666666	0.75	12.86666667	13.25	0.68333334	1.45	2.68333334	7.86666667	0.96666667	5.16666667	46.56666666	34.7	13.85	0.53333334	13.85	0.68333334	47.01666666	6.46666667	2.46666666	2.46666666	5.16666667	2.03333334	0.68333334	1.26666667	13.23333334	61.66666666	6.86666667	13.85	2.03333334	0.03333334	5.4	11.46666667	1.45	1.96666667
CF3.141691	4.68333333	6.06666667	2.75	1.53333334	26.51666666	5.66666667	11.86666666	8.18333334	0.0	22.68333333	26.51666666	2.8	8.81666667	7.5	0.38333333	54.76666667	0.38333333	2.8	0.04166666	0.31666667	55.2	7.35	5.66666667	6.15	1.63333333	7.41666667	5.61666667	23.81666667	6.21666667	2.1	3.01666667	2.1	11.48333333	54.76666667	55.2	11.78333333	7.35	0.53333334	0.53333334	69.85	0.18333334	6.75	23.81666667	69.85	7.43333334	4.68333333	5.06666666	7.5	6.73333334	5.5	0.31666667	7.21666667	3.01666667	54.75	26.51666666	22.03333334	7.65	22.03333334	7.5	55.2	1.71666667	10.65	10.65	3.01666667	6.15	7.5	6.91666667	5.05	69.85	1.31666667	22.03333334	6.15	8.15	2.78333334	3.28333333	6.73333334	6.21666667
BZ1.141724	18.0	28.75	19.93333333	24.21666667	3.83333333	28.35	10.81666667	30.86666667	22.68333333	0.0	3.83333333	25.48333333	31.5	30.18333333	22.3	77.45	22.3	25.48333333	22.64166667	23.0	77.88333333	15.33333333	28.35	28.83333333	21.05	30.1	28.3	46.5	28.9	20.58333333	25.7	20.58333333	11.2	77.45	77.88333333	10.9	15.33333333	23.21666667	23.21666667	92.53333333	22.86666667	29.43333333	46.5	92.53333333	30.11666667	18.0	17.61666667	30.18333333	29.41666667	28.18333333	23.0	29.9	25.7	77.43333333	3.83333333	44.71666667	30.33333333	44.71666667	30.18333333	77.88333333	24.4	33.33333333	33.33333333	25.7	28.83333333	30.18333333	29.6	17.63333333	92.53333333	24.0	44.71666667	28.83333333	30.83333333	25.46666667	19.4	29.41666667	28.9
