NUMERICSAM	EASTING	NORTHING	ALT	NAG	CBH	AG	BG	BXYL	PHOS	SOIL_H2O	TOTALPLN	TOTALDI	TOTALMON	SLOPE	ASPECT	CURVATURE	HILLSHADE	MeanSnowDe	TDN	MN	DOC	SAND	CLAY	SILT	DOC_N	MBC_N	MBCfuzzed	pH	AcidoGp1	AcidoGp3	AcidoGp4	AcidoGp7	Acidos	ActinAmyc	ActinRubro	Actinos	AProteoRhi	AProteoRho	Aproteo	BProteoBur	Bproteo	Dproteo	Proteo	Unclass	Cyanobacte	Nitrospira	ActinoOt	BacSphCren	BacSphFlex	BacOt	Bacteros	Gemmats	AProteOt	Gproteo	ProteOt	Porder	NChloroflexi	Nchloroplast	NOD1	NG7	NG8	NG12Delta	NG12T1034	NG13c	NG5	NG9	NBacSpheCren	 NGp16	NChloroGs	NCyanobacteria	NActinRubro	NAProtRhizo	NG6	NCyanobacteria	NAcidoGp3	NAcidoGp1	NG12	NAProtRhodo	NBacSphFlex_Cren	Niastella	G25	G15	G10
20	445129	4433624	3842.454346	3.489192229	6.295808315	1.211949101	22.94935225	2.004723502	33.87966057	4.166666667	3	2	1	34.6942	100.645	-1.18433	63	236.308	6.942200871	3	48.70261032	63	21	17	7.015442397	30	87.209	4.11	4.054054054	1.351351351	5.405405405	1.351351351	13.51351351	1.351351351	6.756756757	8.108108108	0	2.702702703	5.405405405	2.702702703	2.702702703	1.351351351	35.13513514	25.67567568	4.054054054	0	0	0	2.702702703	5.405405405	8.108108108	5.405405405	2.702702703	0	25.67567568	22	0	0	0	2.702702703	6.756756757	1.351351351	6.756756757	2.702702703	1.351351351	4.054054054	1.351351351	0	2.702702703	4.054054054	6.756756757	0	5.405405405	4.054054054	1.351351351	4.054054054	8.108108108	2.702702703	1.351351351	1.351351351	0	2	2
30	446763	4434301	3736.311279	1.008547634	3.03962761	0.343555137	4.811300225	0.694307971	15.6026289	1.01010101	9	6	3	23.3189	157.018	0.641357	99	262.888	3.585858586	3.080808081	13.56060606	76	16	8	3.781690141	54.31967213	127.106	4.5	3.03030303	11.36363636	2.272727273	2.272727273	20.45454545	6.818181818	3.03030303	10.60606061	3.787878788	9.090909091	17.42424242	6.818181818	9.848484848	3.03030303	45.45454545	16.66666667	1.515151515	0	0.757575758	0	2.272727273	0	2.272727273	4.545454545	4.545454545	0	15.15151515	33	1.515151515	1.515151515	0	0	3.03030303	0	1.515151515	0	2.272727273	1.515151515	0	0	1.515151515	0	3.03030303	3.787878788	1.515151515	1.515151515	11.36363636	3.03030303	1.515151515	12.87878788	1.515151515	1.515151515	0	0	3.614457831
115	445044	4433684	3885.400146	7.456769977	11.53764008	0.922457266	35.28486133	2.291088566	39.92029427	9.89010989	0	0	0	27.7893	110.268	-0.638672	83	303.504	6.388616813	1.836207463	41.09308551	78	14	8	6.432235133	103.1702722	161.969	4.39	2.409638554	3.614457831	0	1.204819277	8.43373494	0	1.204819277	2.409638554	1.204819277	0	7.228915663	4.819277108	6.024096386	4.819277108	45.78313253	21.68674699	10.84337349	0	1.204819277	0	1.204819277	4.819277108	6.024096386	8.43373494	6.024096386	7.228915663	20.48192771	2	1.204819277	2.409638554	1.204819277	0	2.409638554	0	7.228915663	0	0	2.409638554	0	2.409638554	1.204819277	8.43373494	1.204819277	1.204819277	3.614457831	10.84337349	3.614457831	2.409638554	7.228915663	2.409638554	1.204819277	1.204819277	0	0	0
135	445051	4433677	3880.624023	3.250067581	9.775702961	0.679697366	28.18812603	1.843689458	35.15752734	6.382978723	2	2	0	26.3922	109.807	-0.623535	88	295.947	4.483820979	2.892707226	37.6889815	74	14	12	8.405550017	4.72430783	13.666	4.01	10.75949367	9.493670886	0	0	23.41772152	3.797468354	2.53164557	6.962025316	1.898734177	5.063291139	9.493670886	5.696202532	5.696202532	1.898734177	39.87341772	20.88607595	0.632911392	0	0.632911392	0	0.632911392	1.265822785	1.898734177	7.594936709	2.53164557	4.430379747	18.35443038	15	0.632911392	0.632911392	1.265822785	2.53164557	1.898734177	0.632911392	10.75949367	0.632911392	2.53164557	0	0	0.632911392	1.265822785	0	2.53164557	1.898734177	3.164556962	0.632911392	9.493670886	10.75949367	11.39240506	5.696202532	0.632911392	0.632911392	1.685393258	0.561797753	0.561797753
145	445044	4433676	3885.400146	2.529998561	5.696144214	0.515471041	15.33818347	1.445536852	42.70846922	12.35955056	0	0	0	27.7893	110.268	-0.638672	83	310.553	4.809869772	3.722457648	46.22887942	78	14	8	9.611253861	6.22360453	23.167	3.71	8.910891089	4.95049505	0	1.98019802	19.8019802	0.99009901	0	2.97029703	0.99009901	4.95049505	5.940594059	3.96039604	3.96039604	0.99009901	22.77227723	27.72277228	5.940594059	0	1.98019802	0	0	4.95049505	4.95049505	14.85148515	0	1.98019802	9.900990099	16	1.98019802	2.97029703	0.99009901	1.98019802	0.99009901	0	6.930693069	0.99009901	0	0.99009901	2.97029703	0.99009901	2.97029703	2.97029703	0	0.99009901	2.97029703	5.940594059	4.95049505	8.910891089	6.930693069	6.930693069	0	0	0.767263427	0.511508951	1.534526854
192	445010	4433616	3897.071289	2.059053689	7.463195522	1.3325952	22.17493073	1.697145535	40.53578354	14.94252874	0	0	0	32.5339	78.6428	-1.08667	98	307.79	5.189655172	5.637931034	44.0862069	78	14	9	8.495016611	4.407747197	24.851	4.98	10.20408163	3.06122449	0	1.020408163	18.36734694	1.020408163	2.040816327	4.081632653	1.020408163	3.06122449	8.163265306	3.06122449	3.06122449	1.020408163	29.59183673	29.59183673	0	0	1.020408163	0	2.040816327	5.102040816	7.142857143	9.183673469	4.081632653	4.081632653	13.26530612	17	0	0	0	1.020408163	0	4.081632653	9.183673467	1.020408163	4.081632653	3.06122449	0	0	1.020408163	1.020408163	2.040816327	1.020408163	2.040816327	1.020408163	3.06122449	10.20408163	13.26530612	5.102040816	0	0	0	0	1.923076923
193	445012	4433682	3903.116455	5.515098541	9.256388798	0.872325651	26.57876523	1.598192486	36.1209979	11.11111111	0	0	0	35.6888	110.551	-0.899414	50	349.631	5.805555556	4.166666667	32.71666667	74	18	9	5.635406699	9.218666667	38.411	4.13	5.208333333	5.208333333	0	1.041666667	16.66666667	9.375	4.166666667	13.54166667	2.083333333	1.041666667	5.208333333	4.166666667	5.208333333	1.041666667	29.16666667	23.95833333	0	0	0	0	4.166666667	5.208333333	9.375	5.208333333	2.083333333	5.208333333	12.5	18	0	0	0	3.125	1.041666667	1.041666667	5.208333333	2.083333333	0	0	1.041666667	4.166666667	2.083333333	0	4.166666667	2.083333333	1.041666667	0	5.208333333	5.208333333	6.25	7.291666667	3.125	3.125	0.821596244	0.234741784	0.352112676
195	445040	4433817	3932.784912	1.857003688	2.352525168	0.557853327	9.584460357	1.034090666	23.63387837	6.382978723	36	25	11	32.9179	121.475	0.0556641	56	95.5209	4.574468085	3.89893617	21.75	78	14	9	4.754651163	5.807639836	22.644	4.29	2.752293578	2.752293578	10.09174312	0	15.59633028	2.752293578	2.752293578	6.422018349	0.917431193	9.174311927	14.67889908	2.752293578	2.752293578	0.917431193	39.44954128	26.60550459	4.587155963	0	0.917431193	0	1.834862385	3.669724771	5.504587156	2.752293578	4.587155963	0.917431193	20.18348624	19	0	0	0	6.422018349	0.917431193	0.917431193	2.752293578	2.752293578	3.669724771	5.504587156	3.669724771	1.834862385	2.752293578	4.587155963	2.752293578	0.917431193	1.834862385	4.587155963	2.752293578	2.752293578	3.669724771	14.67889908	0	0	2.040816327	1.749271137	0.583090379
197	445185	4433921	3927.80542	2.556816429	3.82059763	0.440555105	14.60221364	0.789807156	18.85803678	1.01010101	60	31	29	33.5579	154.173	2.93018	56	65	1.994949495	3.217171717	15.1969697	76	16	9	7.617721519	3.654631083	11.758	4.55	1.538461538	9.230769231	5.384615385	0	16.15384615	13.07692308	6.923076923	21.53846154	3.076923077	17.69230769	23.84615385	3.076923077	3.076923077	0.769230769	43.07692308	9.230769231	0.769230769	0	1.538461538	2.307692308	1.538461538	3.846153846	7.692307692	0	3.076923077	0.769230769	14.61538462	20	0	0.769230769	0	0	0	0.769230769	3.076923077	0	0	4.615384615	5.384615385	4.615384615	0	0	6.923076923	3.076923077	3.076923077	0.769230769	9.230769231	1.538461538	3.846153846	20.76923077	2.307692308	0	3.06122449	5.102040816	1.020408163
199	445301	4433948	3900.930664	7.351958852	8.715651166	1.484140552	29.74136132	1.669518536	40.38486996	5.263157895	49	30	19	33.2322	159.729	-1.40747	61	65	4.373684211	5.926315789	35.70526316	78	13	9	8.163658243	4.925399645	29.189	4.34	4.444444444	5.555555556	3.333333333	0	14.44444444	11.11111111	5.555555556	17.77777778	1.111111111	5.555555556	11.11111111	4.444444444	4.444444444	1.111111111	31.11111111	22.22222222	1.111111111	0	1.111111111	0	2.222222222	7.777777778	10	4.444444444	4.444444444	0	14.44444444	21	1.111111111	1.111111111	0	1.111111111	1.111111111	2.222222222	6.666666667	0	2.222222222	1.111111111	3.333333333	1.111111111	1.111111111	0	5.555555556	1.111111111	1.111111111	1.111111111	5.555555556	4.444444444	8.888888889	10	1.111111111	1.111111111	0	1.01010101	0
