	Label1	Label2	Label3	Label4	Label5	Label6	Label7	Label8	Label9	Label10	Label11	Label12	Label13	Label14	Label15	Label16	Label17	Label18	Label19	Label20
Label1	0	1572.096689	55.94640292	112.2185368	157.0509471	209.4683747	253.6631625	307.0260575	347.5413644	263.0475242	222.6499495	79.7057087	1564.790401	1561.220356	1568.026148	1574.92349	1628.630099	1602.78882	1534.319719	1367.766793
Label2	1572.096689	0	1612.256183	1675.136114	1721.271913	1773.729686	1819.268259	1873.01922	1914.128784	1822.216782	1776.474317	1578.434984	16.2788206	12.04159458	9.899494937	8	76.02631123	32.06243908	133.0601368	275.7716447
Label3	55.94640292	1612.256183	0	63.0634601	109.3846424	162.2744589	207.6174366	261.4670151	302.4979339	213.8410625	171.1052308	53.48831648	1604.593718	1601.256069	1607.965174	1614.898758	1667.530509	1643.163412	1577.512282	1412.511239
Label4	112.2185368	1675.136114	63.0634601	0	46.32493929	99.24716621	144.554488	198.403629	239.4368393	151.4760707	110.4536102	103.7111373	1667.429159	1664.12139	1670.818063	1677.755942	1730.229176	1706.067115	1640.575509	1475.504321
Label5	157.0509471	1721.271913	109.3846424	46.32493929	0	52.95280918	98.23441352	152.0855023	193.1320792	106.0047169	68.30812543	146.812806	1713.52794	1710.245012	1716.931274	1723.872675	1776.216485	1752.222874	1686.895966	1521.809778
Label6	209.4683747	1773.729686	162.2744589	99.24716621	52.95280918	0	45.54119015	99.32774033	140.4279175	54.74486277	33.61547263	197.225759	1765.924687	1762.682615	1769.351576	1776.29868	1828.436764	1804.714105	1739.745384	1574.751091
Label7	253.6631625	1819.268259	207.6174366	144.554488	98.23441352	45.54119015	0	53.85164807	94.9210198	26.40075756	54.91812087	242.4953608	1811.465705	1808.222331	1814.892008	1821.838906	1873.970384	1850.249983	1785.129687	1619.945987
Label8	307.0260575	1873.01922	261.4670151	198.403629	152.0855023	99.32774033	53.85164807	0	41.10960958	55.90169944	101.6070864	295.7025533	1865.189535	1861.964554	1868.626501	1875.575912	1927.607066	1904.014968	1838.979065	1673.735045
Label9	347.5413644	1914.128784	302.4979339	239.4368393	193.1320792	140.4279175	94.9210198	41.10960958	0	94.87360012	141.3152504	336.6927383	1906.297458	1903.073829	1909.735322	1916.684898	1968.699317	1945.124418	1879.996277	1714.618616
Label10	263.0475242	1822.216782	213.8410625	151.4760707	106.0047169	54.74486277	26.40075756	55.90169944	94.87360012	0	46.5295605	243.8134533	1814.208643	1811.102703	1817.712849	1824.678054	1876.162573	1853.313249	1789.943295	1625.803186
Label11	222.6499495	1776.474317	171.1052308	110.4536102	68.30812543	33.61547263	54.91812087	101.6070864	141.3152504	46.5295605	0	198.0807916	1768.400407	1765.338494	1771.929175	1778.899941	1830.189334	1807.607535	1744.937821	1581.332666
Label12	79.7057087	1578.434984	53.48831648	103.7111373	146.812806	197.225759	242.4953608	295.7025533	336.6927383	243.8134533	198.0807916	0	1570.402496	1567.311073	1573.913911	1580.881083	1632.376488	1609.551801	1547.18454	1384.316799
Label13	1564.790401	16.2788206	1604.593718	1667.429159	1713.52794	1765.924687	1811.465705	1865.189535	1906.297458	1814.208643	1768.400407	1570.402496	0	10	6.403124237	12.36931688	73.24616031	44.91102315	144.8861622	279.544272
Label14	1561.220356	12.04159458	1601.256069	1664.12139	1710.245012	1762.682615	1808.222331	1861.964554	1903.073829	1811.102703	1765.338494	1567.311073	10	0	7.810249676	13.89244399	81.27115109	44.01136217	134.9518433	270.7120241
Label15	1568.026148	9.899494937	1607.965174	1670.818063	1716.931274	1769.351576	1814.892008	1868.626501	1909.735322	1817.712849	1771.929175	1573.913911	6.403124237	7.810249676	0	7.071067812	73.4982993	39.3192065	140.431478	278.3738493
Label16	1574.92349	8	1614.898758	1677.755942	1723.872675	1776.29868	1821.838906	1875.575912	1916.684898	1824.678054	1778.899941	1580.881083	12.36931688	13.89244399	7.071067812	0	68.9637586	32.55764119	141.0567262	282.6764935
Label17	1628.630099	76.02631123	1667.530509	1730.229176	1776.216485	1828.436764	1873.970384	1927.607066	1968.699317	1876.162573	1830.189334	1632.376488	73.24616031	81.27115109	73.4982993	68.9637586	0	66.03029608	203.2264747	351.6390195
Label18	1602.78882	32.06243908	1643.163412	1706.067115	1752.222874	1804.714105	1850.249983	1904.014968	1945.124418	1853.313249	1807.607535	1609.551801	44.91102315	44.01136217	39.3192065	32.55764119	66.03029608	0	137.8731301	295.0423698
Label19	1534.319719	133.0601368	1577.512282	1640.575509	1686.895966	1739.745384	1785.129687	1838.979065	1879.996277	1789.943295	1744.937821	1547.18454	144.8861622	134.9518433	140.431478	141.0567262	203.2264747	137.8731301	0	178.4404663
Label20	1367.766793	275.7716447	1412.511239	1475.504321	1521.809778	1574.751091	1619.945987	1673.735045	1714.618616	1625.803186	1581.332666	1384.316799	279.544272	270.7120241	278.3738493	282.6764935	351.6390195	295.0423698	178.4404663	0
