# QIIME v1.4.0-dev OTU table
#OTU ID	Face38.143319	Face32.143355	Face30.143329	Face44.143349	Face17.143354	Face21.143328	Face46.143315	Face13.143318	Face37.143323	Face9.143346	Face10.143341	Face39.143332	Face43.143350	Face18.143342	Face47.143345	Face6.143359	Face26.143322	Face20.143326	Face19.143331	Face8.143357	Face42.143360	Face35.143358	Face12.143333	Face3.143313	Face49.143338	Face14.143311	Face27.143353	Face45.143312	Face23.143337	Face34.143321	Face7.143339	Face24.143324	Face28.143348	Face33.143336	Face15.143344	Face31.143330	Face2.143352	Face11.143343	Face4.143335	Face29.143316	Face50.143317	Face1.143356	Face22.143334	Face25.143320	Face48.143351	Face41.143327	Face36.143314	Face40.143325	Face16.143340	Consensus Lineage
110374	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Micrococcaceae;g__Kocuria;s__Kocuria marina
13321	2	1	1	20	0	5	13	7	0	5	3	0	18	1	18	5	1	3	8	2	0	1	0	4	9	2	0	9	10	2	6	3	2	2	2	4	1	1	4	2	4	0	8	4	2	4	2	3	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Gordoniaceae;g__Gordonia;s__
13534	1	0	1	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	1	0	0	0	1	0	2	1	0	0	0	0	0	0	0	1	0	4	0	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Nocardiaceae;g__Rhodococcus;s__
142287	1	1	2	3	0	1	1	1	0	0	0	1	2	0	0	0	0	0	9	0	1	0	0	0	1	1	0	3	0	2	0	1	0	0	0	0	0	0	1	0	1	0	2	0	0	0	2	1	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Williamsiaceae;g__Williamsia;s__Williamsia muralis
14628	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus longiquaesitum
149109	2	0	1	0	1	0	3	0	27	0	0	3	4	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	2	2	0	3	0	1	0	0	1	0	0	0	1	0	0	0	2	0	25	1	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
15571	2	0	1	4	0	1	1	2	63	1	0	8	1	0	1	0	0	1	1	1	0	0	0	0	0	3	0	2	0	1	1	1	4	0	0	1	1	0	0	1	2	0	5	0	0	0	26	0	1	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sanguinis
157775	5	1	1	1	1	0	0	2	0	0	0	0	4	0	11	0	0	0	1	0	2	0	3	0	0	1	2	3	1	3	0	1	1	1	1	0	1	0	0	0	0	0	0	0	10	5	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus
162721	1	0	0	10	0	2	12	11	0	4	3	0	15	0	11	0	1	3	1	3	3	0	0	8	11	1	0	0	6	2	2	4	0	0	1	0	0	1	2	2	0	0	0	2	0	0	0	1	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__
165690	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__Azospira;s__
173469	2	2	4	2	2	8	4	6	1	8	3	2	10	6	17	0	0	4	2	2	1	5	0	3	2	4	18	0	4	1	4	1	0	1	3	2	0	2	5	3	3	0	4	1	6	6	2	4	1	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus hominis
2182	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__
219107	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae;g__Phyllobacterium;s__
227122	2	1	4	46	1	11	26	13	0	28	23	0	43	0	27	4	6	17	5	30	15	6	22	31	42	11	3	19	10	4	40	13	4	2	9	15	15	0	28	11	6	6	22	8	8	5	0	4	3	k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Micrococcaceae;g__Micrococcus;s__
235419	1	1	0	3	0	0	2	1	0	0	0	0	9	0	5	0	2	0	0	0	1	0	0	0	5	0	0	0	0	0	6	0	0	1	0	2	1	0	2	1	1	0	1	0	2	2	0	5	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__
276632	2	0	0	6	0	1	6	17	4	11	9	6	1	0	0	0	0	2	45	0	18	2	4	3	10	6	1	23	4	4	3	4	2	1	1	1	1	1	2	2	1	0	14	2	0	7	0	6	4	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus
307370	41	9	12	4	33	6	14	24	5	4	22	274	9	32	11	7	5	2	20	11	8	73	60	14	6	76	113	38	18	48	13	33	2	14	33	8	47	9	23	4	9	5	14	0	22	21	4	3	32	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales Family XI. Incertae Sedis;g__Anaerococcus;s__
311573	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__;g__;s__
359171	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	4	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales Family XI. Incertae Sedis;g__Anaerococcus;s__Anaerococcus hydrogenalis
368907	2791	4032	3481	1064	3606	3129	1586	4448	749	3573	3810	3175	2003	2943	3812	4521	4171	3684	3683	2544	3780	4335	4284	4377	3310	3368	5653	2526	4752	4082	4109	4013	5232	4847	3475	3333	3808	3438	2997	5104	2710	680	3296	4105	3949	3702	907	4357	4422	k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Propionibacteriaceae;g__Propionibacterium;s__Propionibacterium acnes
370431	1	0	3	3	0	0	0	0	9	0	3	2	7	0	3	0	0	0	1	0	0	2	0	0	0	2	0	0	1	0	1	0	0	1	0	0	0	5	0	0	1	0	9	0	0	1	15	0	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces odontolyticus
470219	12	5	17	24	21	11	46	17	3	9	22	7	28	5	22	2	5	19	75	14	7	21	29	18	19	34	16	32	13	38	12	55	11	27	23	4	22	0	9	15	14	6	20	9	30	9	4	10	5	k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium tuberculostearicum
471141	3	1	6	2	0	4	6	5	486	2	4	47	4	0	4	0	3	6	4	2	2	6	11	2	3	1	1	7	1	4	6	0	1	5	2	9	3	0	6	3	4	0	9	1	7	4	249	1	2	k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia mucilaginosa
509660	3	0	8	13	0	21	45	16	0	54	53	1	20	1	10	8	5	16	7	33	13	3	18	20	22	6	3	6	11	6	57	9	1	2	16	7	19	0	24	5	15	4	17	5	16	7	2	1	6	k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Dermabacteraceae;g__Brachybacterium;s__
511532	3	0	4	0	0	1	0	0	116	0	7	2	7	0	3	0	2	3	0	5	1	6	1	1	2	5	1	0	5	0	4	4	1	1	5	0	0	0	6	0	1	0	1	0	3	5	93	0	1	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus infantis
538741	1	0	10	0	2	2	17	11	0	11	2	4	37	2	12	0	0	6	3	5	7	5	13	13	4	15	2	16	4	3	6	0	0	1	9	5	14	0	18	3	2	0	1	0	15	9	1	0	4	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__
576765	5	1	3	11	3	7	4	14	1	8	21	1	49	3	6	2	6	13	21	21	6	10	5	17	10	32	4	2	41	5	32	5	7	13	10	4	7	0	11	7	14	6	11	0	2	12	11	2	4	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__
577720	1	0	1	1	1	0	7	9	0	2	6	0	3	0	1	0	0	1	0	7	1	1	8	3	3	5	1	9	0	3	9	3	0	3	7	0	1	78	4	0	0	1	0	0	1	0	4	0	3	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia;s__Massilia timonae
589787	1	1	11	0	0	1	16	3	0	2	12	0	4	0	6	1	0	4	8	1	0	1	7	0	4	2	1	10	0	0	5	3	2	0	3	0	1	0	41	5	0	0	0	1	20	2	0	4	0	k__Bacteria;p__Cyanobacteria;c__;o__;f__;g__;s__
60251	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__
63614	1	0	1	0	0	0	0	1	1	0	0	0	27	0	1	0	0	0	6	3	0	4	0	0	0	1	0	0	11	1	0	1	1	1	2	1	2	0	0	0	3	0	0	0	0	1	9	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__
86047	1	0	2	0	0	3	8	3	212	0	0	2	4	0	2	0	0	2	4	1	1	2	4	0	4	0	1	0	0	2	2	2	1	3	1	1	1	0	2	0	0	0	1	0	6	0	166	2	3	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__Haemophilus parainfluenzae
92651	203	34	316	56	136	24	127	107	11	29	24	268	1447	52	648	13	27	24	41	21	617	145	183	61	34	125	156	515	40	132	35	63	82	75	112	50	49	5	32	170	41	2	28	7	670	195	10	90	28	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__
102425	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella nigrescens
108747	0	1	0	2	1	0	0	6	34	5	1	0	0	1	0	0	1	9	3	0	2	0	8	2	3	1	0	4	1	5	1	1	0	1	1	1	2	0	1	3	1	0	8	3	4	4	16	1	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus thermophilus
111134	0	1	4	0	0	0	8	5	0	0	6	3	5	3	11	0	0	1	59	0	1	23	4	8	3	2	1	1	3	38	4	4	1	1	9	1	18	2	3	2	5	2	2	2	2	4	0	2	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Corynebacteriaceae;g__;s__
12214	0	1	2	2	0	0	0	0	0	2	0	2	10	0	6	2	0	1	1	1	1	0	7	1	1	0	0	0	7	0	0	1	0	1	2	1	0	0	2	0	3	0	1	0	1	2	1	2	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium lacticum
13424	0	1	0	3	0	1	6	8	0	1	0	0	4	0	2	2	0	1	0	1	0	0	0	2	10	0	2	8	0	0	3	4	4	3	1	3	1	0	1	3	1	0	8	0	8	0	0	0	1	k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__
137666	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae;g__Methylobacterium;s__Methylobacterium adhaesivum
15343	0	1	1	3	0	6	35	12	0	11	2	0	21	0	6	3	2	2	13	8	1	0	0	1	0	30	0	36	1	0	11	0	1	2	0	0	1	3	0	2	0	0	1	0	0	2	0	50	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis
18951	0	3	1	6	3	23	29	32	508	11	30	5	43	1	8	1	5	17	16	19	15	7	58	14	6	46	4	10	11	6	27	44	0	7	12	12	12	7	9	6	5	2	14	6	8	8	205	4	18	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pneumoniae
225259	0	2	12	17	4	15	51	10	0	24	57	0	61	1	30	5	9	17	9	10	2	11	16	7	22	12	4	38	8	6	39	14	6	5	7	2	6	29	8	10	8	0	17	0	7	21	0	5	17	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__;g__Aquabacterium;s__
241879	0	1	1	10	0	6	27	9	0	6	4	0	24	0	14	0	4	4	3	3	2	7	9	0	1	3	2	18	6	3	10	9	4	0	3	0	1	0	0	2	0	0	1	3	4	0	1	2	1	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__;g__Paucibacter;s__
245117	0	1	0	0	0	0	0	0	0	0	7	0	10	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Delftia;s__
25242	0	1	0	11	0	1	3	1	0	2	1	0	11	0	1	0	1	2	0	2	2	0	0	3	5	0	0	0	6	0	0	2	1	0	0	0	0	7	2	2	0	0	5	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__
26143	0	1	3	77	0	16	27	6	0	21	18	0	80	2	39	2	4	18	0	25	16	3	5	15	19	5	5	0	11	6	18	19	4	2	10	15	11	0	42	3	10	1	31	2	21	21	2	6	8	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Roseomonas;s__Roseomonas mucosa
360204	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Anoxybacillus;s__
44012	0	1	0	1	0	2	7	0	0	0	0	0	4	0	1	0	0	0	6	1	1	0	0	0	1	0	1	0	1	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	1	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__Paracoccus yeei
470190	0	2	1	0	0	0	1	2	0	6	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	11	2	0	2	1	1	1	0	0	0	0	1	1	1	0	1	0	1	1	0	2	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__
471122	0	1	0	1	0	0	0	1	19	0	1	0	0	0	1	2	0	1	0	0	0	1	2	1	4	3	0	3	2	0	1	0	0	1	1	0	0	0	3	1	0	0	6	0	0	0	11	0	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella melaninogenica
484436	0	2	5	55	2	15	53	16	0	37	38	1	33	1	4	1	10	22	7	25	8	7	33	21	36	12	2	13	19	4	45	9	7	8	20	4	17	1	31	8	10	2	15	2	13	26	0	2	1	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__;s__
516119	0	1	4	2	0	0	2	1	29	1	0	0	6	0	2	0	0	1	1	1	0	1	0	0	0	1	0	1	1	2	1	0	0	1	2	1	0	0	1	3	1	0	7	0	1	0	24	0	1	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__Veillonella parvula
