	Face38.143319	Face32.143355	Face30.143329	Face44.143349	Face17.143354	Face21.143328	Face46.143315	Face13.143318	Face37.143323	Face9.143346	Face10.143341	Face39.143332	Face43.143350	Face18.143342	Face47.143345	Face6.143359	Face26.143322	Face20.143326	Face19.143331	Face8.143357	Face42.143360	Face35.143358	Face12.143333	Face3.143313	Face49.143338	Face14.143311	Face27.143353	Face45.143312	Face23.143337	Face34.143321	Face7.143339	Face24.143324	Face28.143348	Face33.143336	Face15.143344	Face31.143330	Face2.143352	Face11.143343	Face4.143335	Face29.143316	Face50.143317	Face1.143356	Face22.143334	Face25.143320	Face48.143351	Face41.143327	Face36.143314	Face40.143325	Face16.143340
Face38.143319	0.0	0.53937287987	0.47979968772	0.487504127538	0.545611228288	0.611913298448	0.553572411904	0.519347799648	0.511810697158	0.682744867306	0.498542416712	0.51313316347	0.489745031948	0.525201599754	0.425876669765	0.521257809506	0.464956077225	0.520084328383	0.635544136424	0.470619003301	0.53045678678	0.483838660169	0.348554337986	0.574809475356	0.499180981611	0.529180270613	0.562550189435	0.562559936206	0.439820886066	0.490162525944	0.441810291383	0.51858791971	0.543267151138	0.491267106328	0.782431187618	0.504204020676	0.629621736436	0.539687069685	0.572994659565	0.671827460042	0.52130897789	0.667832900956	0.698531667843	0.55387480373	0.505601646874	0.477026856659	0.711314316247	0.59439518576	0.556911183226
Face32.143355	0.53937287987	0.0	0.401696750903	0.452204271737	0.426510699391	0.61167149224	0.731862941372	0.600446945746	0.522582987214	0.640734256863	0.464460580986	0.268217373405	0.54039419043	0.499355228723	0.422100791818	0.388626305734	0.532990959922	0.507721367975	0.5754656089	0.549990056836	0.551417560464	0.361130551396	0.493976524162	0.68770747237	0.551566279733	0.425126027446	0.402489713957	0.695765026842	0.554027540768	0.533181279669	0.53029291212	0.414043003044	0.647106792845	0.38311830022	0.703887360179	0.489515987517	0.538514442916	0.339238646887	0.57237030584	0.55134274926	0.524813778348	0.558546708202	0.594010962458	0.443143324593	0.542360370705	0.509992345351	0.702125044154	0.487086663807	0.593891716798
Face30.143329	0.47979968772	0.401696750903	0.0	0.494497926122	0.488834550344	0.514481456645	0.688457518059	0.529058934006	0.542796357112	0.648962558018	0.413883334651	0.419610373648	0.542483696977	0.413240885975	0.401059575369	0.448713684911	0.601092442041	0.499410293528	0.503107631626	0.472032705897	0.426958755152	0.357390632124	0.474926077872	0.615904179886	0.505526299635	0.33105498963	0.425880799447	0.657646158063	0.487472764471	0.409589267112	0.485742021599	0.403431834297	0.543768407327	0.438921029268	0.751135058317	0.488236593626	0.57015796997	0.341622069063	0.600157595167	0.595917914637	0.529795304427	0.595232490429	0.646265148639	0.488380584697	0.516531989889	0.524887730166	0.659025977801	0.473613168856	0.561602764676
Face44.143349	0.487504127538	0.452204271737	0.494497926122	0.0	0.497696042894	0.554114927236	0.718204237122	0.554180145881	0.592736658472	0.655555337857	0.452747527851	0.522678422973	0.574223690381	0.483615968159	0.494448265872	0.459440975565	0.594070129811	0.563045897548	0.550225569023	0.502800863112	0.567357129323	0.462682876709	0.576025030783	0.639187334871	0.519873612638	0.48214669618	0.510466904006	0.635466375581	0.557194917125	0.44628143191	0.581921964211	0.530624951505	0.636582568564	0.412334667444	0.737334592547	0.321404961857	0.610002151	0.530050193559	0.637126656693	0.632182408157	0.474441356272	0.641682604152	0.586607582255	0.454497806422	0.586712756853	0.590102578101	0.701692183305	0.508026602233	0.621041908164
Face17.143354	0.545611228288	0.426510699391	0.488834550344	0.497696042894	0.0	0.512707904043	0.732455380607	0.645036649147	0.631229396317	0.471442649785	0.550170564722	0.399838978546	0.60027557688	0.567205101191	0.425834404478	0.416476028231	0.582406434695	0.584146514703	0.556182307964	0.529467793997	0.458291564111	0.493163257215	0.561460390905	0.684865528495	0.606274770535	0.460057673986	0.493688457791	0.672071870717	0.564142606778	0.568041245987	0.572387276158	0.359655658746	0.67552416467	0.379901775041	0.628584812367	0.552166451856	0.510708192626	0.347454043432	0.584591949895	0.449747256852	0.527985434504	0.514581238731	0.418180330551	0.412248868804	0.588380425772	0.48615516697	0.683889154249	0.376138308073	0.604680603613
Face21.143328	0.611913298448	0.61167149224	0.514481456645	0.554114927236	0.512707904043	0.0	0.634733610756	0.696868446716	0.736390346923	0.443421679667	0.565522235141	0.592359151027	0.742024561424	0.669672395556	0.568225097209	0.501865795873	0.654251708377	0.689302420952	0.679214440543	0.597993468732	0.587881749713	0.581270452358	0.619486436115	0.748662490551	0.676368045657	0.521290990972	0.606234773935	0.652669425322	0.653578816387	0.634356688113	0.716311494757	0.434457007903	0.710928790616	0.495806659486	0.544913066184	0.577570908185	0.497832232132	0.530563878634	0.742648178311	0.475575100794	0.638326575552	0.490114305673	0.521538263831	0.350261971186	0.728420027921	0.61109221156	0.701371155988	0.641932847589	0.69099794086
Face46.143315	0.553572411904	0.731862941372	0.688457518059	0.718204237122	0.732455380607	0.634733610756	0.0	0.657404705215	0.601146127325	0.771401903928	0.64677948357	0.758246247297	0.638902346223	0.735377252484	0.664615338298	0.775047526453	0.620730440563	0.679555739398	0.714495190267	0.570140772807	0.623112934124	0.702311201944	0.549622598337	0.646666689878	0.622327392745	0.671914356029	0.705422300554	0.368273198897	0.595821317808	0.712764197758	0.664504152078	0.676266031031	0.615022931964	0.666195198879	0.831379787421	0.674024521853	0.791496521775	0.726043910099	0.622997533195	0.79478981759	0.689547895471	0.734017748768	0.820717916448	0.718412997303	0.607571890401	0.532889987845	0.80251929291	0.733045995985	0.62515559689
Face13.143318	0.519347799648	0.600446945746	0.529058934006	0.554180145881	0.645036649147	0.696868446716	0.657404705215	0.0	0.510459952763	0.787495836568	0.550323433579	0.567544016416	0.524087597574	0.506333882234	0.544008038272	0.632068082523	0.617164974137	0.549737941678	0.647558238786	0.499337115763	0.55492107343	0.552687563706	0.529039315981	0.576766731668	0.418990865698	0.6010149859	0.642661339674	0.53930896151	0.522799238294	0.464943512095	0.530336223273	0.645914579828	0.483542047135	0.556934738717	0.829492949646	0.480322864153	0.730375805681	0.645758440826	0.544823343108	0.761009852539	0.508920752	0.75575831867	0.75870163677	0.659106727862	0.509540547326	0.593814344444	0.65687335216	0.649837024717	0.591691815684
Face37.143323	0.511810697158	0.522582987214	0.542796357112	0.592736658472	0.631229396317	0.736390346923	0.601146127325	0.510459952763	0.0	0.770527940518	0.568700345137	0.548789994432	0.473755426106	0.496268725449	0.593477484729	0.628932108514	0.520800629522	0.512588642596	0.576158994461	0.587059477667	0.576980502481	0.495271812246	0.422513967236	0.478811049164	0.520859908335	0.56133777372	0.596870824413	0.606749870187	0.47165504748	0.546380954072	0.448295980153	0.602915940142	0.506592098113	0.603635888977	0.837759646236	0.556879985715	0.709428949054	0.626254754769	0.432359040728	0.747983267086	0.577469919362	0.681517444023	0.74220655733	0.654087526184	0.398951255006	0.507261752042	0.687738807039	0.659470880639	0.570233954178
Face9.143346	0.682744867306	0.640734256863	0.648962558018	0.655555337857	0.471442649785	0.443421679667	0.771401903928	0.787495836568	0.770527940518	0.0	0.696461508174	0.599077050625	0.784211643873	0.743367460739	0.640218507665	0.501733459708	0.678420023188	0.78086549383	0.747256747139	0.716426951994	0.664591309362	0.676935188896	0.697074506413	0.801232311873	0.774116501583	0.651885881248	0.65394119504	0.770712407023	0.74535731792	0.743346351719	0.779586462358	0.578875175316	0.813020737846	0.599140115124	0.42222717014	0.697035386533	0.489521578459	0.588014764588	0.732950255582	0.389697738758	0.668424534464	0.4690392525	0.383759319115	0.489126758658	0.761651187782	0.67407709739	0.753660026135	0.687872830803	0.790106397931
