	Stillton4R2	Stillton4R3	Stillton4R1	HCanyon3R3	HCanyon3R2	HCanyon3R1	Halls9R2	HCanyon2R2	HCanyon2R3	HCanyon2R1	Halls9R1	Stillton10R3	HCanyon0R1	HCanyon0R2	HCanyon0R3	HCanyon7R3	HCanyon7R2	HCanyon7R1	HCanyon1R1	HCanyon1R3	HCanyon1R2	HCanyon10R2	HCanyon10R3	HCanyon10R1	HCanyon11R3	HCanyon11R2	HCanyon11R1	HCanyon6R2	HCanyon6R3	HCanyon6R1	HCanyon5R1	HCanyon5R3	HCanyon5R2	HCanyon4R1	HCanyon4R2	HCanyon4R3	HCanyon12R1	HCanyon12R2	HCanyon12R3	HCanyon8R1	HCanyon8R2	HCanyon8R3	Halls8R2	Stillton10R1	Stillton10R2	Halls8R1	Halls6R1	Halls6R2	Halls4R2	Stillton5R2	Halls4R1	Halls3R1	Halls3R2	Stillton1R2	Stillton1R1	Stillton2R1	Stillton2R2	Stillton2R3	Stillton3R1	Stillton3R3	Stillton3R2	Halls5R1	Halls2R1	Halls2R2	Stillton9R2	Halls1R2	Halls1R1	Halls0R2	Halls0R1	Stillton9R3	Stillton7R3	Stillton9R1	Stillton7R1	Halls10R1	Halls10R2	Stillton7R2	Halls7R1	Halls7R2	Stillton0R2	Stillton0R3	Stillton0R1	Stillton6R1	Stillton6R2	Stillton6R3	HCanyon9R1	HCanyon9R3	HCanyon9R2	CrustControlR1	CrustControlR2	CrustControlR3	Stillton8R3	Stillton11R1	Stillton8R1	Stillton11R3
Stillton4R2	0.0	0.382273294624	0.391416675288	0.560309484808	0.553938232028	0.566136031815	0.557134987546	0.531719852875	0.53655901824	0.567041909667	0.574831935502	0.474244845718	0.776189708931	0.797241309582	0.784124036272	0.539194289149	0.665877547192	0.554857668962	0.746066596617	0.751522854919	0.748585453295	0.56835786215	0.570798042641	0.505926071682	0.582831143875	0.52855255543	0.555250897098	0.568527068157	0.566346578975	0.583972679946	0.558910457622	0.559987492698	0.577951660858	0.516189922282	0.601827528628	0.624113459554	0.513376891954	0.552892298156	0.553185666616	0.552014316498	0.547616166832	0.549015567252	0.535707795107	0.462296292442	0.538798221769	0.614648837651	0.484233643835	0.496757718878	0.509683393195	0.552954619991	0.549133039964	0.473322285448	0.477906252536	0.74000698752	0.740478436173	0.550373678768	0.484475701033	0.474431262772	0.432052935213	0.416032757783	0.424311623405	0.405100405207	0.555082206235	0.539369702484	0.498922151932	0.775415906808	0.749784554425	0.783415206577	0.783710881881	0.545119722685	0.456457811561	0.520138339676	0.489396637518	0.533856905512	0.495270615101	0.447234727235	0.471617748255	0.47619174685	0.762816231617	0.782517927418	0.736437688847	0.570849683125	0.553930362938	0.538127778881	0.583939736961	0.576595686225	0.583328457427	0.551246733479	0.560007142617	0.541948199759	0.551760955594	0.497133850221	0.524398412773	0.494801727008
Stillton4R3	0.382273294624	0.0	0.394399899497	0.586303332083	0.583969320358	0.589363298118	0.588066262733	0.560923487354	0.57767776062	0.601572335069	0.609758664376	0.479910046195	0.779315452075	0.795032626325	0.791711071574	0.563745794923	0.683833494738	0.578652540309	0.754645795641	0.764074726397	0.753698061339	0.584149104488	0.588843077275	0.528347698837	0.594413158276	0.55774407831	0.579991048797	0.58513246508	0.587780110737	0.586778207344	0.57470972671	0.5820196982	0.593568671618	0.555158871988	0.632734373589	0.653406187405	0.547194076841	0.560516044793	0.585465060164	0.559504417239	0.576958110793	0.573444281355	0.569114464296	0.468444771913	0.543866219051	0.6401217906	0.518598404668	0.528784811375	0.495879096417	0.583608736216	0.534016529239	0.512621151343	0.504664103964	0.73918413177	0.749933432793	0.590091691031	0.524107691975	0.519246404275	0.454275671487	0.462195063102	0.448716332054	0.444104252488	0.571862335835	0.529345396726	0.529705041311	0.77406084987	0.75754808904	0.787042507178	0.782599661358	0.549493493461	0.477691511665	0.516050205757	0.499625703036	0.560577062703	0.522423003602	0.480295825589	0.508374299587	0.528626759337	0.763498719138	0.78017621099	0.742440779586	0.584062599027	0.568285236373	0.56414539072	0.586520754672	0.599916413703	0.592648944611	0.576348601492	0.586672226005	0.566307264555	0.574452876615	0.516000214198	0.517236362557	0.509312266677
Stillton4R1	0.391416675288	0.394399899497	0.0	0.580628929798	0.583767102601	0.584463513906	0.573828216898	0.550892933103	0.566056393448	0.584611276938	0.607144746402	0.469209424282	0.781074100354	0.797809039119	0.795527048923	0.557216919336	0.674471865383	0.570402839551	0.759778994683	0.767226018039	0.759152313976	0.584183423897	0.591942476159	0.529350507225	0.60681715155	0.555177188694	0.575126874355	0.583868790939	0.586940661236	0.581534515565	0.562821643814	0.584250873735	0.596389572645	0.544024708263	0.628005145571	0.649892943176	0.519066521533	0.549257756132	0.585665024134	0.562836483618	0.578527645361	0.580500957664	0.574510728774	0.470923059335	0.557970880727	0.644104393777	0.519082685954	0.521274731439	0.488951752223	0.583498177592	0.54216719333	0.492765444818	0.493403206238	0.752036339232	0.756329963502	0.587820892951	0.511649195406	0.499359209064	0.444726425606	0.466371835339	0.432084744224	0.429160559335	0.563628344774	0.51331225186	0.539487397288	0.774138041133	0.763695327063	0.788567345447	0.787235612062	0.554040751479	0.49705344111	0.538515994028	0.513182199948	0.559686756497	0.512989124812	0.472263894043	0.507176108291	0.507960742331	0.767325783332	0.783149812935	0.742724750958	0.578720597467	0.573165008565	0.559043405433	0.600135542378	0.604534599094	0.594098322958	0.572386648819	0.567795094161	0.577338323412	0.565545602863	0.520131706027	0.529926896267	0.503854410402
HCanyon3R3	0.560309484808	0.586303332083	0.580628929798	0.0	0.354600316745	0.345731612479	0.458450145834	0.412488628393	0.385127601086	0.384525100123	0.46823652766	0.585402372425	0.69071344042	0.713804444578	0.693476495058	0.457709184042	0.55308292175	0.475303182122	0.654674045733	0.641176135477	0.666322115311	0.466055758676	0.50320590177	0.472413250039	0.463621293703	0.432763917311	0.453486254954	0.430174126838	0.438634245182	0.434912987895	0.440681773256	0.450336948189	0.422545765978	0.416449154884	0.414666304996	0.438848993112	0.471737648119	0.504271040435	0.439712101711	0.483602818412	0.458907582912	0.446205572204	0.46528819939	0.575228561838	0.543811509839	0.493196498338	0.476689255656	0.45457903264	0.609282443564	0.471532456639	0.597412160187	0.486663734375	0.505477512498	0.661324275604	0.66650820781	0.47932468001	0.579401294383	0.57485592581	0.549799848291	0.507434721309	0.557655017536	0.538199851459	0.539112929359	0.589146816487	0.580938614194	0.635317406774	0.617767317611	0.683932275669	0.682495944055	0.531937645242	0.483045222379	0.545348836298	0.479816400787	0.492479725163	0.490530317149	0.481259366056	0.467550819086	0.472201951768	0.680405495446	0.700924114985	0.670768452462	0.437272951945	0.451462876478	0.450907223476	0.478568857952	0.472196811959	0.495969834006	0.477475667359	0.48812092261	0.505609307727	0.534395178266	0.532576922869	0.524563528549	0.518787247546
HCanyon3R2	0.553938232028	0.583969320358	0.583767102601	0.354600316745	0.0	0.36256949665	0.462707750398	0.414528760004	0.385453766442	0.380087766632	0.46109426257	0.574488221279	0.692644612288	0.714717508733	0.699412891734	0.467073058252	0.563316168524	0.474309745536	0.651121732227	0.65043468158	0.666043304584	0.464168854592	0.498220269993	0.479553556468	0.45842280462	0.429877059678	0.44588780311	0.419369519662	0.425883025257	0.424307243199	0.451596106791	0.426574240559	0.409515246412	0.420465768689	0.417716489314	0.452700670776	0.464638931219	0.504749255647	0.431336995109	0.470838841272	0.452778768072	0.446999609932	0.452053418068	0.585038958921	0.541537645813	0.492370158337	0.489545391911	0.434119427081	0.612813488861	0.464725650565	0.596104351076	0.479618250755	0.485003185584	0.663374157184	0.6690775674	0.495155380615	0.56801243576	0.556873882461	0.533275339629	0.489038123044	0.559614054636	0.519618422762	0.534011167969	0.592589845287	0.567937947673	0.641085830412	0.619898393011	0.682324677777	0.689868333176	0.518694910671	0.485142773974	0.542205972065	0.475088421021	0.484382901309	0.495191749945	0.472094335886	0.463145405134	0.464454800385	0.682544607492	0.696321017933	0.669015110363	0.441292940153	0.459598645042	0.459810845136	0.488592313173	0.469687509602	0.500200542653	0.466429122887	0.472955823322	0.496452829395	0.525512304605	0.522695578635	0.528242152934	0.504740037888
HCanyon3R1	0.566136031815	0.589363298118	0.584463513906	0.345731612479	0.36256949665	0.0	0.452351806146	0.415483559719	0.398796424875	0.381981707704	0.485596583752	0.580926122772	0.683086513009	0.697490417772	0.688360016409	0.473888308307	0.562611936812	0.462587318718	0.640930093945	0.629924888988	0.654075859985	0.470680372129	0.503094520399	0.478832889376	0.486656215192	0.440567014981	0.456712334902	0.432708499988	0.449519180577	0.441765941119	0.444216261284	0.448524323812	0.434403209926	0.437380878857	0.443390188238	0.45666604112	0.461841527684	0.517681811493	0.463612059381	0.485053828711	0.456800424019	0.453171155433	0.460087502347	0.5846812234	0.56301479339	0.486233469981	0.479649954411	0.447597701249	0.603872514737	0.479581685887	0.583900421014	0.49005497706	0.489265134199	0.659034469034	0.658929067552	0.492382688781	0.576872243674	0.566375658845	0.535991712539	0.512316406392	0.562218837522	0.52909642757	0.546707980352	0.574635580387	0.577843069896	0.634498499886	0.61079346502	0.682862811216	0.680004969385	0.533053232222	0.492410258562	0.55407641769	0.497958259231	0.496588659511	0.491914245371	0.486559900804	0.476099427578	0.483735103726	0.675776639614	0.705571713786	0.671232009294	0.46399837549	0.466351736225	0.473878223332	0.484922690257	0.476590958425	0.514953260242	0.475893612019	0.475870677289	0.503286798094	0.540420719576	0.529973957445	0.528281431281	0.51759018574
Halls9R2	0.557134987546	0.588066262733	0.573828216898	0.458450145834	0.462707750398	0.452351806146	0.0	0.447883445295	0.429943464459	0.409064513124	0.344264504725	0.561110815583	0.727520276229	0.75335887058	0.732489014053	0.42997132225	0.546938312206	0.43076590681	0.703134531793	0.702785457767	0.711448710816	0.458866733827	0.460532212318	0.455918418773	0.430493752745	0.41332040453	0.419232496891	0.416828113391	0.424862337935	0.415236907762	0.424754580111	0.439745925494	0.429247944328	0.46015301609	0.497188855337	0.506388612937	0.430362902794	0.453014756694	0.409326408365	0.446654297414	0.420176245854	0.4327591563	0.379587194176	0.56445075535	0.486181550953	0.445575362279	0.484643817074	0.457381539248	0.603436206122	0.521034266478	0.611452811208	0.495762448414	0.506592335264	0.713789910279	0.718833771904	0.545201016787	0.58870881228	0.577858048887	0.549881648961	0.520518662126	0.569727940389	0.53782003718	0.591467619643	0.609359918725	0.541229974286	0.695510553878	0.678552594971	0.731128073941	0.729327731466	0.495514066973	0.484616243082	0.505855538175	0.468205049881	0.418635742636	0.451495851766	0.467519707074	0.454966816944	0.46881471658	0.727424625844	0.748900870942	0.714599525115	0.476284886257	0.501445705613	0.494213445045	0.435383334625	0.433132477363	0.456662613144	0.458390895038	0.464408137476	0.482266698157	0.489571573847	0.469654097776	0.473339949975	0.455118464726
HCanyon2R2	0.531719852875	0.560923487354	0.550892933103	0.412488628393	0.414528760004	0.415483559719	0.447883445295	0.0	0.404179520995	0.388727659604	0.468345488157	0.549328940024	0.709578414217	0.723508997775	0.713925200799	0.455576263999	0.558741865535	0.463222699451	0.67682938985	0.675191090098	0.680563093126	0.4814190318	0.496962587514	0.458027517992	0.47439497384	0.426696806769	0.446896791255	0.445815626173	0.447100684715	0.428454635151	0.435763316753	0.440643510478	0.453870629905	0.459537309642	0.473766452031	0.493725468949	0.439277983407	0.480827841616	0.435088785406	0.465192835869	0.449481849055	0.439870648001	0.458489263366	0.557710461145	0.53366160907	0.508540989086	0.479596366267	0.442946410151	0.590101531162	0.507044011114	0.594261248789	0.481055233469	0.495688280035	0.684872313566	0.685754060798	0.509560123521	0.553944702967	0.555184929823	0.515665559359	0.493960260433	0.546242619661	0.494607801146	0.56214791724	0.58050028593	0.540563202869	0.676350429337	0.650019652436	0.7071511584	0.708147003036	0.500509541656	0.473373726947	0.527838419327	0.488121558797	0.471958873414	0.470218911363	0.467699668195	0.45410589132	0.468097700004	0.698419985628	0.720116768863	0.687680676901	0.445387127997	0.455735454107	0.464991689645	0.476485394101	0.473650110102	0.494958697484	0.457208759974	0.463021112031	0.478933192092	0.51254402377	0.476663703474	0.493775768587	0.476478470226
HCanyon2R3	0.53655901824	0.57767776062	0.566056393448	0.385127601086	0.385453766442	0.398796424875	0.429943464459	0.404179520995	0.0	0.361444528983	0.439367245599	0.566330894525	0.711736423222	0.728837315629	0.708354096579	0.448029116277	0.562533096516	0.452021582021	0.675957137688	0.668258446703	0.679964026606	0.460896823727	0.490816424808	0.428733419477	0.445815433526	0.398447088329	0.430325765526	0.426928785146	0.425434475646	0.428113957425	0.417737787339	0.417613041188	0.431590973836	0.425192263132	0.447416361784	0.479954328128	0.419105789781	0.489487879426	0.414920465304	0.464892486774	0.430019204227	0.425623148959	0.421181481291	0.559334675708	0.52362238711	0.484457264025	0.472472195267	0.453605919538	0.603855889606	0.481356798038	0.610285284262	0.485571399694	0.482524313016	0.686043819813	0.673445656096	0.475440520725	0.540477801825	0.525423272042	0.526949949975	0.46471863963	0.540179528785	0.498629726121	0.54926855623	0.588795278973	0.551304740705	0.662244843953	0.637960092157	0.700227786086	0.702417153231	0.508621067752	0.466959011796	0.52087815658	0.471834798303	0.46060821035	0.476294517052	0.455297300695	0.436312023611	0.441728224409	0.701682062543	0.711875547629	0.681906352525	0.462537540839	0.490848539938	0.472353062362	0.484096309438	0.449507946009	0.487421859908	0.452045887838	0.438454863364	0.462408167813	0.515456006466	0.509031577782	0.509441850844	0.495686453442
HCanyon2R1	0.567041909667	0.601572335069	0.584611276938	0.384525100123	0.380087766632	0.381981707704	0.409064513124	0.388727659604	0.361444528983	0.0	0.454633280595	0.582635621853	0.707912554104	0.722257776622	0.708462144382	0.441566044862	0.534453165883	0.42664191335	0.676955919301	0.66343689429	0.678341781539	0.442543616102	0.497919293873	0.456719821741	0.432013882772	0.396059530935	0.428966840449	0.410839210322	0.426218627557	0.406954252133	0.416631599644	0.413563495656	0.41366014112	0.439771880651	0.454050692681	0.462327913958	0.41992903626	0.485996535935	0.407840817122	0.441733317446	0.413022684081	0.408822227859	0.440297005744	0.5881972363	0.535021530589	0.473964462468	0.47020063594	0.450370943322	0.609643606143	0.487411548649	0.62138814384	0.495623098076	0.488678891103	0.691158070649	0.689569094328	0.493748269889	0.571888742292	0.555979805507	0.541831963172	0.492944864273	0.561396432419	0.526201274452	0.563187591403	0.589935301137	0.566591084371	0.664861104653	0.641446377111	0.701281223844	0.704001113129	0.50747866577	0.490340401364	0.523998964451	0.487126179475	0.4694153034	0.478435126435	0.47062076488	0.460885814339	0.457402967406	0.707633320217	0.720165598065	0.688254863893	0.457310194791	0.477360291229	0.471076147759	0.458597628257	0.447151524807	0.481116337608	0.451710091205	0.472765639222	0.490220413205	0.514851228572	0.517242656946	0.507701866381	0.499553527988
Halls9R1	0.574831935502	0.609758664376	0.607144746402	0.46823652766	0.46109426257	0.485596583752	0.344264504725	0.468345488157	0.439367245599	0.454633280595	0.0	0.578254150137	0.745189206089	0.761081079305	0.747778043238	0.444788573194	0.558141564634	0.44552755863	0.714539249748	0.713256418398	0.728364004942	0.4619867362	0.463277414447	0.457712834343	0.437061115715	0.433778641456	0.431167398777	0.422526407071	0.424693270252	0.422536839493	0.455877139948	0.464820696561	0.436175614058	0.474121489459	0.502442274303	0.510888415471	0.466361101825	0.465436661211	0.422739541765	0.466837938413	0.432050808518	0.446705079363	0.366881097176	0.584771138758	0.480837812931	0.458044156786	0.505956019295	0.476499991041	0.639977381353	0.523238604314	0.619094392421	0.512078468475	0.531945821721	0.727674238476	0.717503361858	0.554215167119	0.60609853984	0.600952560439	0.581231050668	0.531358800178	0.598211968458	0.554959971525	0.618388130837	0.635854331838	0.542929558169	0.702122221051	0.684730572316	0.741219783642	0.743962655605	0.488480470049	0.49950641821	0.503117749273	0.495441579453	0.417522561401	0.461038757322	0.50488896669	0.476760321658	0.485482347217	0.742385610139	0.75504343246	0.726572442489	0.486344446933	0.508629547693	0.507131220293	0.437852929655	0.430312559667	0.445899356271	0.497619287236	0.474769138446	0.502221756368	0.477184671042	0.491267969456	0.463881992189	0.476149661667
Stillton10R3	0.474244845718	0.479910046195	0.469209424282	0.585402372425	0.574488221279	0.580926122772	0.561110815583	0.549328940024	0.566330894525	0.582635621853	0.578254150137	0.0	0.779519377947	0.79775580641	0.789044842767	0.561681574866	0.657733284662	0.564686335148	0.752511987622	0.763040754069	0.752981637948	0.573815947327	0.585101517174	0.528604069294	0.591646247274	0.546155178322	0.579943394066	0.577408501553	0.575001288601	0.577320334932	0.563966325588	0.585818294798	0.588373230655	0.562779986786	0.628140175168	0.640846248971	0.520926634082	0.529531879489	0.580361846776	0.558216983934	0.574971871193	0.569305241713	0.571016550292	0.391772037513	0.481956348268	0.631671258963	0.521096706322	0.517829165043	0.530194287733	0.596356153686	0.568950058844	0.535907128861	0.531726759855	0.750634061392	0.749095590884	0.608594669659	0.562916028679	0.552122034867	0.50021855927	0.50345101345	0.495244251598	0.493154193129	0.595667642731	0.57975465843	0.443978838196	0.775371154614	0.764910642713	0.795463140089	0.792243648548	0.48336680317	0.495654122774	0.453549614067	0.501494904984	0.539674734015	0.494782624424	0.471729245699	0.520665771132	0.513284370332	0.769760071024	0.789419934012	0.751148174913	0.568451728148	0.564866096561	0.562923348209	0.581644514499	0.591970838528	0.57745495073	0.555548520297	0.563689546871	0.55032563558	0.494435718426	0.43942619037	0.467731082156	0.4552960585
HCanyon0R1	0.776189708931	0.779315452075	0.781074100354	0.69071344042	0.692644612288	0.683086513009	0.727520276229	0.709578414217	0.711736423222	0.707912554104	0.745189206089	0.779519377947	0.0	0.387183864476	0.384641076947	0.740008927446	0.723347084923	0.727314798211	0.451032388712	0.440489238658	0.445883860778	0.716029691042	0.732074178077	0.733759437162	0.732706294278	0.730957367352	0.732067246808	0.724983493714	0.727225744269	0.715559691738	0.708246555272	0.710049190032	0.717174395032	0.715927187809	0.673567652825	0.676842167997	0.723250659142	0.731659602418	0.726966836109	0.736203576369	0.725945939833	0.736499438747	0.729475827592	0.786323575249	0.773410694328	0.65357464111	0.72409618344	0.702100563042	0.782737657373	0.689329060239	0.75333414176	0.740802692263	0.745312686695	0.545514594385	0.598620782142	0.704597641195	0.765828619005	0.755961882304	0.763686762775	0.743835698752	0.760303491502	0.75882552781	0.705285713793	0.741029185794	0.775661755043	0.516333109179	0.531491616877	0.471751430921	0.474045533078	0.750581926339	0.753207145999	0.774678354083	0.748776415723	0.741729950414	0.749520994997	0.748439641617	0.744381336437	0.744737436045	0.520044200922	0.52352723305	0.520897891991	0.694067793339	0.711890114881	0.700920527492	0.728875258621	0.73466737081	0.74293546044	0.716086084572	0.719649621757	0.742994985407	0.762822019756	0.760108656842	0.758522653717	0.760978404109
HCanyon0R2	0.797241309582	0.795032626325	0.797809039119	0.713804444578	0.714717508733	0.697490417772	0.75335887058	0.723508997775	0.728837315629	0.722257776622	0.761081079305	0.79775580641	0.387183864476	0.0	0.371537034399	0.766268810357	0.743393203613	0.750530662299	0.481915961822	0.457017115659	0.473373711269	0.737494808851	0.764539773903	0.753813427909	0.757158639936	0.75332569923	0.756917884771	0.749447807053	0.748488262021	0.741889919694	0.736312964393	0.737325989392	0.733225434128	0.737588589294	0.694206228299	0.699434455655	0.741881623834	0.757592727309	0.751697100595	0.754253877871	0.750115638335	0.755367380793	0.754461777097	0.803801839637	0.799416479777	0.676966087156	0.748118913131	0.727291866802	0.798845065475	0.702707464154	0.768441262123	0.75678343232	0.762435552203	0.535823580456	0.610755684736	0.725810012835	0.780838390172	0.767894989207	0.773000334461	0.761660072093	0.778613179254	0.776347826437	0.724913425384	0.758049981855	0.796130720764	0.533422080271	0.527962749493	0.470291253567	0.463940619486	0.771087088338	0.77240661545	0.793486769237	0.763878762435	0.763815429494	0.767983258288	0.760898496022	0.76105756217	0.764687228776	0.525628430257	0.519712262208	0.526624072084	0.718487793577	0.729169127362	0.729728498387	0.75054386356	0.754779476702	0.759711861798	0.734230460035	0.737974925018	0.758555108202	0.780570653076	0.782420255862	0.778041509041	0.771966633344
HCanyon0R3	0.784124036272	0.791711071574	0.795527048923	0.693476495058	0.699412891734	0.688360016409	0.732489014053	0.713925200799	0.708354096579	0.708462144382	0.747778043238	0.789044842767	0.384641076947	0.371537034399	0.0	0.751828165706	0.733782750391	0.735326106107	0.504731950603	0.465313117489	0.47698796095	0.726306328123	0.740421556496	0.737333266626	0.739189131765	0.72854208207	0.737397999352	0.72715369983	0.729501368888	0.720964078402	0.712050734577	0.71377614704	0.713438213912	0.721616579421	0.676549189031	0.6806987047	0.730624892687	0.746498143604	0.729571527967	0.745503891513	0.734571942132	0.734715590495	0.735632999902	0.794404227777	0.784111755898	0.65245155089	0.737868089667	0.707602338683	0.795175764856	0.694484089105	0.769896310065	0.744378214964	0.750537067625	0.549372453588	0.615256583024	0.705672802269	0.774081132895	0.7591594151	0.768778160572	0.748961546086	0.76711484057	0.766694830034	0.711047971379	0.753626449081	0.785765597253	0.526705472597	0.529337525864	0.465364429899	0.471370545795	0.764199060595	0.755092068973	0.784225871488	0.749706586923	0.746051633479	0.759574245009	0.756343275592	0.743799702282	0.751867358808	0.538166549651	0.528027983591	0.535258272239	0.70156197095	0.723048322812	0.714919639185	0.74009384958	0.737230837739	0.748815316091	0.72285720294	0.731477135837	0.745941797919	0.771373824982	0.768650843264	0.765633794197	0.76321996359
HCanyon7R3	0.539194289149	0.563745794923	0.557216919336	0.457709184042	0.467073058252	0.473888308307	0.42997132225	0.455576263999	0.448029116277	0.441566044862	0.444788573194	0.561681574866	0.740008927446	0.766268810357	0.751828165706	0.0	0.516548229317	0.381032039143	0.705686683097	0.712416589715	0.724704723856	0.427314977099	0.418692067341	0.426133248712	0.416123037575	0.393308582342	0.400068412893	0.397305505747	0.404099135484	0.398696488855	0.418077607456	0.423350098443	0.424238120121	0.445928317342	0.491649219046	0.497164322853	0.449646313462	0.429184914277	0.397858328044	0.417942974568	0.367116205883	0.382745872792	0.411036893022	0.55832143717	0.481027663039	0.492279429842	0.463446317139	0.467054893823	0.576248019023	0.511591082045	0.580174306153	0.464441279153	0.477353167931	0.718249060879	0.717958236212	0.529495173753	0.559108995465	0.566547586047	0.543308190039	0.498531559163	0.544854206623	0.517251531218	0.563966713661	0.57610433381	0.537955127996	0.707150823962	0.689393414059	0.744632694831	0.741215613975	0.501382841349	0.470485021909	0.511514604662	0.460127008777	0.441366228451	0.442058096002	0.453761294922	0.462235830697	0.476349873406	0.739042985171	0.758056273085	0.71839658208	0.464686429272	0.461360369758	0.45907933679	0.401512899854	0.385543114563	0.419707493356	0.481462898945	0.478255877971	0.496011531242	0.487406093275	0.477005121163	0.466791653749	0.464834027937
