	Stillton4R2	Stillton4R3	Stillton4R1	HCanyon3R3	HCanyon3R2	HCanyon3R1	Halls9R2	HCanyon2R2	HCanyon2R3	HCanyon2R1	Halls9R1	Stillton10R3	HCanyon0R1	HCanyon0R2	HCanyon0R3	HCanyon7R3	HCanyon7R2	HCanyon7R1	HCanyon1R1	HCanyon1R3	HCanyon1R2	HCanyon10R2	HCanyon10R3	HCanyon10R1	HCanyon11R3	HCanyon11R2	HCanyon11R1	HCanyon6R2	HCanyon6R3	HCanyon6R1	HCanyon5R1	HCanyon5R3	HCanyon5R2	HCanyon4R1	HCanyon4R2	HCanyon4R3	HCanyon12R1	HCanyon12R2	HCanyon12R3	HCanyon8R1	HCanyon8R2	HCanyon8R3	Halls8R2	Stillton10R1	Stillton10R2	Halls8R1	Halls6R1	Halls6R2	Halls4R2	Stillton5R2	Halls4R1	Halls3R1	Halls3R2	Stillton1R2	Stillton1R1	Stillton2R1	Stillton2R2	Stillton2R3	Stillton3R1	Stillton3R3	Stillton3R2	Halls5R1	Halls2R1	Halls2R2	Stillton9R2	Halls1R2	Halls1R1	Halls0R2	Halls0R1	Stillton9R3	Stillton7R3	Stillton9R1	Stillton7R1	Halls10R1	Halls10R2	Stillton7R2	Halls7R1	Halls7R2	Stillton0R2	Stillton0R3	Stillton0R1	Stillton6R1	Stillton6R2	Stillton6R3	HCanyon9R1	HCanyon9R3	HCanyon9R2	CrustControlR1	CrustControlR2	CrustControlR3	Stillton8R3	Stillton11R1	Stillton8R1	Stillton11R3
Stillton4R2	0.0	0.466914589944	0.737230837739	0.499754656883	0.461110834446	0.535269648954	0.430312559667	0.50602017602	0.398907963454	0.385543114563	0.481990597012	0.407147630724	0.433132477363	0.476590958425	0.73238246211	0.500619089271	0.469687509602	0.447151524807	0.678925967313	0.473845357146	0.72195798272	0.583483327193	0.729209284148	0.488456951633	0.595605572308	0.449507946009	0.483355549067	0.508177775754	0.751057913532	0.429588200228	0.405837511494	0.514555505613	0.50429079479	0.472196811959	0.390053337651	0.386221544989	0.509728925029	0.540776235761	0.498481495424	0.469998847348	0.419989320987	0.497208400838	0.492076550075	0.730959203351	0.491176058784	0.450173016114	0.754779476702	0.391561139267	0.414314605777	0.489990319341	0.604534599094	0.591970838528	0.567943108251	0.473650110102	0.54833673041	0.598175997432	0.430914731843	0.486839676437	0.577086880872	0.528426864992	0.599916413703	0.596295806644	0.467458755307	0.425490532762	0.490510913496	0.476723721999	0.576595686225	0.439205711733	0.357577947444	0.389838155456	0.609813098874	0.574495249786	0.543617417816	0.716006894008	0.708405733562	0.502107685445	0.499574407824	0.713480834183	0.391892960596	0.379414287973	0.692777451397	0.73466737081	0.58830019919	0.702303554816	0.399613260864	0.403381193872	0.401648853839	0.465309656656	0.48897358475	0.392164740157	0.425327941946	0.694760995468	0.471807510383	0.520853627861
Stillton4R3	0.466914589944	0.0	0.759574245009	0.474407567218	0.480504203807	0.49834138815	0.461038757322	0.461887689433	0.471044213435	0.442058096002	0.453880508128	0.475469404707	0.451495851766	0.491914245371	0.758390238288	0.565988832919	0.495191749945	0.478435126435	0.709775531566	0.45548847169	0.722603087679	0.567197195248	0.741105230532	0.522476017271	0.544162566538	0.476294517052	0.437363619265	0.444335941746	0.763465358478	0.463772410786	0.48527686872	0.466063285266	0.541533294805	0.490530317149	0.478705091066	0.450607276737	0.458141943848	0.522782894338	0.434756679847	0.440071504731	0.460721843285	0.551447266874	0.440773881574	0.758764863084	0.469212455182	0.388686019258	0.767983258288	0.466552944314	0.44632196069	0.492812116316	0.512989124812	0.494782624424	0.503150147999	0.470218911363	0.497766049239	0.536445649015	0.442117143041	0.473421482456	0.508038666013	0.494062040788	0.522423003602	0.549803799735	0.477662682128	0.471616093651	0.430760829067	0.450557565612	0.495270615101	0.454240230808	0.450839634189	0.469661748438	0.562743656151	0.533128040668	0.534705159512	0.728005037945	0.724283097206	0.473889942227	0.478791899776	0.728857884971	0.454004225931	0.462058494559	0.727588563477	0.749520994997	0.516476683412	0.722847276536	0.457367134569	0.474212360701	0.46934792322	0.464398133832	0.462409647031	0.461481639033	0.487699323916	0.720531690469	0.480845493421	0.468259592774
Stillton4R1	0.737230837739	0.759574245009	0.0	0.764199060595	0.731477135837	0.766694830034	0.747778043238	0.750537067625	0.729501368888	0.751828165706	0.707602338683	0.729571527967	0.732489014053	0.688360016409	0.465364429899	0.733782750391	0.699412891734	0.708462144382	0.529337525864	0.730624892687	0.549372453588	0.711047971379	0.538166549651	0.65245155089	0.769896310065	0.708354096579	0.765633794197	0.755092068973	0.528027983591	0.712050734577	0.740421556496	0.784225871488	0.676549189031	0.693476495058	0.739189131765	0.735326106107	0.784111755898	0.694484089105	0.743799702282	0.76321996359	0.746498143604	0.6806987047	0.749706586923	0.471370545795	0.737868089667	0.746051633479	0.371537034399	0.737397999352	0.72854208207	0.745941797919	0.795527048923	0.789044842767	0.768778160572	0.713925200799	0.785765597253	0.795175764856	0.735632999902	0.714919639185	0.794404227777	0.748961546086	0.791711071574	0.774081132895	0.721616579421	0.71377614704	0.756343275592	0.723048322812	0.784124036272	0.737333266626	0.74009384958	0.72715369983	0.753626449081	0.7591594151	0.705672802269	0.535258272239	0.615256583024	0.744378214964	0.771373824982	0.47698796095	0.734715590495	0.734571942132	0.526705472597	0.384641076947	0.76711484057	0.504731950603	0.745503891513	0.720964078402	0.726306328123	0.72285720294	0.768650843264	0.748815316091	0.713438213912	0.465313117489	0.70156197095	0.751867358808
HCanyon3R3	0.499754656883	0.474407567218	0.764199060595	0.0	0.502648593985	0.517987659571	0.488480470049	0.521908418267	0.517451860061	0.501382841349	0.48523213046	0.52833993186	0.495514066973	0.533053232222	0.760992724141	0.60683022226	0.518694910671	0.50747866577	0.716635909802	0.515040647717	0.72546419139	0.593642534278	0.744102090979	0.567403844053	0.575760705912	0.508621067752	0.412398205393	0.49809889202	0.76668276888	0.515358441426	0.528023975848	0.365910677719	0.569616202684	0.531937645242	0.53505648429	0.488905811915	0.416514244349	0.553294391007	0.505023525291	0.429801319897	0.482473449904	0.587863084758	0.480460688731	0.757471514826	0.505168212184	0.481541060639	0.771087088338	0.515229926347	0.492410235381	0.517349660531	0.554040751479	0.48336680317	0.544827544039	0.500509541656	0.415941045272	0.574619798203	0.491211250791	0.527508133493	0.484714214516	0.533662484636	0.549493493461	0.603969087032	0.511342824686	0.529152259174	0.467117622846	0.529421441747	0.545119722685	0.499155475324	0.503035814785	0.503672426726	0.601381546141	0.584603537038	0.592377121391	0.721337731428	0.712575912958	0.52272346969	0.408163032709	0.732601734764	0.507486469259	0.495859960399	0.739195197247	0.750581926339	0.584667219668	0.726981033389	0.496972091777	0.512048630629	0.508883221017	0.510656289559	0.454536940239	0.507838977155	0.527398068713	0.729075720135	0.532231003436	0.513051525435
HCanyon3R2	0.461110834446	0.480504203807	0.731477135837	0.502648593985	0.0	0.526568944889	0.474769138446	0.510567863889	0.467508403193	0.478255877971	0.500406351719	0.424717556721	0.464408137476	0.475870677289	0.727205868074	0.571882858307	0.472955823322	0.472765639222	0.683090560849	0.420146100099	0.71028166927	0.579292684025	0.712843682905	0.526762146348	0.610964841563	0.438454863364	0.507893292479	0.499617565506	0.730775756328	0.471867828334	0.493528472488	0.531331478743	0.541311380884	0.48812092261	0.460140796724	0.454604329244	0.534583447932	0.531758548316	0.479659613677	0.488972712424	0.46863506316	0.547690523587	0.501183760906	0.729508317174	0.522650945677	0.480179896066	0.737974925018	0.453248327231	0.421257590198	0.346065321707	0.567795094161	0.563689546871	0.546987628644	0.463021112031	0.550013591934	0.614133920807	0.448655001748	0.5150361299	0.556077665078	0.508299557168	0.586672226005	0.566505723029	0.496933706957	0.453036098994	0.462720367455	0.509416977673	0.560007142617	0.446728848775	0.461899900769	0.443203903176	0.589233259944	0.539956737277	0.542961100255	0.69841507842	0.690895527759	0.507500677289	0.513236270442	0.694966643485	0.466621154447	0.455525910599	0.698807526013	0.719649621757	0.570308408243	0.692040470911	0.465419732355	0.460108051454	0.477337906914	0.333256111138	0.499419418981	0.494487056568	0.468568591897	0.694437471953	0.51633127072	0.488778393834
HCanyon3R1	0.535269648954	0.49834138815	0.766694830034	0.517987659571	0.526568944889	0.0	0.554959971525	0.458882129308	0.526429142719	0.517251531218	0.479066491418	0.526800916496	0.53782003718	0.52909642757	0.760943260852	0.633548019616	0.519618422762	0.526201274452	0.725096777196	0.476882837716	0.733229061942	0.528236507174	0.73886129659	0.588700376385	0.551721225203	0.498629726121	0.505608441562	0.45027731803	0.764642709691	0.504703408137	0.532356245261	0.499712628945	0.568945501938	0.538199851459	0.544160595298	0.510875309041	0.515187143905	0.542792980824	0.476708461398	0.488042969217	0.510090375878	0.586015036989	0.47387752962	0.766187130584	0.454760579828	0.512317536276	0.776347826437	0.516844292747	0.506838559271	0.514146954283	0.429160559335	0.493154193129	0.433521658431	0.494607801146	0.508811081704	0.506187529617	0.521142174979	0.511972383073	0.475885904049	0.425391779323	0.444104252488	0.491078639051	0.488112859677	0.518376700039	0.463330811875	0.530449216812	0.405100405207	0.467712446684	0.547320850064	0.526817155663	0.507959782082	0.462538104936	0.512656953564	0.72089858451	0.726093551224	0.454259501839	0.517734395404	0.735909369696	0.51305858016	0.518369326801	0.74495049333	0.75882552781	0.42570349381	0.724854021849	0.51326369937	0.54407773672	0.532126547779	0.522470246611	0.490258107216	0.548403326736	0.529501638446	0.739816203659	0.540030759813	0.463154107726
Halls9R2	0.430312559667	0.461038757322	0.747778043238	0.488480470049	0.474769138446	0.554959971525	0.0	0.531945821721	0.424693270252	0.444788573194	0.476499991041	0.422739541765	0.344264504725	0.485596583752	0.741219783642	0.558141564634	0.46109426257	0.454633280595	0.684730572316	0.466361101825	0.727674238476	0.618388130837	0.742385610139	0.458044156786	0.619094392421	0.439367245599	0.463881992189	0.49950641821	0.75504343246	0.455877139948	0.463277414447	0.503117749273	0.502442274303	0.46823652766	0.437061115715	0.44552755863	0.480837812931	0.523238604314	0.476760321658	0.476149661667	0.465436661211	0.510888415471	0.495441579453	0.743962655605	0.505956019295	0.417522561401	0.761081079305	0.431167398777	0.433778641456	0.502221756368	0.607144746402	0.578254150137	0.581231050668	0.468345488157	0.542929558169	0.639977381353	0.366881097176	0.507131220293	0.584771138758	0.531358800178	0.609758664376	0.60609853984	0.474121489459	0.464820696561	0.50488896669	0.508629547693	0.574831935502	0.457712834343	0.437852929655	0.422526407071	0.635854331838	0.600952560439	0.554215167119	0.726572442489	0.717503361858	0.512078468475	0.477184671042	0.728364004942	0.446705079363	0.432050808518	0.702122221051	0.745189206089	0.598211968458	0.714539249748	0.466837938413	0.422536839493	0.4619867362	0.497619287236	0.491267969456	0.445899356271	0.436175614058	0.713256418398	0.486344446933	0.485482347217
HCanyon2R2	0.50602017602	0.461887689433	0.750537067625	0.521908418267	0.510567863889	0.458882129308	0.531945821721	0.0	0.501793360423	0.477353167931	0.468515459459	0.499903646161	0.506592335264	0.489265134199	0.737205894466	0.594820160194	0.485003185584	0.488678891103	0.691830030283	0.460949491291	0.701985765025	0.522393143922	0.723220838066	0.555576616193	0.551286151618	0.482524313016	0.505613950579	0.456050742751	0.74988125394	0.490628042983	0.505264724195	0.519319050998	0.53561440762	0.505477512498	0.521650844157	0.482471835226	0.538091181334	0.482707909071	0.431643117467	0.502214869718	0.510676844456	0.544640450264	0.465110647283	0.743326457743	0.471274590897	0.487892038779	0.762435552203	0.48498528174	0.469516123659	0.523255600331	0.493403206238	0.531726759855	0.432743005778	0.495688280035	0.535765045871	0.517587329278	0.484674181316	0.492868817625	0.54347473486	0.424709278332	0.504664103964	0.472606250363	0.460518589334	0.495810279202	0.434045226993	0.495902300369	0.477906252536	0.465830912379	0.519530732348	0.500353875218	0.528862012345	0.460133303711	0.487669007937	0.699777491266	0.706232205728	0.36741978595	0.53284103382	0.717063577345	0.479029201797	0.470118128957	0.711463069591	0.745312686695	0.460493904523	0.710851709963	0.487065847276	0.51138313218	0.508172151292	0.492416020323	0.519875280172	0.535028999579	0.504475278036	0.710565825917	0.499523472599	0.444474377451
HCanyon2R3	0.398907963454	0.471044213435	0.729501368888	0.517451860061	0.467508403193	0.526429142719	0.424693270252	0.501793360423	0.0	0.404099135484	0.468035866851	0.386683155672	0.424862337935	0.449519180577	0.720152877351	0.516609328815	0.425883025257	0.426218627557	0.668480489697	0.44780740001	0.711852628978	0.567910794429	0.729188574029	0.461258389063	0.592299924265	0.425434475646	0.48022667487	0.481749077769	0.740164572288	0.402220065251	0.427811334182	0.52107177433	0.464520564611	0.438634245182	0.392889332439	0.394125852661	0.496606552729	0.518081716824	0.481409769426	0.457104186129	0.425193609492	0.473920504537	0.458235702481	0.720248773475	0.474500354119	0.436952653183	0.748488262021	0.37134310745	0.388311328811	0.474849966618	0.586940661236	0.575001288601	0.571834867721	0.447100684715	0.553558258555	0.604228226324	0.41157758478	0.450311125751	0.565653864552	0.510047159986	0.587780110737	0.583444759583	0.443662234684	0.38770478352	0.471944705308	0.470022358689	0.566346578975	0.449837144353	0.401724996827	0.328253743209	0.595075820785	0.579493725525	0.523879109869	0.706769310409	0.702099908119	0.49413356254	0.486908348588	0.704834443633	0.390436372467	0.392197777297	0.680207300415	0.727225744269	0.564776038911	0.692801994789	0.412232083547	0.360084385173	0.408134660076	0.479545380318	0.486071727802	0.426957530861	0.357769889663	0.695106648523	0.460488284673	0.481272775437
HCanyon2R1	0.385543114563	0.442058096002	0.751828165706	0.501382841349	0.478255877971	0.517251531218	0.444788573194	0.477353167931	0.404099135484	0.0	0.467054893823	0.397858328044	0.42997132225	0.473888308307	0.744632694831	0.516548229317	0.467073058252	0.441566044862	0.689393414059	0.449646313462	0.718249060879	0.563966713661	0.739042985171	0.492279429842	0.580174306153	0.448029116277	0.466791653749	0.470485021909	0.758056273085	0.418077607456	0.418692067341	0.511514604662	0.491649219046	0.457709184042	0.416123037575	0.381032039143	0.481027663039	0.511591082045	0.462235830697	0.464834027937	0.429184914277	0.497164322853	0.460127008777	0.741215613975	0.463446317139	0.441366228451	0.766268810357	0.400068412893	0.393308582342	0.496011531242	0.557216919336	0.561681574866	0.543308190039	0.455576263999	0.537955127996	0.576248019023	0.411036893022	0.45907933679	0.55832143717	0.498531559163	0.563745794923	0.559108995465	0.445928317342	0.423350098443	0.453761294922	0.461360369758	0.539194289149	0.426133248712	0.401512899854	0.397305505747	0.57610433381	0.566547586047	0.529495173753	0.71839658208	0.717958236212	0.464441279153	0.487406093275	0.724704723856	0.382745872792	0.367116205883	0.707150823962	0.740008927446	0.544854206623	0.705686683097	0.417942974568	0.398696488855	0.427314977099	0.481462898945	0.477005121163	0.419707493356	0.424238120121	0.712416589715	0.464686429272	0.476349873406
