	Stillton4R2	Stillton4R3	Stillton4R1	HCanyon3R3	HCanyon3R2	HCanyon3R1	Halls9R2	HCanyon2R2	HCanyon2R3	HCanyon2R1	Halls9R1	Stillton10R3	HCanyon0R1	HCanyon0R2	HCanyon0R3	HCanyon7R3	HCanyon7R2	HCanyon7R1	HCanyon1R1	HCanyon1R3	HCanyon1R2	HCanyon10R2	HCanyon10R3	HCanyon10R1	HCanyon11R3	HCanyon11R2	HCanyon11R1	HCanyon6R2	HCanyon6R3	HCanyon6R1	HCanyon5R1	HCanyon5R3	HCanyon5R2	HCanyon4R1	HCanyon4R2	HCanyon4R3	HCanyon12R1	HCanyon12R2	HCanyon12R3	HCanyon8R1	HCanyon8R2	HCanyon8R3	Halls8R2	Stillton10R1	Stillton10R2	Halls8R1	Halls6R1	Halls6R2	Halls4R2	Stillton5R2	Halls4R1	Halls3R1	Halls3R2	Stillton1R2	Stillton1R1	Stillton2R1	Stillton2R2	Stillton2R3	Stillton3R1	Stillton3R3	Stillton3R2	Halls5R1	Halls2R1	Halls2R2	Stillton9R2	Halls1R2	Halls1R1	Halls0R2	Halls0R1	Stillton9R3	Stillton7R3	Stillton9R1	Stillton7R1	Halls10R1	Halls10R2	Stillton7R2	Halls7R1	Halls7R2	Stillton0R2	Stillton0R3	Stillton0R1	Stillton6R1	Stillton6R2	Stillton6R3	HCanyon9R1	HCanyon9R3	HCanyon9R2	CrustControlR1	CrustControlR2	CrustControlR3	Stillton8R3	Stillton11R1	Stillton8R1	Stillton11R3
Stillton4R2	0.0	0.0883662404844	0.0768287814302	0.207988025375	0.226059137255	0.217766317762	0.304744821223	0.192219587082	0.197804037486	0.230410460208	0.353531946943	0.137403969435	0.398009060554	0.413943414648	0.411691576701	0.241877423875	0.243467034025	0.246122778547	0.321832001153	0.334888621684	0.325453059977	0.247058147636	0.285638448097	0.222238690311	0.273836435409	0.232217492503	0.21970161534	0.237330461938	0.237253142445	0.222444355825	0.205939034602	0.181439121684	0.219338883506	0.130802742791	0.228334967128	0.263552509227	0.154371408304	0.239368986736	0.201317163783	0.232563964245	0.26843844406	0.25480794233	0.254449701269	0.166073484429	0.293959508651	0.285845803922	0.145643905998	0.133755913495	0.167453100346	0.183915323529	0.221216786621	0.189209607266	0.1858758391	0.379084392734	0.400511538062	0.273078352941	0.284849196655	0.281272762399	0.233322900231	0.20159638812	0.240311713956	0.148292376009	0.296369741638	0.293389057093	0.251380964821	0.38631056286	0.339455193772	0.423106375433	0.417595389273	0.25718117474	0.215592355825	0.243955352941	0.20270555421	0.348058285467	0.308396719723	0.162358032295	0.144869736448	0.141427460784	0.410964691465	0.405508373126	0.391764531142	0.192509510957	0.219098119377	0.206849817186	0.28192778143	0.273529315456	0.276391441176	0.282575314879	0.28029628143	0.296250787774	0.278915481546	0.195685419262	0.280689418685	0.184724532872
Stillton4R3	0.0883662404844	0.0	0.067301544406	0.231988314302	0.254676072088	0.238572116494	0.345041095156	0.210487465398	0.232778132641	0.270129461938	0.3909223812	0.117256805075	0.3989476609	0.405941681661	0.412556315456	0.265412194925	0.261520656286	0.279130609573	0.312071946367	0.339429210496	0.313912288927	0.240789688005	0.287452269896	0.211817320646	0.303836016148	0.261844589965	0.240079532872	0.26806799654	0.266634948097	0.253724185698	0.210744132065	0.199330089965	0.245764419262	0.145856697232	0.252759239908	0.287169727797	0.152958959054	0.268504836217	0.236280548443	0.252580749135	0.294248773356	0.272696256632	0.296435816032	0.15842000519	0.299778694925	0.32288799827	0.145627333333	0.145284683391	0.151175232411	0.222590349481	0.206703963668	0.209401168397	0.220610904268	0.384028291811	0.412654668973	0.260491903691	0.257712019608	0.255756586505	0.224874113033	0.208991343714	0.209721141292	0.118794679931	0.263810051326	0.258913262976	0.249852915802	0.392791414648	0.355348653403	0.427662873126	0.422681573241	0.256236778547	0.215121296424	0.248221356978	0.210828224913	0.378553198385	0.341237749135	0.168488636101	0.16180672203	0.18377672895	0.416445460208	0.411348344867	0.397134584775	0.208869258939	0.233746423299	0.228257024221	0.308982056517	0.302361777393	0.302370174164	0.313714591119	0.320069783737	0.327393872549	0.289875843137	0.200018021915	0.288240038639	0.191860632641
Stillton4R1	0.0768287814302	0.067301544406	0.0	0.218829881776	0.24064493714	0.225661944637	0.335354482699	0.18790321857	0.218855042676	0.256892534602	0.382678610727	0.140874441753	0.406650525952	0.414143341407	0.420800930219	0.261049900807	0.255147489043	0.266921320069	0.316572658016	0.344867476932	0.312608802191	0.226475644175	0.270149209919	0.189299852364	0.293612023068	0.255555019031	0.235752177624	0.258638438293	0.260654653979	0.244606665513	0.18278116782	0.187049083045	0.238499430796	0.139642786044	0.248358153403	0.283232186851	0.130741631488	0.261372416378	0.224417165513	0.248129861015	0.288929468858	0.257316032872	0.286379350058	0.179047589965	0.31103588293	0.314266358131	0.160146558247	0.141147142445	0.13746361534	0.208156213379	0.230910233564	0.192240807382	0.20635605767	0.391400876586	0.414189264129	0.235763969435	0.245200422145	0.245425366205	0.19691461361	0.189290420992	0.196336159746	0.103535706459	0.288057344291	0.283925568627	0.263151023068	0.39548749308	0.354287494233	0.434156694348	0.428252679354	0.27184595271	0.194902871972	0.26124060842	0.188883558247	0.371999453287	0.332293601499	0.149850268166	0.150844858131	0.176414787774	0.42368728489	0.41685372549	0.40450922376	0.200470408881	0.2160368812	0.215668621684	0.30257977624	0.292955185698	0.292577801615	0.295430511534	0.305717017878	0.316507870242	0.300886305652	0.197739093426	0.29817538466	0.185148009804
HCanyon3R3	0.207988025375	0.231988314302	0.218829881776	0.0	0.0692937485582	0.0870791459054	0.215630121107	0.129330301038	0.0899698448674	0.105049183391	0.275998237601	0.211759144752	0.384815623414	0.407206938293	0.392604222607	0.198628764129	0.199989260092	0.177172133795	0.319035808535	0.306907184544	0.328841741638	0.19766099308	0.243742624567	0.232656909458	0.19636788985	0.182872474048	0.179160132065	0.173854960208	0.175972580738	0.153668346597	0.185371941176	0.157197756055	0.129192985006	0.14451043714	0.141966182814	0.148424601499	0.190100558247	0.191100165513	0.128668034602	0.198481134948	0.213411986159	0.215618472895	0.183461856978	0.220823504037	0.25530932872	0.215303623991	0.178408972895	0.152402215686	0.203176182238	0.139709311995	0.207878126874	0.167370046713	0.173812598039	0.332585623414	0.356850831027	0.251109970012	0.341149437716	0.33208349827	0.29203383218	0.230790398501	0.31389415917	0.246329093426	0.338664748558	0.351317359285	0.247916068627	0.329559234141	0.269364933103	0.362011091696	0.359380405421	0.244449365052	0.230956408881	0.240860662053	0.209676984429	0.301094362745	0.27145793887	0.191427824683	0.159754023645	0.168185177047	0.351062517301	0.333160436563	0.340076917532	0.151380758939	0.161389476932	0.150057412341	0.208306166667	0.168579531142	0.196062150519	0.203812785467	0.200197008074	0.240007975779	0.249743204729	0.201803471165	0.246508747405	0.203921963091
HCanyon3R2	0.226059137255	0.254676072088	0.24064493714	0.0692937485582	0.0	0.0956635023068	0.195288236448	0.120681074971	0.0938855876586	0.0916742825836	0.254332495963	0.226354514994	0.397345205882	0.419940404268	0.404583643599	0.196483457324	0.210310470012	0.16568939677	0.340572696655	0.320618875433	0.352955286044	0.202471933103	0.246643927912	0.246901356978	0.191686212803	0.18793883391	0.184438651096	0.169943536909	0.173342821799	0.150434138985	0.194814399077	0.161201963668	0.123220933103	0.164293799308	0.157045779123	0.1550947203	0.214550855825	0.182730897924	0.121263107266	0.202706196078	0.214081387543	0.214541587082	0.163553183391	0.227238362168	0.246305980392	0.208318046136	0.194442678777	0.1650435594	0.216812296424	0.148172633795	0.21722900346	0.174061166667	0.178700125144	0.348155155133	0.37017277105	0.270842663206	0.366669263552	0.356014002307	0.311214292388	0.234210511534	0.339345433679	0.275063636678	0.346991880046	0.361853322376	0.241740603806	0.345430764706	0.281488585928	0.370860114764	0.368542546136	0.24057982872	0.231809042099	0.227366400231	0.192740842561	0.294020504614	0.26487361015	0.196884231834	0.168616488466	0.182694640715	0.364361175894	0.350026569204	0.356432153979	0.150065273356	0.150365397347	0.142050783737	0.200146010957	0.14724533045	0.182098420415	0.174189316032	0.170333515571	0.212745477509	0.238377268166	0.19469527278	0.232745415225	0.201590189158
HCanyon3R1	0.217766317762	0.238572116494	0.225661944637	0.0870791459054	0.0956635023068	0.0	0.250953195502	0.131845155133	0.106594673587	0.133879598039	0.310332434256	0.249921839677	0.403533387543	0.407430471742	0.414514637255	0.232457829296	0.21783183737	0.207483603806	0.322678390427	0.326662857555	0.333817544983	0.201713573818	0.243984264129	0.227828089965	0.235242235294	0.218732697232	0.217345342561	0.209277512111	0.215188634371	0.18941244752	0.180330006344	0.163621506344	0.164964464245	0.15366443887	0.184616824683	0.182882630911	0.196883891003	0.224578088812	0.166272614187	0.228252441176	0.249253029412	0.230852134371	0.21662572376	0.255281105536	0.286396234717	0.257007963668	0.220443379469	0.185255621107	0.206639908304	0.139181303345	0.236781398501	0.174208883506	0.180282410611	0.365371043829	0.389467222607	0.248795888697	0.339642191465	0.331812826413	0.289828249135	0.225229982699	0.318445569204	0.254761263552	0.331167586505	0.343666923875	0.275572372549	0.358951518454	0.301995565744	0.381869871972	0.378349138408	0.274682683968	0.229036614764	0.26668193714	0.205008297578	0.33324456286	0.303865441176	0.194676260092	0.16322560323	0.198882401384	0.383477726644	0.346864768166	0.373877679354	0.166984325836	0.168794978085	0.169600689735	0.246752257209	0.204215794694	0.230484477509	0.21646322549	0.221327827566	0.262385323529	0.283412483276	0.215857191465	0.27877356113	0.210564527682
Halls9R2	0.304744821223	0.345041095156	0.335354482699	0.215630121107	0.195288236448	0.250953195502	0.0	0.217124885813	0.202986820646	0.164036798155	0.0882898512111	0.295318470012	0.461774310842	0.483287398501	0.46652282699	0.160555209343	0.204289850634	0.140107622837	0.422327846597	0.392537519031	0.439743011534	0.237529289504	0.194605799885	0.318984320069	0.132159430796	0.182441574394	0.192906133218	0.1429030594	0.139764039792	0.146558636101	0.279154469435	0.244712108997	0.179639175317	0.253492215686	0.226003413495	0.229201610727	0.295191065744	0.174327647636	0.157071756632	0.175784358708	0.15234210842	0.199725635525	0.0964051476355	0.272388666667	0.187527439446	0.0943656101499	0.259078313149	0.240083689735	0.306601527105	0.237716269319	0.287428484429	0.250925600346	0.248653476932	0.414745006344	0.412044577278	0.380933770473	0.45486482872	0.442250516724	0.404214934833	0.310082406574	0.431468546713	0.361623509804	0.409735854671	0.429219135525	0.238321871396	0.383971400231	0.342318282584	0.436350147059	0.428991881776	0.227758519608	0.256477457324	0.230756666667	0.228246594579	0.145070168973	0.145101019608	0.245420520185	0.240483368512	0.222197818339	0.428148183968	0.439276929066	0.425664773356	0.206770477509	0.212101030565	0.194580677624	0.137019799885	0.136999519608	0.141665562284	0.238049723183	0.224402502884	0.262103542099	0.192831957901	0.224927753749	0.206779387543	0.234451862745
HCanyon2R2	0.192219587082	0.210487465398	0.18790321857	0.129330301038	0.120681074971	0.131845155133	0.217124885813	0.0	0.115279736448	0.140969219146	0.280839474048	0.204820393887	0.409451151672	0.413606187428	0.421014412918	0.206456760669	0.191064880623	0.169719249135	0.326486587082	0.336883352941	0.337995175317	0.173651967705	0.208152731834	0.173043344291	0.205544953287	0.194268276817	0.189187621107	0.190527170127	0.205409077855	0.180545060554	0.150929697809	0.139673715686	0.163563101499	0.13924388812	0.198423060554	0.219063466551	0.149005374856	0.187238471165	0.109797449827	0.195197192618	0.219745064591	0.188961700115	0.184783641292	0.218816236448	0.265822650519	0.235537420992	0.195524458478	0.155346020761	0.16922606113	0.145719487313	0.240305907728	0.135270038639	0.143485762976	0.377478188581	0.398544580738	0.238550415225	0.310672197809	0.296861806228	0.249599371972	0.177779053633	0.284493230681	0.210264027682	0.334462401384	0.339947591119	0.245218653403	0.379126926182	0.318961686275	0.414113775663	0.409166528835	0.250586685698	0.16614721511	0.229055900807	0.132180129758	0.310554390427	0.265105453287	0.128242124567	0.136021888697	0.167927114764	0.402925415802	0.392337794118	0.386972649942	0.130660031142	0.119176558824	0.135927451557	0.218096676471	0.170295224337	0.200458022491	0.154831426759	0.165285117647	0.202495679354	0.250011801038	0.156785064014	0.240893875433	0.149601622837
HCanyon2R3	0.197804037486	0.232778132641	0.218855042676	0.0899698448674	0.0938855876586	0.106594673587	0.202986820646	0.115279736448	0.0	0.0702828275663	0.269358949827	0.213049963091	0.387355690888	0.41135704729	0.395383243945	0.208309160323	0.207664567474	0.176408021338	0.331086120531	0.314801096309	0.344568126298	0.198743617647	0.25048722376	0.212695264129	0.209317720877	0.167648273933	0.18138555594	0.182032652826	0.183730146482	0.153018482122	0.168429010957	0.142971486736	0.133375226644	0.145547099769	0.165316986159	0.171206854671	0.175485378893	0.195564531719	0.111573107843	0.201726741061	0.224017440023	0.216194553057	0.169507336217	0.213998179354	0.266475805652	0.212950892157	0.187446273356	0.148666478085	0.217454844867	0.147568629758	0.224352352364	0.172985767013	0.165532568627	0.34973439677	0.375988589389	0.26860766263	0.348530331027	0.329222679931	0.289689878893	0.202911956171	0.325767258939	0.249677219723	0.340658325836	0.349235314879	0.237726876586	0.342981194348	0.288781783737	0.368659247982	0.363492356401	0.247793245675	0.221453442907	0.235117674164	0.182680987313	0.29685816263	0.266840967128	0.172224209343	0.133167304498	0.145058033449	0.368351388697	0.347323088812	0.357752863899	0.157704693772	0.17498167474	0.162211681661	0.22161945098	0.181768026528	0.205718489043	0.180722976355	0.1819318391	0.220672147059	0.255169777393	0.184149986159	0.251980701845	0.184323408881
HCanyon2R1	0.230410460208	0.270129461938	0.256892534602	0.105049183391	0.0916742825836	0.133879598039	0.164036798155	0.140969219146	0.0702828275663	0.0	0.227137590542	0.235274433103	0.401294309689	0.424125187428	0.408317810842	0.182134235871	0.203519640715	0.159546206459	0.354538599769	0.327860403691	0.369969314879	0.198566416378	0.249205100923	0.247734864475	0.176975967128	0.147157756632	0.170640722607	0.148284504614	0.155497690311	0.123514782584	0.193922256055	0.165048090542	0.111499065744	0.17514010496	0.155712058247	0.153268057093	0.211957222607	0.165981392734	0.112492785467	0.196564848904	0.197257785467	0.208621748558	0.134525063437	0.220113414072	0.236301528258	0.175688921569	0.194745362745	0.170404795848	0.243913341407	0.161755577278	0.231004355248	0.193125254325	0.192358679931	0.353309450404	0.37193733737	0.303361176471	0.387476656863	0.369230852364	0.332508813725	0.242691158593	0.362892485582	0.288111378316	0.352391076125	0.367844318916	0.21966445271	0.335324091119	0.279764316032	0.362884645329	0.356221197809	0.226801420415	0.234012433103	0.212575026528	0.189904993656	0.263326891003	0.238134001153	0.190389831603	0.165145902537	0.153904371972	0.360806900231	0.35487711707	0.362641811419	0.163857319493	0.177809321223	0.160676677624	0.188102844867	0.150078085928	0.184728264706	0.191363385236	0.175010597463	0.217384456747	0.224041393887	0.192793589965	0.223841782007	0.196109522491
