	M9Ekey217.141044	M9Indl217.141066	M2Tkey217.141054	M2Gkey217.141106	M2Enter217.141012	M2Skey217.141089	M2Midr217.141082	M2Indl217.141074	M3Midr217.141101	F11Space217.141071	F10Space217.141045	M9Pkey217.141096	M9Fkey217.141065	M9Okey217.141076	M9Akey217.141086	M9Indr217.140998	M2Ckey217.141092	M2Ykey217.141095	M2Ukey217.141085	M2Rinr217.141027	M2Nkey217.141052	M2Thml217.141005	M3Pinr217.141057	M3Kkey217.141046	M3Ykey217.141023	M3Lkey217.141097	M3Bkey217.141059	F12Space217.141068	R1Space217.141077	M9Wkey217.141090	M9Nkey217.141010	M9Mkey217.141007	M9Bkey217.141032	M9Midr217.141060	M9Thml217.141021	M2Ikey217.141000	M2Mkey217.141014	M2Thmr217.141087	M11Space217.141008	M3Ckey217.141073	M3Space217.141098	M3Midl217.141103	M9Xkey217.141072	M9Rinl217.141020	M2Vkey217.141022	M2Rkey217.141050	M2Pkey217.141105	M2Lkey217.141048	M2Qkey217.141102	M2Kkey217.141041	M2Pinl217.141003	M2Xkey217.141016	M2Ekey217.141011	M2Fkey217.141078	M2Indr217.141062	M10Space217.141036	M3Jkey217.141017	M3Indr217.140993	M3Indl217.141067	M9Gkey217.141099	M9Vkey217.141018	M9Kkey217.141033	M9Ckey217.141013	M9Rinr217.141080	U1Space217.141075	M2Hkey217.141026	M3Nkey217.141001	M3Akey217.141006	M3Mkey217.141107	M3Zkey217.141083	M3Rinl217.141100	M3Rkey217.141025	M3Qkey217.141051	M9Enter217.141084	M9Dkey217.141053	M9Thmr217.141049	L3Space217.141024	U2Space217.141047	M2Bkey217.141063	M2Pinr217.141039	M2Rinl217.141058	M3Wkey217.141104	M3Xkey217.141055	M3Pinl217.141094	M3Rinr217.141091	M9Space217.141079	M9Ykey217.141029	M9Qkey217.141019	U3Space217.141064	M2Okey217.141061	M2Dkey217.140994	M2Zkey217.141015	M2Space217.140997	M2Lsft217.141056	M2Jkey217.141038	M2Wkey217.141070	M2Akey217.141030	M3Pkey217.141031	M3Ekey217.141042	M3Lsft217.141088	M3Hkey217.141093	M3Rsft217.140995	M3Thmr217.140996	M9Hkey217.140999	M9Skey217.141004	M9Pinr217.141002	M9Midl217.141043	M9Pinl217.141035	L1Space217.141069	M2Rsft217.141034	M2Midl217.141009	M3Gkey217.141037	M3Vkey217.141028	M3Tkey217.141081	M3Thml217.141040
M9Ekey217.141044	0.0	0.635807119985	0.769398506745	0.727320316489	0.753235011087	0.65786799113	0.645802885284	0.762253651542	0.765468966506	0.760965426115	0.818757885841	0.700692930525	0.721648144243	0.789307174555	0.697296357344	0.68389100196	0.775955070075	0.652945312098	0.629284858125	0.715971830872	0.656874457379	0.770789950382	0.807123204589	0.662741615691	0.736674826071	0.75614202283	0.809018397374	0.478335403267	0.537919965918	0.809336076094	0.708177211569	0.671070205062	0.582067369498	0.584251438365	0.570450477514	0.644415432132	0.732237329562	0.679083387723	0.792218584404	0.618960283108	0.771176325755	0.646375036866	0.6997651464	0.769141981687	0.747976436087	0.621913749646	0.535310739979	0.630495079985	0.667928575696	0.654823229599	0.800040183468	0.755628142548	0.642160745201	0.587521947479	0.616034240316	0.832733160963	0.600013259717	0.682341813488	0.738137529452	0.646852339384	0.717739828204	0.715865588409	0.648033687713	0.650395115056	0.789353787076	0.634828523343	0.863955533328	0.635829889337	0.817192567298	0.653850438223	0.596323536057	0.727702811762	0.75137258482	0.814441909723	0.673763887524	0.565235232642	0.631907278533	0.747587885827	0.6102294982	0.812416572252	0.737052240568	0.563818006713	0.742217562254	0.871757400696	0.779925164729	0.685435947596	0.782470285906	0.841665454164	0.707479371607	0.624531898123	0.683242977035	0.797788018082	0.678058941847	0.620321670412	0.8025472432	0.641276129926	0.659932082421	0.601526739214	0.762551491195	0.731014661604	0.715186544647	0.727047391838	0.763695314256	0.689140063841	0.706271641548	0.708868038461	0.768748889016	0.643311703165	0.643666230876	0.7697441734	0.728973009296	0.7268343827	0.83818385135	0.66984934344	0.721165113385
M9Indl217.141066	0.635807119985	0.0	0.594227246932	0.559909466034	0.583344048984	0.534970410103	0.499066994356	0.618443933236	0.642289372385	0.617226783772	0.630955950029	0.562281043049	0.612220499275	0.608160325472	0.564861307884	0.552758207708	0.592165501948	0.546414656608	0.582265029798	0.573136162737	0.581816914392	0.574935451995	0.649460971446	0.510085732107	0.616522481308	0.599766925095	0.651823397219	0.472443939904	0.427808633751	0.663511499178	0.57966840671	0.576180342418	0.452634872183	0.60660233587	0.494375068704	0.560923778068	0.557796081067	0.580527208574	0.658871677885	0.411288555106	0.6250928232	0.493826849426	0.562150046619	0.561776011445	0.633945384634	0.588856023882	0.520969514095	0.450859463016	0.534071293211	0.532258573958	0.631082364771	0.546043476891	0.56237484692	0.474189904934	0.544145249265	0.695491195154	0.553364081423	0.564152437781	0.56377704051	0.589133203078	0.586565910719	0.530472280411	0.554804091141	0.462714290375	0.59782828716	0.522990801667	0.703842712641	0.520483607111	0.649926512483	0.610484846401	0.3640215103	0.646284784433	0.616948051207	0.658614659525	0.502072990642	0.515466249317	0.557848368096	0.581879658749	0.595924306563	0.642292581673	0.616325232069	0.533678515479	0.649919965565	0.712869085657	0.639589777166	0.454803814663	0.630486328858	0.6507559499	0.628361435574	0.500526297583	0.546001535298	0.637575791799	0.482906464271	0.564773854297	0.607326727644	0.528901266655	0.635977495661	0.424123388184	0.580512775968	0.611911017524	0.58842408685	0.542193936682	0.557354049482	0.518159377187	0.614654420048	0.492982154782	0.602221567292	0.481375175047	0.525625285838	0.593122935226	0.503022594312	0.60904076972	0.693055377768	0.557787517552	0.58486652944
M2Tkey217.141054	0.769398506745	0.594227246932	0.0	0.684583183996	0.451828512915	0.593651276613	0.618890724487	0.410384861387	0.438024610544	0.424288556733	0.502803407002	0.529581318366	0.612779962316	0.39095067471	0.632614921786	0.598416647956	0.454849706219	0.614972022193	0.667178060733	0.608096878081	0.707190022401	0.470106770529	0.449348594139	0.636628900023	0.66090712632	0.432742448259	0.444779538948	0.68865575941	0.619378906482	0.408789833665	0.608078185314	0.672801345798	0.63373060367	0.714271631782	0.691466928772	0.653683562029	0.416290071527	0.652870065463	0.462083780216	0.673216011965	0.521309744189	0.621431551874	0.649076450471	0.452619692447	0.669696873713	0.668438368448	0.67152880456	0.577556076234	0.633770364681	0.642804679454	0.347270428211	0.449293310753	0.678971420374	0.65636132456	0.668629198615	0.438913104291	0.679294634046	0.610778630607	0.401530280015	0.730498173402	0.622668735942	0.527506841538	0.696598872197	0.644768311785	0.425017765315	0.618413261087	0.498750774268	0.610701117701	0.568772134997	0.637606167716	0.653452742652	0.657212199741	0.395060820612	0.412843152732	0.628982644825	0.66229287737	0.654513613554	0.476032659103	0.723802871546	0.384190514164	0.591271228771	0.673226173352	0.660980904343	0.486380978405	0.486776959854	0.607384769492	0.400930020612	0.561761946261	0.673693911474	0.620482854674	0.584208787756	0.391224257021	0.614754439726	0.757359760159	0.488139191016	0.608121990918	0.727444465215	0.661208108723	0.439010043244	0.589700120961	0.593597306466	0.426271272316	0.617182808186	0.578289987971	0.613998537395	0.547710999576	0.404309061741	0.661893207744	0.593306557718	0.43823437702	0.428892280997	0.601387084292	0.5266451105	0.586168714064	0.620480854459
M2Gkey217.141106	0.727320316489	0.559909466034	0.684583183996	0.0	0.68179159192	0.573100099859	0.623527220448	0.676868701008	0.753727606401	0.714826572249	0.687807095478	0.60052683963	0.694096717848	0.717095846138	0.707397849585	0.598232629109	0.656654355148	0.607971193729	0.607042183595	0.652613389645	0.57638757881	0.670791151416	0.720718187171	0.563387293063	0.701018810706	0.715556294049	0.759337700845	0.554606183607	0.533411957567	0.74676037422	0.65411023514	0.639242453479	0.581984625057	0.587749067527	0.582085235631	0.557386544287	0.69893323022	0.65459636146	0.770880875556	0.514328567167	0.718455050962	0.540215447575	0.671093971178	0.591952549321	0.697976029082	0.684316110124	0.607990376467	0.585095880123	0.58649427215	0.607032273653	0.712118866364	0.605097166056	0.636402924821	0.54025304655	0.575272520227	0.724776788502	0.589220653535	0.528175371035	0.705850704107	0.683007446678	0.610332652468	0.543443784632	0.630212216738	0.548990335507	0.679519573521	0.613789381686	0.731942703282	0.577864773676	0.719498004863	0.608720083915	0.514099652624	0.680552711239	0.721919987831	0.738087338744	0.481755167074	0.495431022658	0.639385078767	0.681884314419	0.601422894806	0.70814859694	0.706464652768	0.621598869674	0.685642446462	0.739710791841	0.741586134572	0.546304493673	0.69657912854	0.713255273037	0.669487126788	0.584023521573	0.545059014167	0.72440222895	0.57034895839	0.694483381903	0.698274192596	0.614740950674	0.641586153604	0.586888706263	0.73845859557	0.676647082043	0.630782030222	0.657072681626	0.583156345489	0.600123319604	0.627315899224	0.497988850876	0.69158519078	0.652756411505	0.535258627736	0.646264071257	0.66384440972	0.690167197452	0.777028131436	0.599705873574	0.701906329457
M2Enter217.141012	0.753235011087	0.583344048984	0.451828512915	0.68179159192	0.0	0.610304303113	0.603091954548	0.489135641781	0.512750125076	0.42616099106	0.552127251821	0.573922317154	0.64354807758	0.482536979265	0.656165391437	0.583618160652	0.492872699188	0.618704433033	0.6494248004	0.630564404056	0.731352018953	0.522060647151	0.50473814649	0.664653941951	0.63898379426	0.467971530249	0.504224884225	0.669564602221	0.641086908202	0.484980060021	0.576628530148	0.65940022609	0.646460265916	0.729205870499	0.696515975232	0.660233121825	0.421239576202	0.631763167524	0.489091191458	0.64244824152	0.506863193509	0.633591435242	0.653252616518	0.510790564082	0.660842417508	0.68072335814	0.651280668907	0.586435091924	0.659130782102	0.652619036308	0.482655352321	0.48754534775	0.682138129908	0.672784244657	0.667566093216	0.525626276976	0.677852981094	0.642673549775	0.470520281972	0.753081336914	0.661740095312	0.584648605875	0.701907679595	0.670521495246	0.429968855656	0.628222627188	0.569469888317	0.61601897471	0.603260585109	0.632319248948	0.631830938814	0.680840948159	0.456039146134	0.467987554405	0.646080664521	0.684185440203	0.643814007848	0.491176407568	0.705557119123	0.485986671853	0.604773553998	0.630411167129	0.681830571953	0.568155541774	0.452040769896	0.621702096033	0.456738139979	0.6139636976	0.680399275407	0.641563621807	0.630724028023	0.466415699002	0.595324630447	0.732917894128	0.519947035784	0.595043624908	0.729263683806	0.63945829446	0.453333801811	0.588659353829	0.601319594876	0.453124916539	0.625924997301	0.598750685496	0.600147786258	0.599263743788	0.427744133187	0.641296757475	0.627839301265	0.439059467866	0.451311899423	0.604771636255	0.596982220246	0.590149596789	0.628478598439
M2Skey217.141089	0.65786799113	0.534970410103	0.593651276613	0.573100099859	0.610304303113	0.0	0.51935024346	0.630751967127	0.618845533753	0.608190935231	0.704157078256	0.365026236782	0.590603255325	0.655061835628	0.607969731206	0.503618217064	0.568768021187	0.52165049518	0.535739940534	0.539095611122	0.620172662135	0.622458080055	0.675619097271	0.438973543019	0.591398981715	0.609820396208	0.656319172587	0.564044086664	0.41710279361	0.656443452256	0.559996954804	0.573520277145	0.478710668126	0.548395001225	0.548029158913	0.594263872796	0.610469671114	0.578429575004	0.695869442754	0.558137507166	0.694197736802	0.528243848397	0.575222527706	0.560024777718	0.651852257918	0.588444910127	0.52769049412	0.476378346648	0.555170947066	0.482935489132	0.622493015417	0.535014856991	0.551640813855	0.514525259437	0.608321946764	0.660623665817	0.607917041116	0.502449136646	0.60187527828	0.644776104255	0.52965563421	0.452251313782	0.630156001014	0.554873490222	0.618373349188	0.473565504357	0.742921919718	0.523558607794	0.696894121785	0.619014476819	0.519830444539	0.615746147913	0.633508474176	0.667731579536	0.535041814682	0.552510822059	0.545833936631	0.568894399812	0.62588139353	0.631301173378	0.585860387383	0.633675797068	0.624749602285	0.739316728372	0.650419075389	0.534614674277	0.600270533832	0.731675080774	0.584634306141	0.401182193808	0.433398965797	0.648632662234	0.478811147833	0.67956474284	0.674902828724	0.530439736503	0.653214963637	0.512823909846	0.63562332834	0.555843740503	0.539118770295	0.597120029701	0.536110384435	0.407643096564	0.562681324828	0.454269622058	0.590805395818	0.536500865153	0.414563130974	0.558068442679	0.556490350245	0.55363871111	0.759366301311	0.512841953034	0.581707047545
M2Midr217.141082	0.645802885284	0.499066994356	0.618890724487	0.623527220448	0.603091954548	0.51935024346	0.0	0.619127714306	0.621292938808	0.602025672999	0.666135205793	0.535318976593	0.54382842757	0.612787287812	0.516527024118	0.472635356638	0.607763464857	0.467278881315	0.478336111546	0.582688374647	0.61841283538	0.604385880763	0.664406832081	0.552695122506	0.559963422125	0.599180162783	0.649301128615	0.571014225774	0.492256187288	0.669815439857	0.500283730758	0.533150812429	0.536075147211	0.596824060282	0.593209389264	0.569381063673	0.549251498107	0.5565998314	0.672715782805	0.533015721595	0.67578361893	0.5227025726	0.515316788736	0.561715979424	0.569060784338	0.556924484228	0.521011325739	0.464983870584	0.461495831568	0.553517517377	0.641127156298	0.520234694319	0.516391419876	0.505247657709	0.523058479226	0.670069223665	0.559715186237	0.548025054068	0.571357937957	0.675969021021	0.577260427287	0.553508294603	0.553325395639	0.550046866137	0.63062113464	0.509893029051	0.719129404879	0.454702708469	0.661957994293	0.573723785401	0.521125250608	0.642781103368	0.613951767524	0.668611929416	0.520810363967	0.569664168748	0.580336459106	0.555297692668	0.64845547362	0.656019560064	0.584134728442	0.583990256903	0.625334662679	0.74704178585	0.621961571564	0.444423762816	0.610077875152	0.701218534912	0.499902392155	0.479598501628	0.521624429294	0.641032871391	0.543776211874	0.65375718683	0.646546598123	0.487120967762	0.596658746617	0.506035766511	0.615127691885	0.542623167244	0.541063950206	0.539177290396	0.550321165631	0.517388641613	0.564172339582	0.520019806883	0.606715383883	0.553988030328	0.529687937556	0.568787162931	0.556573669616	0.560276356435	0.737461188769	0.488491062928	0.528611131411
M2Indl217.141074	0.762253651542	0.618443933236	0.410384861387	0.676868701008	0.489135641781	0.630751967127	0.619127714306	0.0	0.431684381576	0.484946326955	0.466647222744	0.587199397766	0.6430248386	0.444752330065	0.680444090483	0.605858309445	0.418936797673	0.641633323759	0.686396219356	0.636059941	0.73527680196	0.406812085269	0.491166995189	0.663580756059	0.69521425122	0.483042734763	0.508793328217	0.716980071565	0.633350059824	0.482095704726	0.624730154833	0.69670649765	0.683029717738	0.748247530028	0.718792795112	0.67981855146	0.461631277069	0.66595551657	0.492889888842	0.689459194035	0.53354539384	0.627139815429	0.680135217216	0.43215708619	0.698496231688	0.708241811352	0.701817013051	0.613418705578	0.669740482496	0.651214006022	0.407918854599	0.425567907024	0.668214750695	0.686037934779	0.672776549305	0.454952464361	0.677515228667	0.629769059944	0.457909446618	0.76902394264	0.662535770938	0.57442498492	0.712265456028	0.674917040606	0.418349249437	0.635225207177	0.487468253263	0.617687729973	0.531189144859	0.667182864969	0.662787090224	0.678620178934	0.392178832483	0.450650009574	0.637686376454	0.683548767812	0.661196310942	0.486105797874	0.735150664328	0.432131047694	0.582287543734	0.663415973835	0.699804152111	0.511068375211	0.520890778267	0.639755706424	0.466744088287	0.485070662729	0.678768441389	0.675020751035	0.630713608202	0.410106436104	0.621017364321	0.773217083562	0.443109420195	0.615485982755	0.739855033208	0.680519543612	0.511907410503	0.597026371635	0.630059514907	0.45514784022	0.648841704476	0.61431306969	0.626546170356	0.546633010076	0.472722013306	0.660204750927	0.607342837299	0.393194789752	0.466173949515	0.616676237818	0.492434838575	0.58347419096	0.65316682358
M3Midr217.141101	0.765468966506	0.642289372385	0.438024610544	0.753727606401	0.512750125076	0.618845533753	0.621292938808	0.431684381576	0.0	0.473715443263	0.474697847545	0.618783692223	0.655804166477	0.354800008407	0.656222669021	0.643771458125	0.470107613539	0.647677425252	0.705722566304	0.661040925257	0.764067901825	0.426967125133	0.428328890785	0.692171757135	0.6721210841	0.446633732149	0.452523119306	0.725920284502	0.65689497155	0.463442646609	0.622998635797	0.707833647053	0.683170319565	0.728403874822	0.724851507383	0.698668699478	0.42673575056	0.675867540307	0.475533659774	0.72293427651	0.484074893082	0.646967195361	0.678508672383	0.552597745174	0.709879776297	0.70782303645	0.714125442603	0.625473092034	0.670740018426	0.66495446723	0.422707007648	0.548753327046	0.694962207769	0.712621327671	0.70774212467	0.46189626858	0.72445141145	0.675045401009	0.467409794061	0.797343409009	0.671161656545	0.631427492948	0.737630616957	0.688594648292	0.494977245442	0.670990350871	0.490384512242	0.640941064285	0.506994376512	0.696183112822	0.689620731219	0.72080001816	0.393324336717	0.408531997655	0.679243256523	0.716459250959	0.666578689656	0.521830445919	0.752044878208	0.468264122628	0.587147822868	0.684571380655	0.708717599866	0.500415660317	0.471495211639	0.66613880371	0.443733839968	0.509290330016	0.680810638582	0.660089614625	0.653309935881	0.400789763048	0.666239236352	0.785018601151	0.478176200398	0.632541083513	0.770412789164	0.687379997145	0.471906674296	0.614319421184	0.670096625953	0.481869374459	0.650898549505	0.638970257406	0.647435717204	0.649374694687	0.478357248188	0.688744634864	0.657325700652	0.45338741369	0.495923996285	0.62686498312	0.442157859316	0.61931598835	0.646757502678
F11Space217.141071	0.760965426115	0.617226783772	0.424288556733	0.714826572249	0.42616099106	0.608190935231	0.602025672999	0.484946326955	0.473715443263	0.0	0.536287867223	0.597316673437	0.619522168454	0.433958748522	0.635963809563	0.603047864645	0.47667054266	0.620504804788	0.67101169527	0.639038828949	0.71429140894	0.498745324361	0.481258432607	0.666606697933	0.632329822433	0.449808614764	0.465137294346	0.688956596523	0.635549092511	0.454216686462	0.593664358348	0.667920309287	0.658854362165	0.737689471267	0.709712746638	0.687263949627	0.421691823146	0.640611203559	0.45048576878	0.681541942148	0.518765784831	0.626469798182	0.67235274174	0.504807792999	0.652707642982	0.682013246075	0.686327255005	0.598781790088	0.646701917758	0.685701381893	0.419809129942	0.474188129006	0.689322629729	0.679525859506	0.705638746496	0.476644092426	0.700684520681	0.643875938177	0.408982712452	0.768549316963	0.663190040167	0.574716280544	0.720064688948	0.657413147928	0.455087235179	0.642936980937	0.541201476788	0.639935701122	0.601186582325	0.637918263963	0.673438353086	0.692643147745	0.412617224676	0.436577548826	0.669652931593	0.683278124804	0.659222521056	0.456054756448	0.72823264342	0.445130693544	0.594099396285	0.678404435134	0.677859224835	0.531141404171	0.445932545077	0.647612483224	0.443394599758	0.639406272473	0.684173536133	0.644575363603	0.639137517013	0.436063394593	0.633333333333	0.756914917248	0.52254243311	0.633242151575	0.751714443694	0.660869710606	0.472015576813	0.597369007578	0.63956147459	0.47107341201	0.635269365608	0.607773750332	0.616061016994	0.605622370688	0.435143900834	0.67819587048	0.633473962534	0.450503637845	0.442688400748	0.60807713968	0.547014432375	0.606124909764	0.631373928336
