	DF3.141696	HI3.141676	MD2.141689	CA1.141704	PE5.141692	CO1.141714	IT2.141720	PE1.141715	SP2.141678	CO3.141651	SA2.141687	CM1.141723	LQ2.141729	SR2.141673	CR1.141682	VC1.141722	IE2.141655	RT2.141710	BB1.141690	CC1.141721	TL2.141706	PE6.141700	BP1.141702	PE7.141734	BF1.141647	TL1.141653	KP1.141713	CL3.141664	SK3.141716	SF1.141728	PE4.141683	HI1.141693	SB1.141730	SF2.141677	SN1.141681	SA1.141670	GB2.141732	IE1.141648	CL1.141697	KP3.141658	MD5.141688	SR1.141680	HI2.141672	MP1.141661	TL3.141709	CO2.141657	MT2.141698	HF1.141663	SV1.141649	RT1.141654	GB1.141665	DF1.141684	PE2.141725	GB3.141652	CF1.141675	GB5.141668	LQ3.141712	DF2.141726	LQ1.141701	MD4.141660	CF2.141679	IT1.141711	BF2.141708	SN3.141650	MP2.141695	AR3.141705	JT1.141699	BZ1.141724	HI4.141735	AR2.141703	SV2.141666	MD3.141707	HF2.141686	HJ2.141717	SR3.141674	CF3.141691	SK2.141662	AR1.141727	BB2.141659	CA2.141685	HJ1.141718	PE3.141731	MT1.141719	SP1.141656	CL4.141667	KP4.141733	VC2.141694	CL2.141671	SK1.141669
DF3.141696	0.0	15.88333334	1.06666667	0.08333333	48.6	4.43333333	11.21666666	49.05	0.65	4.83333333	0.6	2.66666667	17.66666667	1.28333334	2.03333334	0.06666667	5.83333333	4.5	8.90333333	9.43333333	32.66666666	48.61666667	7.78333333	48.61666667	5.61666666	32.66666666	3.13333333	1.35	17.63333333	0.58333334	49.05	15.88333334	1.5	0.58333334	0.48333333	0.6	3.35	5.83333333	1.35	3.13333333	0.76666667	1.26666667	15.88333334	13.5	32.66666666	4.61666666	10.83333333	6.53333333	1.63333334	4.5	3.36666666	0.0	49.05	3.35	6.19166666	3.38333333	17.66666667	0.0	17.66666667	0.76666667	5.96666666	11.2	5.61666666	0.48333333	13.5	63.7	2.0	28.83333333	15.88333334	63.7	1.63333334	1.06666667	6.53333333	8.25	1.28333334	6.15	18.01666666	63.7	8.9	0.08333333	8.25	49.05	10.83333333	0.53333333	1.35	3.13333333	0.06666667	1.35	17.93333333
HI3.141676	15.88333334	0.0	14.81666667	15.96666667	32.71666666	20.31666667	27.1	33.16666666	16.53333334	20.71666667	15.28333334	13.21666667	1.78333333	14.6	13.85	15.81666667	21.71666667	11.38333334	24.78666667	25.31666667	48.55	32.73333333	23.66666667	32.73333333	21.5	48.55	19.01666667	14.53333334	33.51666667	15.3	33.16666666	0.0	14.38333334	15.3	16.36666667	15.28333334	19.23333334	21.71666667	14.53333334	19.01666667	15.11666667	14.61666667	0.0	29.38333334	48.55	20.5	26.71666667	22.41666667	14.25	11.38333334	19.25	15.88333334	33.16666666	19.23333334	22.075	19.26666667	1.78333333	15.88333334	1.78333333	15.11666667	21.85	27.08333334	21.5	16.36666667	29.38333334	47.81666666	13.88333334	44.71666667	0.0	47.81666666	14.25	14.81666667	22.41666667	24.13333334	14.6	22.03333334	33.9	47.81666666	24.78333334	15.96666667	24.13333334	33.16666666	26.71666667	16.41666667	14.53333334	19.01666667	15.81666667	14.53333334	33.81666667
MD2.141689	1.06666667	14.81666667	0.0	1.15	47.53333333	5.5	12.28333333	47.98333333	1.71666667	5.9	0.46666667	1.6	16.6	0.21666667	0.96666667	1.0	6.9	3.43333333	9.97	10.5	33.73333333	47.55	8.85	47.55	6.68333333	33.73333333	4.2	0.28333333	18.7	0.48333333	47.98333333	14.81666667	0.43333333	0.48333333	1.55	0.46666667	4.41666667	6.9	0.28333333	4.2	0.3	0.2	14.81666667	14.56666667	33.73333333	5.68333333	11.9	7.6	0.56666667	3.43333333	4.43333333	1.06666667	47.98333333	4.41666667	7.25833333	4.45	16.6	1.06666667	16.6	0.3	7.03333333	12.26666667	6.68333333	1.55	14.56666667	62.63333333	0.93333333	29.9	14.81666667	62.63333333	0.56666667	0.0	7.6	9.31666667	0.21666667	7.21666667	19.08333333	62.63333333	9.96666667	1.15	9.31666667	47.98333333	11.9	1.6	0.28333333	4.2	1.0	0.28333333	19.0
CA1.141704	0.08333333	15.96666667	1.15	0.0	48.68333333	4.35	11.13333333	49.13333333	0.56666667	4.75	0.68333333	2.75	17.75	1.36666667	2.11666667	0.15	5.75	4.58333333	8.82	9.35	32.58333333	48.7	7.7	48.7	5.53333333	32.58333333	3.05	1.43333333	17.55	0.66666667	49.13333333	15.96666667	1.58333333	0.66666667	0.4	0.68333333	3.26666667	5.75	1.43333333	3.05	0.85	1.35	15.96666667	13.41666667	32.58333333	4.53333333	10.75	6.45	1.71666667	4.58333333	3.28333333	0.08333333	49.13333333	3.26666667	6.10833333	3.3	17.75	0.08333333	17.75	0.85	5.88333333	11.11666667	5.53333333	0.4	13.41666667	63.78333333	2.08333333	28.75	15.96666667	63.78333333	1.71666667	1.15	6.45	8.16666667	1.36666667	6.06666667	17.93333333	63.78333333	8.81666667	0.0	8.16666667	49.13333333	10.75	0.45	1.43333333	3.05	0.15	1.43333333	17.85
PE5.141692	48.6	32.71666666	47.53333333	48.68333333	0.0	53.03333333	59.81666666	0.45	49.25	53.43333333	48.0	45.93333333	30.93333333	47.31666666	46.56666666	48.53333333	54.43333333	44.1	57.50333333	58.03333333	81.26666666	0.01666667	56.38333333	0.01666667	54.21666666	81.26666666	51.73333333	47.25	66.23333333	48.01666666	0.45	32.71666666	47.1	48.01666666	49.08333333	48.0	51.95	54.43333333	47.25	51.73333333	47.83333333	47.33333333	32.71666666	62.1	81.26666666	53.21666666	59.43333333	55.13333333	46.96666666	44.1	51.96666666	48.6	0.45	51.95	54.79166666	51.98333333	30.93333333	48.6	30.93333333	47.83333333	54.56666666	59.8	54.21666666	49.08333333	62.1	15.1	46.6	77.43333333	32.71666666	15.1	46.96666666	47.53333333	55.13333333	56.85	47.31666666	54.75	66.61666666	15.1	57.5	48.68333333	56.85	0.45	59.43333333	49.13333333	47.25	51.73333333	48.53333333	47.25	66.53333333
CO1.141714	4.43333333	20.31666667	5.5	4.35	53.03333333	0.0	6.78333333	53.48333333	3.78333333	0.4	5.03333333	7.1	22.1	5.71666667	6.46666667	4.5	1.4	8.93333333	4.47	5.0	28.23333333	53.05	3.35	53.05	1.18333333	28.23333333	1.3	5.78333333	13.2	5.01666667	53.48333333	20.31666667	5.93333333	5.01666667	3.95	5.03333333	1.08333333	1.4	5.78333333	1.3	5.2	5.7	20.31666667	9.06666667	28.23333333	0.18333333	6.4	2.1	6.06666667	8.93333333	1.06666667	4.43333333	53.48333333	1.08333333	1.75833333	1.05	22.1	4.43333333	22.1	5.2	1.53333333	6.76666667	1.18333333	3.95	9.06666667	68.13333333	6.43333333	24.4	20.31666667	68.13333333	6.06666667	5.5	2.1	3.81666667	5.71666667	1.71666667	13.58333333	68.13333333	4.46666667	4.35	3.81666667	53.48333333	6.4	3.9	5.78333333	1.3	4.5	5.78333333	13.5
IT2.141720	11.21666666	27.1	12.28333333	11.13333333	59.81666666	6.78333333	0.0	60.26666666	10.56666666	6.38333333	11.81666666	13.88333333	28.88333333	12.5	13.25	11.28333333	5.38333333	15.71666666	2.31333333	1.78333333	21.45	59.83333333	3.43333333	59.83333333	5.6	21.45	8.08333333	12.56666666	6.41666667	11.8	60.26666666	27.1	12.71666666	11.8	10.73333333	11.81666666	7.86666666	5.38333333	12.56666666	8.08333333	11.98333333	12.48333333	27.1	2.28333334	21.45	6.6	0.38333333	4.68333333	12.85	15.71666666	7.85	11.21666666	60.26666666	7.86666666	5.025	7.83333333	28.88333333	11.21666666	28.88333333	11.98333333	5.25	0.01666666	5.6	10.73333333	2.28333334	74.91666666	13.21666666	17.61666667	27.1	74.91666666	12.85	12.28333333	4.68333333	2.96666666	12.5	5.06666666	6.8	74.91666666	2.31666666	11.13333333	2.96666666	60.26666666	0.38333333	10.68333333	12.56666666	8.08333333	11.28333333	12.56666666	6.71666667
PE1.141715	49.05	33.16666666	47.98333333	49.13333333	0.45	53.48333333	60.26666666	0.0	49.7	53.88333333	48.45	46.38333333	31.38333333	47.76666666	47.01666666	48.98333333	54.88333333	44.55	57.95333333	58.48333333	81.71666666	0.43333333	56.83333333	0.43333333	54.66666666	81.71666666	52.18333333	47.7	66.68333333	48.46666666	0.0	33.16666666	47.55	48.46666666	49.53333333	48.45	52.4	54.88333333	47.7	52.18333333	48.28333333	47.78333333	33.16666666	62.55	81.71666666	53.66666666	59.88333333	55.58333333	47.41666666	44.55	52.41666666	49.05	0.0	52.4	55.24166666	52.43333333	31.38333333	49.05	31.38333333	48.28333333	55.01666666	60.25	54.66666666	49.53333333	62.55	14.65	47.05	77.88333333	33.16666666	14.65	47.41666666	47.98333333	55.58333333	57.3	47.76666666	55.2	67.06666666	14.65	57.95	49.13333333	57.3	0.0	59.88333333	49.58333333	47.7	52.18333333	48.98333333	47.7	66.98333333
SP2.141678	0.65	16.53333334	1.71666667	0.56666667	49.25	3.78333333	10.56666666	49.7	0.0	4.18333333	1.25	3.31666667	18.31666667	1.93333334	2.68333334	0.71666667	5.18333333	5.15	8.25333333	8.78333333	32.01666666	49.26666667	7.13333333	49.26666667	4.96666666	32.01666666	2.48333333	2.0	16.98333333	1.23333334	49.7	16.53333334	2.15	1.23333334	0.16666667	1.25	2.7	5.18333333	2.0	2.48333333	1.41666667	1.91666667	16.53333334	12.85	32.01666666	3.96666666	10.18333333	5.88333333	2.28333334	5.15	2.71666666	0.65	49.7	2.7	5.54166666	2.73333333	18.31666667	0.65	18.31666667	1.41666667	5.31666666	10.55	4.96666666	0.16666667	12.85	64.35	2.65	28.18333333	16.53333334	64.35	2.28333334	1.71666667	5.88333333	7.6	1.93333334	5.5	17.36666666	64.35	8.25	0.56666667	7.6	49.7	10.18333333	0.11666667	2.0	2.48333333	0.71666667	2.0	17.28333333
CO3.141651	4.83333333	20.71666667	5.9	4.75	53.43333333	0.4	6.38333333	53.88333333	4.18333333	0.0	5.43333333	7.5	22.5	6.11666667	6.86666667	4.9	1.0	9.33333333	4.07	4.6	27.83333333	53.45	2.95	53.45	0.78333333	27.83333333	1.7	6.18333333	12.8	5.41666667	53.88333333	20.71666667	6.33333333	5.41666667	4.35	5.43333333	1.48333333	1.0	6.18333333	1.7	5.6	6.1	20.71666667	8.66666667	27.83333333	0.21666667	6.0	1.7	6.46666667	9.33333333	1.46666667	4.83333333	53.88333333	1.48333333	1.35833333	1.45	22.5	4.83333333	22.5	5.6	1.13333333	6.36666667	0.78333333	4.35	8.66666667	68.53333333	6.83333333	24.0	20.71666667	68.53333333	6.46666667	5.9	1.7	3.41666667	6.11666667	1.31666667	13.18333333	68.53333333	4.06666667	4.75	3.41666667	53.88333333	6.0	4.3	6.18333333	1.7	4.9	6.18333333	13.1
