# QIIME v1.4.0-dev OTU table
#OTU ID	MT2.141698	SA2.141687	CA1.141704	BB2.141659	CO2.141657	TL3.141709	SN3.141650	SK2.141662	SV1.141649	CR1.141682	CF3.141691	BB1.141690	BZ1.141724	TL1.141653	GB3.141652	CM1.141723	LQ1.141701	GB5.141668	CL1.141697	HF1.141663	PE7.141734	HF2.141686	GB2.141732	CF1.141675	IE2.141655	PE1.141715	MP2.141695	SN1.141681	DF3.141696	BP1.141702	SR2.141673	SR1.141680	SP1.141656	HI1.141693	LQ2.141729	VC2.141694	PE2.141725	HJ1.141718	KP3.141658	HJ2.141717	SK3.141716	PE6.141700	PE4.141683	SK1.141669	MP1.141661	BF2.141708	BF1.141647	AR3.141705	CF2.141679	SA1.141670	LQ3.141712	AR1.141727	SR3.141674	MT1.141719	IT2.141720	SV2.141666	CL3.141664	SF1.141728	SP2.141678	IE1.141648	MD2.141689	KP1.141713	PE5.141692	TL2.141706	HI4.141735	SB1.141730	HI3.141676	CL4.141667	PE3.141731	MD4.141660	CO1.141714	RT1.141654	RT2.141710	KP4.141733	DF1.141684	CL2.141671	MD3.141707	MD5.141688	IT1.141711	AR2.141703	CO3.141651	HI2.141672	DF2.141726	JT1.141699	GB1.141665	CC1.141721	CA2.141685	SF2.141677	VC1.141722	taxonomy
100307	2	0	0	8	1	0	0	0	0	0	2	0	0	0	1	0	3	0	3	6	2	5	1	4	4	0	4	0	4	0	0	0	3	3	7	0	1	14	0	1	0	4	2	9	1	4	4	1	3	0	4	0	0	1	1	0	6	0	1	3	0	0	5	0	2	0	0	0	3	0	0	0	0	0	2	2	0	0	1	0	0	1	0	0	0	5	0	0	1	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sinobacteraceae;g__;s__
102729	2	2	1	0	0	0	0	0	0	8	0	0	0	0	3	7	0	3	1	0	0	0	1	0	0	0	0	0	0	2	4	1	0	0	0	2	0	0	4	0	1	0	0	0	0	0	1	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	10	2	0	0	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0	0	1	4	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__
103326	1	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	1	3	1	0	0	0	2	0	0	0	4	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	4	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	1	2	0	0	0	1	0	0	0	k__Bacteria;p__Acidobacteria;c__Acidobacteria (class);o__Acidobacteriales;f__;g__;s__
103991	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	k__Bacteria;p__TM7;c__TM7-1;o__;f__;g__;s__
105699	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	9	0	2	0	0	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	6	1	0	0	3	1	0	0	0	0	0	0	0	0	8	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__;s__
107036	2	1	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0	0	3	2	0	0	1	0	1	6	1	0	0	2	1	0	0	0	0	1	0	2	1	5	1	0	0	0	0	2	0	1	0	1	2	1	0	1	0	0	0	0	0	0	0	0	0	2	3	0	1	1	0	0	4	0	3	0	1	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Nitrobacter;s__
107137	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	2	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae;g__Methylobacterium;s__
107879	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	1	0	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__;s__
109654	1	0	1	0	1	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__;s__
111976	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	4	0	2	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	3	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	3	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__;s__
112323	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Frankiaceae;g__;s__
112721	4	0	0	0	4	0	0	0	0	0	0	0	3	0	3	0	0	0	8	5	0	4	0	1	3	0	0	8	4	0	0	0	0	0	1	0	0	4	0	0	0	0	2	6	1	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	7	2	0	0	0	0	0	12	0	0	0	0	0	1	1	1	0	0	0	0	0	2	k__Bacteria;p__Acidobacteria;c__Acidobacteria (class);o__Acidobacteriales;f__Acidobacteriaceae;g__;s__
112859	2	0	0	2	1	4	1	0	0	0	7	0	0	0	0	0	8	0	2	22	5	15	0	8	5	4	7	0	4	0	0	0	0	0	20	1	6	1	0	0	2	8	6	1	14	24	27	1	16	0	10	0	0	1	4	0	2	0	3	4	0	0	27	1	0	0	0	1	17	0	0	0	0	0	2	0	0	0	3	1	1	5	2	0	1	1	0	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__;g__;s__
112964	4	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	2	8	1	0	0	0	0	0	0	0	2	0	6	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Acidobacteria;c__Acidobacteria (class);o__Acidobacteriales;f__Acidobacteriaceae;g__;s__
113400	1	0	1	0	0	0	0	1	1	0	0	0	4	0	7	0	0	0	1	0	0	0	2	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	3	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	5	k__Bacteria;p__Acidobacteria;c__Chloracidobacteria;o__;f__;g__;s__
