	MT2.141698	CA1.141704	BB2.141659	CO2.141657	TL3.141709	SN3.141650	SK2.141662	CR1.141682	CF3.141691	BZ1.141724	TL1.141653	GB3.141652	CM1.141723	CL1.141697	HF1.141663	PE7.141734	HF2.141686	GB2.141732	CF1.141675	IE2.141655	PE1.141715	MP2.141695	SN1.141681	DF3.141696	BP1.141702	SR1.141680	SP1.141656	LQ2.141729	VC2.141694	HJ1.141718	KP3.141658	HJ2.141717	SK3.141716	PE6.141700	PE4.141683	SK1.141669	MP1.141661	BF2.141708	BF1.141647	AR3.141705	CF2.141679	SA1.141670	LQ3.141712	AR1.141727	SR3.141674	MT1.141719	IT2.141720	CL3.141664	SF1.141728	SP2.141678	IE1.141648	MD2.141689	KP1.141713	PE5.141692	TL2.141706	HI4.141735	SB1.141730	HI3.141676	CL4.141667	PE3.141731	CO1.141714	RT1.141654	RT2.141710	KP4.141733	DF1.141684	CL2.141671	MD5.141688	IT1.141711	AR2.141703	CO3.141651	HI2.141672	DF2.141726	JT1.141699	GB1.141665	CC1.141721	SF2.141677	VC1.141722
MT2.141698	0.0	0.691786249995	0.570517448432	0.661399357085	0.667312473496	0.613623202715	0.664780132056	0.654558134304	0.756368475035	0.619635584287	0.715057299307	0.655578712697	0.674499818142	0.775932358923	0.585301072965	0.661058872611	0.584718417716	0.703668578355	0.80984431734	0.655850794234	0.706023792849	0.687228451668	0.798703856224	0.617981450245	0.596990971817	0.765414097754	0.682871278622	0.591410424311	0.70119420278	0.651857962166	0.589043591871	0.686901792838	0.658133401062	0.640280059461	0.600569601249	0.655190021405	0.598279486436	0.740634119429	0.845657141767	0.609542084859	0.762974703625	0.73644440493	0.625094248607	0.645027995919	0.631649108609	0.673646484735	0.665770446705	0.757466634021	0.638332318269	0.702487920437	0.781269088854	0.704327997232	0.7574176671	0.633436141122	0.642986581242	0.69464984776	0.648923366347	0.794880075962	0.653785114324	0.768994811369	0.767679974814	0.76844634613	0.580478560492	0.769806872569	0.646048875754	0.618443851836	0.733306002086	0.81849677106	0.605933132705	0.630544350439	0.622418152425	0.820770423101	0.637002772092	0.604607176446	0.713685624546	0.612360057963	0.693363454832
CA1.141704	0.691786249995	0.0	0.619859360757	0.746510549716	0.781553667162	0.702841764811	0.781527377875	0.743174453542	0.799504997506	0.71332685235	0.78989758724	0.70934719852	0.756278238904	0.841125957325	0.710969383348	0.655604676985	0.64381334285	0.75926191504	0.864416339298	0.746929841613	0.790114447638	0.774903625485	0.866965471866	0.74973183201	0.620170528419	0.795109384722	0.736037002214	0.737154702017	0.808222184229	0.706711719503	0.708633642995	0.793592144666	0.624241143297	0.667422392522	0.642171276039	0.795638493426	0.753242643824	0.785020811472	0.89707887703	0.72169704849	0.691451273685	0.790907307371	0.749825900629	0.642038183207	0.70823713968	0.713016255987	0.602770934789	0.826114573011	0.749842535442	0.815181901574	0.815265641037	0.808728073572	0.82213241336	0.676775471934	0.697905598849	0.735499245337	0.602397181736	0.844845974922	0.730142740364	0.822341878435	0.801880112113	0.848079134586	0.595747465464	0.784837797027	0.688019678247	0.618374333491	0.61776020089	0.877810817274	0.7427678449	0.771049735165	0.698180421679	0.846737999621	0.681559549707	0.71087556498	0.605596130936	0.618108249305	0.817997421056
BB2.141659	0.570517448432	0.619859360757	0.0	0.692890973738	0.702547210291	0.641551120261	0.734631324628	0.672646637915	0.805975491153	0.679822420102	0.735301672902	0.668365512637	0.708049189364	0.812592569213	0.647556908605	0.632198788674	0.54791748669	0.721229643215	0.854508275848	0.698343312799	0.742400732706	0.752557540261	0.85059365466	0.666972515444	0.597582281264	0.784380970094	0.699544582973	0.644795557007	0.763231556762	0.676334563049	0.637272509117	0.723762359114	0.625727432574	0.655643093619	0.60632469801	0.724021788604	0.701836491614	0.781289134172	0.888307267868	0.669096569172	0.718801520415	0.787653390202	0.661419619864	0.612499000458	0.657912874148	0.708134157663	0.582158587163	0.820854176147	0.704635022883	0.75802079477	0.800007461727	0.748213065689	0.80640762961	0.63728293654	0.653864235116	0.705831813859	0.595989105892	0.830952144308	0.711471334309	0.821784732511	0.807862557002	0.830245819812	0.569223865187	0.817763951852	0.615762905174	0.573570628263	0.686399200603	0.871254309256	0.637506966794	0.689677438939	0.617701907552	0.852747149815	0.627053421511	0.619003298732	0.648449912033	0.540085568675	0.764298846136
CO2.141657	0.661399357085	0.746510549716	0.692890973738	0.0	0.580616234218	0.667427869824	0.624770572908	0.586559909186	0.712290835112	0.634888905148	0.708434727984	0.674804751256	0.64307605252	0.746173628613	0.653120209017	0.720836670619	0.681009231245	0.628782158887	0.769767498529	0.625403091897	0.615224040933	0.674471088195	0.751799779215	0.606395257519	0.661091455587	0.653432130846	0.61136729912	0.622023005007	0.645793622468	0.662635370153	0.614229276143	0.688391017146	0.72479217335	0.665433703804	0.694979281374	0.642059250513	0.65564993398	0.689715210709	0.792178225337	0.618440354859	0.763516342308	0.658134533233	0.547292601844	0.732959520961	0.608311546954	0.652161433227	0.710672077827	0.693655429542	0.602398447445	0.661632842579	0.692919250944	0.668361218224	0.686448768616	0.725756737718	0.648186045584	0.678057542181	0.731782077174	0.739391148841	0.681706388518	0.718558664408	0.681150396238	0.714185335418	0.693267081857	0.702162714027	0.653536576846	0.665727444591	0.772702259167	0.77906239773	0.658454251849	0.659162166258	0.64681616765	0.770819559491	0.696653899443	0.640805943032	0.775622210784	0.674941750589	0.677496015144
TL3.141709	0.667312473496	0.781553667162	0.702547210291	0.580616234218	0.0	0.67109306704	0.55611871384	0.581866935414	0.667441524306	0.670555842835	0.666730065602	0.637818479996	0.637610364325	0.710825553575	0.651442955673	0.766969120228	0.694752965114	0.628928861131	0.752662128159	0.635726559161	0.573951892207	0.636163010893	0.740453288116	0.553624269786	0.672876783106	0.688469142929	0.659954644281	0.583912007245	0.649859115734	0.69954159793	0.625639200337	0.558805433879	0.719568105178	0.642621594503	0.726621080567	0.557596604974	0.55808440019	0.681721380256	0.784784161698	0.577556533751	0.76949033479	0.651723855999	0.551848309855	0.745547617226	0.632961411475	0.695302373061	0.704710228781	0.688940774769	0.603444631008	0.628221092985	0.71282366868	0.638866502216	0.714619380849	0.708257360741	0.689607722497	0.72207520614	0.719090463059	0.716822314233	0.6673408635	0.700609205659	0.704520734848	0.69786995335	0.683001085923	0.730409147571	0.653487354123	0.698687143741	0.77258980636	0.774365005922	0.65813608868	0.676232418577	0.644989351228	0.771462654834	0.664821048319	0.688604534907	0.781752220542	0.669726072284	0.608194611875
SN3.141650	0.613623202715	0.702841764811	0.641551120261	0.667427869824	0.67109306704	0.0	0.665932272809	0.675931615592	0.765735331514	0.682055860074	0.702876215265	0.632911670833	0.664471831779	0.788009019229	0.675568451464	0.700290967667	0.639273360196	0.701743588686	0.815576385655	0.674060604231	0.710211899054	0.715642325755	0.805380497004	0.647099142327	0.596932852198	0.743015633589	0.665298565467	0.607615011168	0.728633994458	0.691033640899	0.633551573127	0.678140769177	0.677799772269	0.633255674659	0.685439005767	0.679578148387	0.656470525567	0.766102842505	0.839808721493	0.617758749872	0.755723017533	0.752405977806	0.639750839706	0.664668430761	0.640455816126	0.682526116327	0.662693170566	0.789090197784	0.660890349453	0.702543391161	0.771834413665	0.72398302997	0.750862572713	0.658684218843	0.652531892876	0.696699212728	0.655181469635	0.785293996523	0.670985738666	0.786171664305	0.755600219986	0.787214982166	0.604920778591	0.770222729651	0.642135658303	0.629184384416	0.731446453254	0.830881862167	0.672000756971	0.702937930236	0.634660300825	0.814816141547	0.640089711508	0.694016495009	0.677649207315	0.622788614808	0.730865162668
SK2.141662	0.664780132056	0.781527377875	0.734631324628	0.624770572908	0.55611871384	0.665932272809	0.0	0.669975794378	0.633721756851	0.713207708099	0.65758600056	0.644376395465	0.675353791249	0.716439499153	0.667930986705	0.757233195432	0.708076206944	0.65499330534	0.710669813497	0.593733981327	0.555103765408	0.613891779081	0.7014022024	0.600731431793	0.693964973239	0.669047980689	0.666612630579	0.632011521017	0.598126829287	0.70657314614	0.635196078661	0.557448773753	0.74571813544	0.654470462686	0.749554074196	0.420685619994	0.595896219305	0.611017098633	0.735657735828	0.596660870018	0.773667127149	0.620324538191	0.603215547955	0.762145761172	0.625014998059	0.683301521638	0.743665783339	0.638954918676	0.549822753759	0.598826077446	0.695776950746	0.577574885375	0.682496121961	0.743484047983	0.687168238191	0.682084593879	0.758373030889	0.64900992746	0.671215808841	0.681876962433	0.616357115176	0.661727453415	0.702669746108	0.671455493225	0.682477610614	0.739070164833	0.799890943061	0.692731344341	0.69285590226	0.65212169992	0.69162565452	0.713030746706	0.699866287045	0.720149365039	0.778170405365	0.692294732133	0.576228181985
CR1.141682	0.654558134304	0.743174453542	0.672646637915	0.586559909186	0.581866935414	0.675931615592	0.669975794378	0.0	0.723908981063	0.60955093437	0.713218253378	0.675478804783	0.651201877985	0.782862583981	0.653111923656	0.712519935471	0.684791975308	0.662877164351	0.800571214689	0.656344035187	0.641223551335	0.694503340479	0.783001985872	0.626997561369	0.644554707776	0.734356909401	0.659072223517	0.548425685134	0.702448361812	0.699913308079	0.610448154896	0.654962631714	0.69612741529	0.67173916165	0.661015658726	0.663875272829	0.655139375455	0.73982117076	0.826296012427	0.59991634555	0.769892567953	0.720664915547	0.55750470941	0.710341677111	0.612015077112	0.684516329348	0.686814179818	0.768768311298	0.639638885207	0.705535082668	0.750348654937	0.700698651893	0.731246224759	0.700535278266	0.667043877944	0.703655044214	0.704128502664	0.779129780349	0.676548009428	0.758502150597	0.754509699513	0.768538934272	0.665958508644	0.755262838868	0.621210356427	0.692367371519	0.750684320356	0.816847261933	0.656629695543	0.676179248479	0.628754420828	0.813400041711	0.659467106207	0.602187189756	0.766495532764	0.650660459254	0.726986341899
CF3.141691	0.756368475035	0.799504997506	0.805975491153	0.712290835112	0.667441524306	0.765735331514	0.633721756851	0.723908981063	0.0	0.771067558396	0.616504467109	0.711173405838	0.721222539981	0.675683974058	0.752307545365	0.825228167864	0.77367457977	0.687684816218	0.586212125883	0.64739935529	0.650454065503	0.567503029835	0.58871135846	0.682113381651	0.790885843025	0.619078661969	0.74999317896	0.729023583672	0.533818457742	0.764396592886	0.749081703426	0.57670030508	0.808351737115	0.723718756003	0.788296926825	0.608319379363	0.658853575764	0.567470311282	0.635726005352	0.719160929105	0.817424271206	0.510037460577	0.720331012092	0.814998928486	0.758991794371	0.772293747078	0.78422576669	0.579663232333	0.646386009771	0.588381964601	0.619497847302	0.635952082171	0.664265688274	0.826718796767	0.781921965883	0.769717122518	0.791532222762	0.641042528472	0.734737633488	0.61156139431	0.567001172179	0.585937336917	0.777203137034	0.625918000388	0.797804375037	0.764760101777	0.796882477114	0.608861245261	0.801966385617	0.73362014026	0.76405875267	0.671944961277	0.765749740565	0.787549599612	0.80853305907	0.77981565934	0.550400215536
BZ1.141724	0.619635584287	0.71332685235	0.679822420102	0.634888905148	0.670555842835	0.682055860074	0.713207708099	0.60955093437	0.771067558396	0.0	0.756492092221	0.721631383427	0.671698642203	0.803732496347	0.681093475903	0.665463503758	0.674713911835	0.653820032275	0.80283326056	0.637225870712	0.698221952934	0.723617678874	0.796961645161	0.65035304881	0.63374640965	0.751196662674	0.654958519338	0.638908047574	0.719585971278	0.627779085237	0.63255613492	0.72258074314	0.643539930067	0.705365276823	0.579012638025	0.711526869785	0.671351261779	0.768874565756	0.858619944665	0.657003442277	0.770379444327	0.762265341318	0.639730562957	0.665184162615	0.643831888732	0.643516659098	0.680202571513	0.771172708135	0.663382372847	0.724313724086	0.772658483435	0.753525072406	0.730822645608	0.670487041005	0.642021822124	0.66873441147	0.67354677407	0.807231149248	0.614509372509	0.782070576758	0.759316154374	0.764485381349	0.662346749041	0.757612609585	0.623157962784	0.680406788006	0.740955138763	0.813358070692	0.611838934827	0.679907452324	0.617366795974	0.831857616972	0.692291969468	0.610999313972	0.755869934169	0.632171464887	0.737660911419
TL1.141653	0.715057299307	0.78989758724	0.735301672902	0.708434727984	0.666730065602	0.702876215265	0.65758600056	0.713218253378	0.616504467109	0.756492092221	0.0	0.613442470814	0.702578022023	0.735802072866	0.749793454112	0.780700209997	0.719239120668	0.686845651453	0.723563060875	0.725348360898	0.672477899258	0.671073813223	0.710662185552	0.667060806268	0.719516756757	0.703703722891	0.736251257924	0.658718564849	0.643432971753	0.763090768924	0.686355762758	0.561363074094	0.77590059984	0.641694208214	0.778125662547	0.612798112952	0.645416627586	0.681663593599	0.768009634736	0.651231005053	0.747181898802	0.656903899986	0.672506875438	0.782197799431	0.748839463589	0.771493402732	0.72325388302	0.715753341413	0.69552814759	0.656024657861	0.707373441604	0.657277776682	0.75605452814	0.779018894949	0.772538077847	0.792658619105	0.738560554736	0.752247260956	0.699213594998	0.739111641693	0.67119437694	0.704473944001	0.71339137038	0.737950076385	0.730441929022	0.697020114354	0.747283777391	0.708447608054	0.781567979103	0.747940957667	0.719653175639	0.761849513715	0.681832655677	0.755828174109	0.744909713247	0.711973443459	0.642001306845
GB3.141652	0.655578712697	0.70934719852	0.668365512637	0.674804751256	0.637818479996	0.632911670833	0.644376395465	0.675478804783	0.711173405838	0.721631383427	0.613442470814	0.0	0.650212530452	0.774539112221	0.679258975892	0.728754010791	0.657197182074	0.689747335992	0.79985628947	0.70056615561	0.664343413011	0.696353224902	0.780333122622	0.624771923722	0.648543660498	0.739613719702	0.682357096471	0.622135587669	0.679931955873	0.724665484603	0.604033537867	0.64306140939	0.712980803821	0.582434706507	0.732790459322	0.658093719761	0.661223617505	0.721707516043	0.836479246297	0.583395837553	0.691903513905	0.700097437339	0.643284700643	0.721221937391	0.684204908076	0.735421184924	0.666795186978	0.725871280208	0.64754038115	0.679043739677	0.754953315608	0.650653881736	0.774038168885	0.713484539768	0.716189347385	0.751220191121	0.656384616331	0.780826084231	0.666943040651	0.775206075613	0.728669039614	0.750036767312	0.629507320436	0.752321955101	0.672895430534	0.627103475811	0.711989539737	0.801108189358	0.736487138632	0.738816718122	0.661804813596	0.805208784579	0.609774282532	0.708192384398	0.696455055448	0.657380763755	0.693052511909
CM1.141723	0.674499818142	0.756278238904	0.708049189364	0.64307605252	0.637610364325	0.664471831779	0.675353791249	0.651201877985	0.721222539981	0.671698642203	0.702578022023	0.650212530452	0.0	0.793448885416	0.693525649722	0.716303344697	0.689798533136	0.634579458802	0.800394500359	0.654334930563	0.663759036791	0.716538436102	0.762823532537	0.635506466592	0.640427327773	0.716311583619	0.635969432678	0.637999693901	0.716331009803	0.672557792912	0.64901357385	0.689960912544	0.701155572482	0.625308372382	0.699305805549	0.668911338179	0.696367957657	0.746081985598	0.801580290748	0.652942393924	0.75586127484	0.68986126166	0.610858823855	0.724279042572	0.657598252744	0.690541692763	0.679728199001	0.743193110426	0.665041350343	0.701001732307	0.736998091293	0.667558502535	0.723916446967	0.689879120258	0.679685293941	0.701226039139	0.701839526896	0.776202329387	0.628366246333	0.747812600126	0.757916228678	0.760781402416	0.675117883821	0.760125477271	0.651200100153	0.673429000281	0.747553684435	0.81010705061	0.674595044051	0.7003369697	0.641795913721	0.784280026123	0.680480465456	0.693666311423	0.760280228577	0.662807719353	0.713001336898
CL1.141697	0.775932358923	0.841125957325	0.812592569213	0.746173628613	0.710825553575	0.788009019229	0.716439499153	0.782862583981	0.675683974058	0.803732496347	0.735802072866	0.774539112221	0.793448885416	0.0	0.691311333593	0.832495294943	0.798753037752	0.769264716165	0.745870954948	0.76690097101	0.761978326587	0.706904779817	0.742008424564	0.753809665376	0.816937539208	0.733835855882	0.795351703021	0.769487434742	0.685396967456	0.794817819585	0.776599634854	0.726042942719	0.82014005904	0.794274220118	0.833718727798	0.675647956966	0.717564263897	0.685469777702	0.770156517293	0.743694309738	0.834465563743	0.689738311116	0.747417207649	0.820181658639	0.785825496597	0.793303735659	0.81890864172	0.689795821397	0.726505057037	0.709208608304	0.71768927326	0.661885885151	0.750576776384	0.847166957944	0.814440163291	0.792199153317	0.811416220893	0.739174890543	0.803353552616	0.749725410173	0.714647231922	0.733143505569	0.798438207914	0.758738225701	0.825808265873	0.806294507374	0.837554313092	0.735404386187	0.800216050864	0.712868142744	0.801318638142	0.789712809072	0.811862227045	0.792290923421	0.824201535021	0.819455495819	0.691843377185
