	TOT_ORG_CARB	SILT_CLAY	ELEVATION	SOIL_MOISTURE_DEFICIT	CARB_NITRO_RATIO	ANNUAL_SEASON_TEMP	ANNUAL_SEASON_PRECPT	PH	CMIN_RATE	LONGITUDE	LATITUDE
MT2.141698	39.1	35	1000	70	23.087	7	450	6.66	19.7	-114	46.8
CA1.141704	16.7	73	2003	198	13	10.3	400	7.27	2.276	-111.7666667	36.05
BB2.141659	52.2	44	400	-680	21.4	6.1	1200	4.6	2.223	-68.1	44.86666667
CO2.141657	18.1	24	2400	104	31.8	6.1	350	5.68	9.223	-105.3333333	40.58333333
TL3.141709	53.9	52	894	-212	24.6	-9.3	400	4.23	16.456	-149.5833333	68.63333333
SN3.141650	16.6	20	3000	-252	13.9	3.6	600	5.74	6.289	-118.1666667	36.45
SK2.141662	24.9	35	601	-13	24.345	0.4	467	6.18	6.5	-105.2	53.98333333
CR1.141682	28.3	64	250	160	10.7	18.4	850	8	3.078	-97.23333333	33.93333333
CF3.141691	43.3	77	800	-859	17	5.3	1300	3.56	2.912	-74.1	42.11666667
BZ1.141724	30.3	80	300	133	19.4	-2.9	260	5.12	4.185	-148.25	64.8
TL1.141653	70.2	57	894	-212	18.7	-9.3	400	4.58	9.241	-149.5833333	68.63333333
GB3.141652	57.1	76	3270	-112	14.3	2	400	7.18	6.244	-111.4833333	39.31666667
CM1.141723	29.9	82	200	155	12.4	18.5	850	7.85	2.043	-96.23333333	33.3
CL1.141697	23.3	35	150	-420	19.6	15.9	1250	5.68	4.642	-81.66666667	34.61666667
HF1.141663	127.6	33	300	-484	22.5	7	1100	4.25	14.412	-72.16666667	42.5
PE7.141734	63.8	88	440	-1600	11.21	25	4000	5.51	16.7	-71.23333333	-12.65
HF2.141686	95.5	38	300	-484	20.9	7	1100	3.98	10.001	-72.16666667	42.5
GB2.141732	68.9	65	3290	-112	13.1	2	400	7.57	5.375	-111.4666667	39.31666667
CF1.141675	25.6	49	800	-859	13.6	5.3	1300	3.92	2.266	-74.25833333	42.15833333
IE2.141655	40.7	49	75	-610	13.2	8.6	1200	5.52	11.422	-73.75	41.8
PE1.141715	134.2	35	3250	-2500	13.887	10	2100	4.12	32.2	-71.58333333	-13.08333333
MP2.141695	98.7	42	1300	-1721	18.3	8.8	2200	4.38	7.116	-123.5333333	49.46666667
SN1.141681	42.5	20	3000	-252	22	3.6	600	4.95	12.996	-118.1666667	36.45
DF3.141696	17	20	150	-328	25.8	14.6	1100	5.05	4.149	-79.08333333	35.96666667
BP1.141702	31	65	1100	79	14.5	6.6	450	7.53	7.736	-102.3833333	43.75
SR1.141680	45.9	55	300	324	11.1	17.2	500	6.84	6.119	-120.05	34.7
SP1.141656	16.8	36	650	17	18.5	12.7	650	6.25	7.709	-118.7	36.5
LQ2.141729	41.1	84	400	-2454	13	21.5	3500	5.03	7.816	-65.83333333	18.3
VC2.141694	34.4	59	2733	-175	11.5	2.5	500	5.99	6.265	-106.55	35.9
HJ1.141718	69.5	41	700	-1507	36.6	9.4	2000	5.41	5.079	-122.15	44.21666667
KP3.141658	68.9	76	100	-81	17.7	12.5	835	7.92	1.948	-96.6	39.1
HJ2.141717	76.1	47	700	-1507	26.1	9.4	2000	5.36	4.532	-122.15	44.21666667
SK3.141716	8.5	55	601	-13	14.135	0.4	467	5.83	3.7	-106.2	53.6
PE6.141700	33.4	65	860	-1600	10.12	25	4000	4.12	13.4	-71.23333333	-12.65
PE4.141683	59.5	32	2000	-3700	18.45	17	6200	4.1	15.5	-71.58333333	-13.08333333
SK1.141669	11.6	21	579	-13	31.6767	0.4	467	5.45	5.8	-104.7	53.9
MP1.141661	107	41	1300	-1721	14.7	8.8	2200	4.56	5.636	-123.5333333	49.46666667
BF2.141708	95.2	56	390	-451	15.2	7.8	1000	3.61	8.718	-80.05	41.58333333
BF1.141647	64.4	60	390	-451	13.7	7.8	1000	4.05	7.019	-80.05	41.58333333
AR3.141705	24.4	82	150	-206	9.844	23	1400	5.9	4.5	-55.68333333	-27.73333333
CF2.141679	40.6	28	800	-859	19.1	5.3	1300	3.63	3	-74.35	41.93333333
SA1.141670	22.9	9	1905	198	18.2	10.3	400	6.9	3.821	-111.55	35.36666667
LQ3.141712	64.1	35	700	-3528	22.6	20.5	4500	4.67	3.686	-65.83333333	18.3
AR1.141727	22.1	80	150	-206	8.98	23	1400	5.8	4.3	-55.68333333	-27.73333333
SR3.141674	33	61	300	324	11	17.2	500	6.95	7.154	-120.05	34.68333333
MT1.141719	105.4	30	1000	70	16.007	7	450	7.57	26.9	-114	46.8
IT2.141720	39.1	19	550	-262	23	3	750	5.42	16.003	-95.16666667	47.18333333
CL3.141664	12.1	19	150	-420	24.3	15.9	1250	4.89	4.145	-81.66666667	34.61666667
SF1.141728	14.2	60	1500	494	9.92	13	250	7.71	7.6	-105.9333333	35.38333333
SP2.141678	81	24	3215	-402	15.9	3.6	750	5.13	6.535	-118.6333333	36.61666667
IE1.141648	27	49	75	-610	11.8	8.6	1200	5.27	7.536	-73.75	41.8
MD2.141689	4.2	26	967	1054	8.8	21	150	7.65	1.97	-115.6	34.9
KP1.141713	61.2	78	100	-81	13.6	12.5	835	6.37	4.324	-96.6	39.1
PE5.141692	93.6	70	1750	-1900	14.55	23	5000	3.57	25	-71.26666667	-12.63333333
TL2.141706	158.3	61	894	-212	16.6	-9.3	400	6.47	12.092	-149.5833333	68.63333333
HI4.141735	108.2	52	1500	-392	15.1	22.8	1500	4.92	22.822	-155.7	20.08333333
SB1.141730	26.5	54	500	153	16.9	15	550	7.92	7.166	-119.8	34.46666667
HI3.141676	182.4	25	1500	108	11.2	22.8	1000	6.53	13.285	-155.7	20.08333333
CL4.141667	17.1	36	150	-420	13.7	15.9	1250	5.03	2.234	-81.66666667	34.61666667
PE3.141731	130.9	40	2750	-3270	16.84	16	5500	4.25	31.8	-71.58333333	-13.08333333
CO1.141714	15.9	14	3800	-309	19.1	-3	600	6.13	4.477	-105.7	40.4
RT1.141654	39.4	82	50	135	12.3	18.1	840	7.92	1.852	-96.86666667	31.46666667
RT2.141710	37.5	80	50	135	12	18.1	840	8.07	1.646	-96.86666667	31.46666667
KP4.141733	39.8	77	100	-81	13.892	12.5	835	7.1	16	-96.6	39.1
DF1.141684	27.8	43	163	-328	37.7	14.6	1100	5.37	13.201	-79.08333333	35.96666667
CL2.141671	22.7	25	150	-420	12.8	15.9	1250	5.57	4.07	-81.66666667	34.61666667
MD5.141688	5.7	20	776	1087	9.5	21	150	8.07	5.931	-115.8666667	35.2
IT1.141711	63.1	27	550	-262	22.5	3	750	5.78	16.079	-95.16666667	47.16666667
AR2.141703	21.7	78	150	-206	9.36	23	1400	6	3.9	-55.68333333	-27.73333333
CO3.141651	8.2	24	1500	231	11.7	9.3	322	6.02	2.443	-104.8333333	40.8
HI2.141672	158.8	36	1000	358	11	22.8	750	6.32	11.805	-155.7	20.08333333
DF2.141726	54.5	53	163	-328	18.3	14.6	1100	6.84	20.411	-79.08333333	35.96666667
JT1.141699	6.9	18	1360	1032	11.668	16	90	7.6	11.7	-116.0666667	33.96666667
GB1.141665	28.2	77	3750	-112	12.2	2	400	6.84	6.098	-111.45	39.33333333
CC1.141721	19.1	11	110	-143	14.5	5.8	720	6.06	4.204	-93.2	45.4
SF2.141677	4.2	58	1500	494	8.14	13	250	8.38	4	-105.9333333	35.38333333
VC1.141722	56.7	41	2746	-175	17	2.5	500	5.55	15.209	-106.55	35.9
