	Label1	Label2	Label3	Label4	Label5	Label6	Label7	Label8	Label9	Label10	Label11	Label12	Label13	Label14	Label15	Label16	Label17	Label18	Label19	Label20
Label1	0.00E+00	2.56E-01	2.51E-01	2.37E-01	2.32E-01	2.48E-01	2.63E-01	2.42E-01	2.57E-01	2.21E-01	2.49E-01	2.47E-01	2.64E-01	2.31E-01	2.56E-01	2.74E-01	2.75E-01	2.54E-01	2.43E-01	2.48E-01
Label2	2.56E-01	0.00E+00	2.73E-01	2.37E-01	2.25E-01	2.69E-01	2.45E-01	2.18E-01	2.27E-01	2.11E-01	2.60E-01	2.59E-01	1.99E-01	2.14E-01	2.01E-01	2.10E-01	2.14E-01	2.30E-01	2.46E-01	2.63E-01
Label3	2.51E-01	2.73E-01	0.00E+00	2.24E-01	2.14E-01	2.49E-01	2.90E-01	2.67E-01	3.02E-01	2.25E-01	2.09E-01	2.07E-01	2.89E-01	2.62E-01	2.85E-01	2.92E-01	2.98E-01	2.81E-01	2.61E-01	2.83E-01
Label4	2.37E-01	2.37E-01	2.24E-01	0.00E+00	1.81E-01	2.44E-01	2.14E-01	1.89E-01	2.21E-01	1.76E-01	2.13E-01	2.11E-01	2.29E-01	2.26E-01	2.33E-01	2.30E-01	2.46E-01	2.23E-01	2.18E-01	2.17E-01
Label5	2.32E-01	2.25E-01	2.14E-01	1.81E-01	0.00E+00	2.28E-01	2.07E-01	1.97E-01	2.33E-01	1.76E-01	1.90E-01	1.87E-01	2.36E-01	1.98E-01	2.28E-01	2.32E-01	2.49E-01	2.26E-01	2.34E-01	2.23E-01
Label6	2.48E-01	2.69E-01	2.49E-01	2.44E-01	2.28E-01	0.00E+00	2.62E-01	2.54E-01	2.65E-01	2.31E-01	2.24E-01	2.22E-01	2.65E-01	2.56E-01	2.69E-01	3.00E-01	2.81E-01	2.49E-01	2.57E-01	2.40E-01
Label7	2.63E-01	2.45E-01	2.90E-01	2.14E-01	2.07E-01	2.62E-01	0.00E+00	1.66E-01	1.67E-01	2.08E-01	2.33E-01	2.31E-01	2.05E-01	2.18E-01	1.98E-01	2.12E-01	2.03E-01	1.87E-01	1.93E-01	1.68E-01
Label8	2.42E-01	2.18E-01	2.67E-01	1.89E-01	1.97E-01	2.54E-01	1.66E-01	0.00E+00	1.83E-01	1.92E-01	2.22E-01	2.15E-01	1.72E-01	2.08E-01	1.73E-01	1.96E-01	1.88E-01	1.89E-01	2.13E-01	2.06E-01
Label9	2.57E-01	2.27E-01	3.02E-01	2.21E-01	2.33E-01	2.65E-01	1.67E-01	1.83E-01	0.00E+00	2.10E-01	2.64E-01	2.60E-01	2.00E-01	2.06E-01	1.84E-01	2.15E-01	2.04E-01	2.06E-01	2.01E-01	1.94E-01
Label10	2.21E-01	2.11E-01	2.25E-01	1.76E-01	1.76E-01	2.31E-01	2.08E-01	1.92E-01	2.10E-01	0.00E+00	1.91E-01	2.06E-01	2.23E-01	2.22E-01	2.34E-01	2.30E-01	2.24E-01	2.06E-01	1.90E-01	2.10E-01
Label11	2.49E-01	2.60E-01	2.09E-01	2.13E-01	1.90E-01	2.24E-01	2.33E-01	2.22E-01	2.64E-01	1.91E-01	0.00E+00	1.80E-01	2.61E-01	2.53E-01	2.56E-01	2.70E-01	2.67E-01	2.26E-01	2.51E-01	2.29E-01
