	Face38.143319	Face32.143355	Face30.143329	Face44.143349	Face17.143354	Face21.143328	Face46.143315	Face13.143318	Face37.143323	Face9.143346	Face10.143341	Face39.143332	Face43.143350	Face18.143342	Face47.143345	Face6.143359	Face26.143322	Face20.143326	Face19.143331	Face8.143357	Face42.143360	Face35.143358	Face12.143333	Face3.143313	Face49.143338	Face14.143311	Face27.143353	Face45.143312	Face23.143337	Face34.143321	Face7.143339	Face24.143324	Face28.143348	Face33.143336	Face15.143344	Face31.143330	Face2.143352	Face11.143343	Face4.143335	Face29.143316	Face50.143317	Face1.143356	Face22.143334	Face25.143320	Face48.143351	Face41.143327	Face36.143314	Face40.143325	Face16.143340
Face38.143319	0.0	0.0613928	0.01666334	0.17522168	0.04140394	0.0574559	0.1308077	0.04641306	0.4780285	0.0730473	0.05501884	0.0590643	0.26368866	0.05417402	0.09885982	0.06767824	0.06486038	0.05902646	0.0566807	0.05963834	0.0672474	0.03604124	0.04613794	0.04288086	0.06501408	0.04632432	0.0347799	0.14235036	0.05743952	0.03015292	0.05978388	0.04760152	0.05444218	0.05799856	0.04568766	0.0565137	0.04630806	0.1229858	0.06763302	0.03187158	0.04398206	0.0580721	0.05367382	0.06529646	0.06196846	0.03372684	0.36277962	0.05290592	0.06036204
Face32.143355	0.0613928	0.0	0.06166418	0.20416676	0.02254194	0.03547906	0.18325654	0.0523729	0.5162231	0.08750942	0.06809588	0.1063881	0.31794386	0.01092242	0.15097966	0.00886796	0.02147254	0.04498218	0.07048178	0.05859738	0.1200018	0.06257996	0.08365534	0.04317386	0.06762968	0.09431624	0.03450674	0.19751368	0.04220056	0.05936288	0.05713496	0.04437568	0.01237226	0.01086292	0.0384153	0.0254961	0.03502402	0.12822716	0.07772918	0.05197854	0.0439539	0.02603858	0.06968634	0.01781418	0.11246298	0.04795084	0.40631106	0.03627904	0.02388996
Face30.143329	0.01666334	0.06166418	0.0	0.1668657	0.04442088	0.04888084	0.1324384	0.04047384	0.4713702	0.06111756	0.05283578	0.0696408	0.26076712	0.05633812	0.09640028	0.06561074	0.0580906	0.0496226	0.04933396	0.04998332	0.06968126	0.03255226	0.04521536	0.04115376	0.0534219	0.04523402	0.0425566	0.14202882	0.05031698	0.03018098	0.05230494	0.04294434	0.05302824	0.0538971	0.04150696	0.05127564	0.04289948	0.11520202	0.05524932	0.026279	0.03925508	0.05507732	0.0490874	0.06065256	0.05671164	0.02713718	0.3575168	0.04867866	0.05629534
Face44.143349	0.17522168	0.20416676	0.1668657	0.0	0.18459662	0.17484542	0.07461474	0.16141538	0.41389018	0.1301991	0.14668832	0.18296734	0.19719878	0.19704374	0.13574658	0.20814556	0.19095478	0.16535706	0.1507105	0.15586266	0.16266268	0.16026484	0.14281842	0.16750158	0.14888232	0.14952724	0.1807175	0.1240292	0.16733384	0.16128564	0.1618212	0.16574548	0.1927949	0.19451732	0.17113238	0.18164102	0.17377254	0.15031092	0.15323238	0.16108954	0.16618958	0.18911178	0.14440606	0.1964219	0.15430762	0.16124024	0.29146478	0.17645664	0.19074904
Face17.143354	0.04140394	0.02254194	0.04442088	0.18459662	0.0	0.03438804	0.16256132	0.0387126	0.50147384	0.07397292	0.0573139	0.08573944	0.29789576	0.01708428	0.1331306	0.02906582	0.02731704	0.0435766	0.05444364	0.0540878	0.1008761	0.04334342	0.06214952	0.0300352	0.06357826	0.07280974	0.01377396	0.17644778	0.0399057	0.0380217	0.05487518	0.0320413	0.01749592	0.0200065	0.02272012	0.0228204	0.02215584	0.12482146	0.06863716	0.03514272	0.03038376	0.0245894	0.0542136	0.02752828	0.09330012	0.03090466	0.38834048	0.02632898	0.02135134
Face21.143328	0.0574559	0.03547906	0.04888084	0.17484542	0.03438804	0.0	0.1577428	0.02762108	0.49650372	0.06144236	0.04559022	0.10094136	0.29156044	0.0339618	0.12912064	0.03887378	0.02472832	0.02111932	0.05167292	0.03177308	0.1076445	0.04408946	0.06476628	0.02489336	0.04275178	0.07116978	0.03834116	0.17331998	0.01992234	0.04561174	0.03736446	0.02454066	0.0274288	0.02758302	0.02347812	0.01682868	0.02035712	0.1121075	0.05134264	0.0345664	0.02460856	0.02582512	0.04858364	0.0325456	0.0938184	0.03094814	0.38258864	0.02606574	0.02305814
Face46.143315	0.1308077	0.18325654	0.1324384	0.07461474	0.16256132	0.1577428	0.0	0.14504056	0.41096752	0.11299224	0.12032842	0.14611824	0.1848422	0.17491424	0.09644	0.18662414	0.1692916	0.152596	0.12596368	0.13196844	0.12000574	0.13974158	0.12101716	0.14451996	0.13280514	0.1099327	0.1585734	0.09087102	0.14948274	0.1384149	0.13453698	0.14300518	0.17151104	0.17312034	0.14900196	0.16051684	0.15134104	0.13243718	0.1306406	0.138648	0.14569144	0.16708592	0.12444152	0.17476948	0.11164428	0.13702662	0.28847572	0.15157886	0.16583282
Face13.143318	0.04641306	0.0523729	0.04047384	0.16141538	0.0387126	0.02762108	0.14504056	0.0	0.48550116	0.05575572	0.03790794	0.08982744	0.27798332	0.04496544	0.12009444	0.05595858	0.043585	0.03365804	0.03963896	0.03095064	0.09749738	0.0305103	0.04805524	0.01985256	0.0417431	0.05654554	0.04051724	0.15435046	0.03061506	0.02904698	0.03353314	0.02283862	0.04111104	0.04276302	0.023727	0.03656424	0.02558332	0.10998442	0.04470416	0.02625848	0.018173	0.03876496	0.03592864	0.0478532	0.08156152	0.02537414	0.36505968	0.03353738	0.03683498
Face37.143323	0.4780285	0.5162231	0.4713702	0.41389018	0.50147384	0.49650372	0.41096752	0.48550116	0.0	0.46618124	0.48009594	0.4775488	0.33064228	0.51350216	0.41230516	0.52024942	0.51235312	0.49658764	0.47329572	0.48425048	0.42862882	0.48126938	0.47063416	0.49396556	0.48324154	0.4586141	0.50029956	0.38401518	0.49507102	0.48138606	0.4834717	0.49269402	0.509675	0.50949782	0.49462204	0.5034418	0.4999264	0.4813347	0.48285132	0.48022352	0.49226804	0.50985952	0.48154352	0.5133666	0.432241	0.48716874	0.14081716	0.49232522	0.50489266
Face9.143346	0.0730473	0.08750942	0.06111756	0.1301991	0.07397292	0.06144236	0.11299224	0.05575572	0.46618124	0.0	0.0359907	0.09024804	0.249603	0.08232984	0.10105676	0.09071398	0.07347244	0.05139252	0.041315	0.04167168	0.09461094	0.05372666	0.044778	0.054673	0.0343921	0.05419026	0.07465164	0.13681014	0.05361582	0.0603369	0.04679462	0.05189174	0.07645092	0.07825034	0.05848808	0.06843716	0.05991688	0.08876334	0.0382698	0.05774112	0.053381	0.0758392	0.03615876	0.0804724	0.07818856	0.05273762	0.35213188	0.05754002	0.07689498
