	Stillton4R2	Stillton4R3	Stillton4R1	HCanyon3R3	HCanyon3R2	HCanyon3R1	Halls9R2	HCanyon2R2	HCanyon2R3	HCanyon2R1	Halls9R1	Stillton10R3	HCanyon0R1	HCanyon0R2	HCanyon0R3	HCanyon7R3	HCanyon7R2	HCanyon7R1	HCanyon1R1	HCanyon1R3	HCanyon1R2	HCanyon10R2	HCanyon10R3	HCanyon10R1	HCanyon11R3	HCanyon11R2	HCanyon11R1	HCanyon6R2	HCanyon6R3	HCanyon6R1	HCanyon5R1	HCanyon5R3	HCanyon5R2	HCanyon4R1	HCanyon4R2	HCanyon4R3	HCanyon12R1	HCanyon12R2	HCanyon12R3	HCanyon8R1	HCanyon8R2	HCanyon8R3	Halls8R2	Stillton10R1	Stillton10R2	Halls8R1	Halls6R1	Halls6R2	Halls4R2	Stillton5R2	Halls4R1	Halls3R1	Halls3R2	Stillton1R2	Stillton1R1	Stillton2R1	Stillton2R2	Stillton2R3	Stillton3R1	Stillton3R3	Stillton3R2	Halls5R1	Halls2R1	Halls2R2	Stillton9R2	Halls1R2	Halls1R1	Halls0R2	Halls0R1	Stillton9R3	Stillton7R3	Stillton9R1	Stillton7R1	Halls10R1	Halls10R2	Stillton7R2	Halls7R1	Halls7R2	Stillton0R2	Stillton0R3	Stillton0R1	Stillton6R1	Stillton6R2	Stillton6R3	HCanyon9R1	HCanyon9R3	HCanyon9R2	CrustControlR1	CrustControlR2	CrustControlR3	Stillton8R3	Stillton11R1	Stillton8R1	Stillton11R3
Stillton4R2	0.0	0.799416479777	0.74803274686	0.52581969819	0.508747003147	0.500189008529	0.772520670618	0.463263732544	0.386958133935	0.493802766378	0.535711815094	0.510111842176	0.481027663039	0.467156037033	0.537877996693	0.751114333612	0.425784061872	0.494791088484	0.612303106537	0.756040628178	0.535021530589	0.458141943848	0.785941866392	0.50158363474	0.524339247207	0.50080601827	0.541537645813	0.480837812931	0.496606552729	0.538507494847	0.4865040724	0.538091181334	0.491452482846	0.509728925029	0.544345955266	0.574051979049	0.511256802685	0.470098933577	0.495677057229	0.524516616083	0.422727173355	0.437146518302	0.389099832695	0.566226179477	0.534583447932	0.498889330905	0.48777730435	0.567198335996	0.543811509839	0.78313360802	0.510161977266	0.543047796112	0.538798221769	0.481956348268	0.53366160907	0.52140173435	0.485624356275	0.52362238711	0.757057618191	0.419232507655	0.488744232363	0.58314748212	0.581196206725	0.491866913308	0.791734180428	0.557970880727	0.742080730947	0.468278009059	0.515187143905	0.416514244349	0.515779046884	0.619805755246	0.573986288981	0.56301479339	0.752949832684	0.517471238368	0.616891651041	0.784111755898	0.497666446531	0.773410694328	0.543866219051	0.525718169662	0.548174775544	0.571905972983	0.531518455112	0.759627585107	0.541435278108	0.617097288389	0.486181550953	0.530070677873	0.745193179604	0.595512844288	0.620288494215	0.602004495594
Stillton4R3	0.799416479777	0.0	0.610755684736	0.737588589294	0.757158639936	0.753813427909	0.525628430257	0.757592727309	0.793486769237	0.749447807053	0.729169127362	0.75332569923	0.766268810357	0.803801839637	0.718487793577	0.473373711269	0.780570653076	0.748118913131	0.758049981855	0.457017115659	0.722257776622	0.767983258288	0.463940619486	0.727291866802	0.737325989392	0.733225434128	0.714717508733	0.761081079305	0.748488262021	0.736312964393	0.77240661545	0.762435552203	0.759711861798	0.754779476702	0.761660072093	0.676966087156	0.764539773903	0.763815429494	0.760898496022	0.729728498387	0.771966633344	0.796130720764	0.778041509041	0.798845065475	0.737974925018	0.755367380793	0.754253877871	0.778613179254	0.713804444578	0.470291253567	0.756917884771	0.758555108202	0.797241309582	0.79775580641	0.723508997775	0.764687228776	0.754461777097	0.728837315629	0.533422080271	0.782420255862	0.750530662299	0.694206228299	0.702707464154	0.75054386356	0.519712262208	0.797809039119	0.527962749493	0.763878762435	0.776347826437	0.771087088338	0.741889919694	0.743393203613	0.773000334461	0.697490417772	0.526624072084	0.751697100595	0.724913425384	0.371537034399	0.750115638335	0.387183864476	0.795032626325	0.737494808851	0.75678343232	0.768441262123	0.76105756217	0.535823580456	0.741881623834	0.767894989207	0.75335887058	0.734230460035	0.481915961822	0.699434455655	0.780838390172	0.725810012835
Stillton4R1	0.74803274686	0.610755684736	0.0	0.673563706764	0.714622961734	0.711761727183	0.46651823145	0.7268614524	0.743459386335	0.69660365879	0.687847422952	0.701389149584	0.717958236212	0.755911437194	0.681313537024	0.548485169233	0.738958572375	0.706412196663	0.6960215674	0.544374335459	0.689569094328	0.724283097206	0.517754654379	0.687934067428	0.701779121763	0.703104824075	0.6690775674	0.717503361858	0.702099908119	0.69476625929	0.720937463372	0.706232205728	0.723084428119	0.708405733562	0.689135470873	0.655752136068	0.712044452847	0.730920593046	0.716257450878	0.690570049985	0.724358540296	0.760512557992	0.733504110713	0.73502073786	0.690895527759	0.704824125332	0.720897245009	0.72383421134	0.66650820781	0.535991426261	0.713268271993	0.707716263744	0.740478436173	0.749095590884	0.685754060798	0.712934522006	0.712035386625	0.673445656096	0.539293153296	0.736779260194	0.715123857872	0.660715142145	0.636176173293	0.71612067291	0.468589529963	0.756329963502	0.521488312972	0.726686709155	0.726093551224	0.712575912958	0.711867640079	0.73349425397	0.709916264196	0.658929067552	0.464354148273	0.707300983484	0.660885950191	0.615256583024	0.697842658439	0.598620782142	0.749933432793	0.702254541288	0.697659657784	0.715090437954	0.704949520659	0.472750530852	0.701145641939	0.69849033328	0.718833771904	0.686831769979	0.557655744703	0.659496062382	0.697979874294	0.656814276808
HCanyon3R3	0.52581969819	0.737588589294	0.673563706764	0.0	0.455278187587	0.459395025164	0.697147133187	0.488135076929	0.527835744539	0.440915750271	0.437462868067	0.425568371968	0.445928317342	0.561836426733	0.437090923852	0.688972136293	0.524309700733	0.426633777878	0.564023606657	0.677559312237	0.439771880651	0.477662682128	0.703939815241	0.429473192101	0.449457651759	0.449990556209	0.420465768689	0.474121489459	0.443662234684	0.454217341881	0.461166547574	0.460518589334	0.51031155072	0.467458755307	0.4599976726	0.495790005175	0.473960216518	0.463407764492	0.4429601458	0.439841795746	0.486800155444	0.562630710892	0.512201432115	0.590337969401	0.496933706957	0.442141574363	0.45996350678	0.519045125961	0.416449154884	0.69632170657	0.435952638318	0.511195414951	0.516189922282	0.562779986786	0.459537309642	0.45055621328	0.441436864976	0.425192263132	0.66688166939	0.507585321479	0.446593700523	0.411758816047	0.452154973574	0.475281147863	0.712722019436	0.544024708263	0.647139956929	0.45902369454	0.488112859677	0.511342824686	0.451787383325	0.562189741899	0.513649104118	0.437380878857	0.678264767596	0.427120163214	0.531765615317	0.721616579421	0.429931949878	0.715927187809	0.555158871988	0.471253313701	0.450732648542	0.574003202563	0.447857815972	0.675406167047	0.466779316477	0.535953409631	0.46015301609	0.501882949506	0.681377835889	0.424784443171	0.54758857966	0.479328014168
HCanyon3R2	0.508747003147	0.757158639936	0.714622961734	0.455278187587	0.0	0.456338212176	0.729643204718	0.413805214208	0.5296697479	0.372313098523	0.492565702148	0.412592263941	0.416123037575	0.578038172933	0.468420352965	0.704736230404	0.512884065414	0.488434945009	0.620948249309	0.687268730181	0.432013882772	0.478705091066	0.728571547877	0.488722596328	0.405069274784	0.383460249559	0.45842280462	0.437061115715	0.392889332439	0.420530027276	0.512252057828	0.521650844157	0.408674462632	0.390053337651	0.529413240374	0.480784532355	0.422265588829	0.443748265796	0.489269225374	0.476519025104	0.474798399733	0.568943108555	0.49153012437	0.623734971362	0.460140796724	0.401056649566	0.427706040068	0.585024115181	0.463621293703	0.731498806426	0.380804817187	0.482757977597	0.582831143875	0.591646247274	0.47439497384	0.495748641258	0.404126091714	0.445815433526	0.68992569874	0.492650926091	0.417610070944	0.483907336146	0.545734283134	0.378189085151	0.749608792461	0.60681715155	0.67625880369	0.489883700012	0.544160595298	0.53505648429	0.387366124416	0.512325028845	0.587067501598	0.486656215192	0.715450028432	0.379447823402	0.588070181047	0.739189131765	0.394422290676	0.732706294278	0.594413158276	0.42232992011	0.515305292727	0.611054803974	0.504192738189	0.713070832234	0.454792247626	0.594753223952	0.430493752745	0.471492224005	0.6989126334	0.488359040745	0.611654597908	0.542746706065
HCanyon3R1	0.500189008529	0.753813427909	0.711761727183	0.459395025164	0.456338212176	0.0	0.728774312593	0.438281506948	0.49204280549	0.436869452604	0.505028333525	0.397721901266	0.426133248712	0.530885287295	0.501257243605	0.715068773829	0.502663698147	0.483575251964	0.571146797713	0.718070291703	0.456719821741	0.454240230808	0.733830894663	0.475660040826	0.438640077814	0.465043796144	0.479553556468	0.457712834343	0.449837144353	0.429181535412	0.440138358805	0.465830912379	0.47871222486	0.439205711733	0.467886052044	0.520144554495	0.46624579279	0.451982123176	0.457457480963	0.499067290497	0.481333566876	0.531520011326	0.482976729481	0.575723482153	0.446728848775	0.421914714863	0.423292572386	0.493259563697	0.472413250039	0.739362537492	0.425414111698	0.448316494976	0.505926071682	0.528604069294	0.458027517992	0.450137060301	0.433244237142	0.428733419477	0.710795885265	0.492326449986	0.418370400899	0.52266111841	0.531395578708	0.455960564366	0.741990616939	0.529350507225	0.70076099279	0.465281129904	0.467712446684	0.499155475324	0.452170852655	0.559040942998	0.505524118031	0.478832889376	0.708238466637	0.431531589996	0.567676498846	0.737333266626	0.42496506576	0.733759437162	0.528347698837	0.435577898829	0.443967139299	0.590070997769	0.448804699004	0.717408240494	0.406877015546	0.512372753065	0.455918418773	0.454323613316	0.71169110792	0.53462356641	0.532458250659	0.521049555416
Halls9R2	0.772520670618	0.525628430257	0.46651823145	0.697147133187	0.729643204718	0.728774312593	0.0	0.737426421686	0.762881130449	0.722864958901	0.697333125621	0.723119497883	0.739042985171	0.777140565761	0.684048063334	0.52129659447	0.763091716624	0.715175110983	0.717472816745	0.515965392052	0.707633320217	0.741105230532	0.460331712983	0.698075126664	0.715643410928	0.724337215088	0.682544607492	0.742385610139	0.729188574029	0.707070939633	0.740055948986	0.723220838066	0.739602914773	0.729209284148	0.720010658319	0.658488985942	0.724132594624	0.738578004452	0.737480168612	0.695248840107	0.751848495107	0.780476497345	0.749434656777	0.762520739055	0.712843682905	0.716477319554	0.740060125496	0.740362189726	0.680405495446	0.451028990045	0.728142518682	0.732932987006	0.762816231617	0.769760071024	0.698419985628	0.729899408733	0.729583856237	0.701682062543	0.520110113741	0.753768344561	0.724363342988	0.675174311637	0.668620055847	0.731841113108	0.403285785184	0.767325783332	0.512848962616	0.744069748125	0.73886129659	0.744102090979	0.725132151367	0.735552849482	0.738582870623	0.675776639614	0.386924919962	0.732176153041	0.685508891807	0.538166549651	0.71813830536	0.520044200922	0.763498719138	0.719063667317	0.719336125598	0.730644273883	0.725628637956	0.410096167945	0.717539783444	0.727194128742	0.727424625844	0.704218329626	0.532918833234	0.673955885512	0.730966588017	0.684388319975
HCanyon2R2	0.463263732544	0.757592727309	0.7268614524	0.488135076929	0.413805214208	0.438281506948	0.737426421686	0.0	0.503091023599	0.429567157662	0.479277514629	0.431191147231	0.429184914277	0.537992953748	0.479459364032	0.719854657752	0.477074454315	0.484609155384	0.591107578205	0.712972785738	0.485996535935	0.460721843285	0.748835999332	0.475051745119	0.455067229917	0.438169547104	0.504749255647	0.465436661211	0.425193609492	0.446486168363	0.483045057461	0.510676844456	0.432024438653	0.419989320987	0.523974430312	0.51304545352	0.437343518325	0.458761813339	0.460605727755	0.489234290187	0.438237346461	0.508777729347	0.46214408023	0.5794360044	0.46863506316	0.444155652176	0.445751613338	0.550024620363	0.504271040435	0.745183288762	0.420866571778	0.47598579011	0.552892298156	0.529531879489	0.480827841616	0.493035974298	0.438738431369	0.489487879426	0.721888787614	0.443393184455	0.419160514219	0.540483845912	0.555110206966	0.418635166351	0.761432138572	0.549257756132	0.71059487612	0.462993440987	0.510090375878	0.482473449904	0.431905710596	0.546893128002	0.553424638902	0.517681811493	0.716646556121	0.418218809035	0.590734834264	0.746498143604	0.435571377937	0.731659602418	0.560516044793	0.446750152889	0.495073866638	0.589549583037	0.499377072519	0.724840487082	0.452667707135	0.575115431225	0.453014756694	0.47891661647	0.708559165972	0.540968052883	0.581281723002	0.574963938022
HCanyon2R3	0.386958133935	0.793486769237	0.743459386335	0.527835744539	0.5296697479	0.49204280549	0.762881130449	0.503091023599	0.0	0.521084264807	0.541208601092	0.511341973514	0.511514604662	0.442014228404	0.547166479614	0.751152716736	0.400159788117	0.496725662337	0.596304589728	0.751053571841	0.523998964451	0.466063285266	0.777301077976	0.488151538719	0.537872611278	0.531787106412	0.542205972065	0.503117749273	0.52107177433	0.536637128668	0.47635687832	0.519319050998	0.516345452128	0.514555505613	0.518256966501	0.586986377254	0.542098794405	0.477804106139	0.466101473322	0.521826012088	0.440144994767	0.391319778538	0.391671278562	0.553550515223	0.531331478743	0.496278219682	0.500506057344	0.550400407863	0.545348836298	0.781879314952	0.51360151398	0.517778693936	0.520138339676	0.453549614067	0.527838419327	0.496027205783	0.501440687204	0.52087815658	0.75850295252	0.442109894936	0.503112193555	0.59410510692	0.575784624924	0.519308987761	0.781176838842	0.538515994028	0.743254221652	0.468518466915	0.499712628945	0.365910677719	0.527462946937	0.62563910319	0.540805687057	0.55407641769	0.742654721388	0.533475536001	0.602287710336	0.784225871488	0.508269701897	0.774678354083	0.516050205757	0.518936419222	0.512166522313	0.578675699313	0.515965505274	0.746364324045	0.511058952273	0.587442619851	0.505855538175	0.52223777166	0.750050250223	0.608817363281	0.586923573141	0.594700674882
HCanyon2R1	0.493802766378	0.749447807053	0.69660365879	0.440915750271	0.372313098523	0.436869452604	0.722864958901	0.429567157662	0.521084264807	0.0	0.471515076334	0.375685102143	0.397305505747	0.561301125916	0.452416932686	0.700955487367	0.49688579752	0.476921746409	0.59157390904	0.689360181054	0.410839210322	0.469661748438	0.725053047383	0.474340025763	0.375770916715	0.362218333045	0.419369519662	0.422526407071	0.328253743209	0.394783373882	0.487101259068	0.500353875218	0.421148203443	0.389838155456	0.505310271448	0.473484306596	0.406917861862	0.426323860882	0.466210798736	0.470785079302	0.459394905341	0.553982156572	0.491562826435	0.599270571829	0.443203903176	0.388047092911	0.409721096855	0.576537643609	0.430174126838	0.718736278709	0.360889883756	0.467330516778	0.568527068157	0.577408501553	0.445815626173	0.48712104533	0.411381807209	0.426928785146	0.675862306779	0.478392058694	0.380100536531	0.462181948844	0.518607660305	0.390663155852	0.734904475336	0.583868790939	0.663185361058	0.490027830843	0.526817155663	0.503672426726	0.336396166736	0.508259786563	0.562419939532	0.432708499988	0.704186451165	0.366693807406	0.5616148057	0.72715369983	0.365723699768	0.724983493714	0.58513246508	0.412547277036	0.498706151506	0.596201794238	0.48951136816	0.705360752351	0.442894900216	0.580164484906	0.416828113391	0.454574751868	0.686506723231	0.463508314247	0.579447963718	0.518217601024
