	Stillton4R2	Stillton4R3	Stillton4R1	HCanyon3R3	HCanyon3R2	HCanyon3R1	Halls9R2	HCanyon2R2	HCanyon2R3	HCanyon2R1	Halls9R1	Stillton10R3	HCanyon0R1	HCanyon0R2	HCanyon0R3	HCanyon7R3	HCanyon7R2	HCanyon7R1	HCanyon1R1	HCanyon1R3	HCanyon1R2	HCanyon10R2	HCanyon10R3	HCanyon10R1	HCanyon11R3	HCanyon11R2	HCanyon11R1	HCanyon6R2	HCanyon6R3	HCanyon6R1	HCanyon5R1	HCanyon5R3	HCanyon5R2	HCanyon4R1	HCanyon4R2	HCanyon4R3	HCanyon12R1	HCanyon12R2	HCanyon12R3	HCanyon8R1	HCanyon8R2	HCanyon8R3	Halls8R2	Stillton10R1	Stillton10R2	Halls8R1	Halls6R1	Halls6R2	Halls4R2	Stillton5R2	Halls4R1	Halls3R1	Halls3R2	Stillton1R2	Stillton1R1	Stillton2R1	Stillton2R2	Stillton2R3	Stillton3R1	Stillton3R3	Stillton3R2	Halls5R1	Halls2R1	Halls2R2	Stillton9R2	Halls1R2	Halls1R1	Halls0R2	Halls0R1	Stillton9R3	Stillton7R3	Stillton9R1	Stillton7R1	Halls10R1	Halls10R2	Stillton7R2	Halls7R1	Halls7R2	Stillton0R2	Stillton0R3	Stillton0R1	Stillton6R1	Stillton6R2	Stillton6R3	HCanyon9R1	HCanyon9R3	HCanyon9R2	CrustControlR1	CrustControlR2	CrustControlR3	Stillton8R3	Stillton11R1	Stillton8R1	Stillton11R3
Stillton4R2	0.0	0.702122221051	0.713256418398	0.476499991041	0.46109426257	0.422526407071	0.474121489459	0.512078468475	0.366881097176	0.463277414447	0.444788573194	0.742385610139	0.508629547693	0.639977381353	0.747778043238	0.523238604314	0.574831935502	0.422536839493	0.464820696561	0.454633280595	0.503117749273	0.684730572316	0.439367245599	0.600952560439	0.437061115715	0.761081079305	0.485482347217	0.618388130837	0.466361101825	0.558141564634	0.502442274303	0.491267969456	0.476149661667	0.728364004942	0.424693270252	0.554959971525	0.743962655605	0.726572442489	0.495441579453	0.4619867362	0.480837812931	0.50488896669	0.554215167119	0.635854331838	0.717503361858	0.465436661211	0.745189206089	0.75504343246	0.422739541765	0.502221756368	0.505956019295	0.436175614058	0.60609853984	0.49950641821	0.468345488157	0.44552755863	0.431167398777	0.542929558169	0.741219783642	0.609758664376	0.463881992189	0.476760321658	0.581231050668	0.510888415471	0.446705079363	0.457712834343	0.531358800178	0.727674238476	0.497619287236	0.474769138446	0.485596583752	0.619094392421	0.607144746402	0.578254150137	0.445899356271	0.344264504725	0.461038757322	0.531945821721	0.488480470049	0.455877139948	0.417522561401	0.584771138758	0.46823652766	0.714539249748	0.598211968458	0.486344446933	0.458044156786	0.466837938413	0.477184671042	0.432050808518	0.507131220293	0.437852929655	0.433778641456	0.430312559667
Stillton4R3	0.702122221051	0.0	0.490317000617	0.675860656186	0.641085830412	0.675862306779	0.66688166939	0.71222382133	0.697212933705	0.707148632292	0.707150823962	0.520110113741	0.675075151116	0.763020488935	0.526705472597	0.638910906512	0.775415906808	0.675489109251	0.671759522498	0.664861104653	0.75850295252	0.405960098271	0.662244843953	0.747158465541	0.68992569874	0.533422080271	0.716149139708	0.67113289527	0.709433217931	0.690517724895	0.6089763751	0.751618114038	0.744855536931	0.506714967347	0.680207300415	0.74495049333	0.466712079288	0.519626774305	0.727437398757	0.688413411347	0.757057618191	0.731765579418	0.661264163107	0.727763582549	0.539293153296	0.721888787614	0.516333109179	0.507056554547	0.686622104961	0.727341202869	0.706421466791	0.668905405361	0.75304027352	0.732225374389	0.676350429337	0.701234594421	0.695990958874	0.768415039884	0.464329457119	0.77406084987	0.74134241332	0.719207457077	0.750245784905	0.603394193723	0.689439608241	0.710795885265	0.718357597507	0.52997601309	0.703696688799	0.698807526013	0.634498499886	0.733226623161	0.774138041133	0.775371154614	0.70410387417	0.695510553878	0.727588563477	0.711463069591	0.739195197247	0.679135722746	0.72133070966	0.784515377355	0.635317406774	0.510679778001	0.750381843826	0.647151713621	0.588357491337	0.705915072721	0.740914413682	0.682926717803	0.660936026575	0.692986949369	0.693984428517	0.692777451397
Stillton4R1	0.713256418398	0.490317000617	0.0	0.670500413286	0.65043468158	0.689360181054	0.677559312237	0.708413034034	0.705977974321	0.711033960799	0.712416589715	0.515965392052	0.67505023407	0.758061269152	0.465313117489	0.650858176956	0.751522854919	0.685381760099	0.676890341009	0.66343689429	0.751053571841	0.485070797942	0.668258446703	0.728228743664	0.687268730181	0.457017115659	0.726248122302	0.664951439894	0.702462396559	0.686372507056	0.632577937388	0.733916441748	0.730262942667	0.413411485431	0.695106648523	0.739816203659	0.476849837853	0.522674129534	0.72600541753	0.686365287672	0.756040628178	0.722389274306	0.661205267255	0.714202252281	0.544374335459	0.712972785738	0.440489238658	0.510258106802	0.705641383036	0.713642532738	0.695191111961	0.674660163114	0.735347482282	0.72550451513	0.675191090098	0.694100573329	0.70422452896	0.76137510748	0.481050792983	0.764074726397	0.736269414039	0.72107290239	0.740764775742	0.635691250265	0.69596507179	0.718070291703	0.712162759773	0.525983333493	0.686719655952	0.694437471953	0.629924888988	0.728067904267	0.767226018039	0.763040754069	0.703203349192	0.702785457767	0.720531690469	0.710565825917	0.729075720135	0.677973094603	0.723946953181	0.765605391501	0.641176135477	0.421865158589	0.730978046172	0.66159658099	0.624212334699	0.707444386978	0.744607809947	0.693562979666	0.671125751333	0.691367100176	0.704550667885	0.694760995468
HCanyon3R3	0.476499991041	0.675860656186	0.670500413286	0.0	0.434119427081	0.474340025763	0.429473192101	0.468855841452	0.451320031319	0.496474786718	0.467054893823	0.698075126664	0.441875841149	0.559671094107	0.707602338683	0.483008502223	0.496757718878	0.465249580156	0.467673251673	0.450370943322	0.488151538719	0.653638398031	0.453605919538	0.548235312868	0.488722596328	0.727291866802	0.469346333484	0.539826994472	0.46139431143	0.573792550738	0.472818557081	0.471724229628	0.454089720748	0.677374919406	0.468035866851	0.479066491418	0.706642715449	0.683826247205	0.454917965207	0.490747612521	0.50158363474	0.446149398557	0.536513609216	0.564018597347	0.687934067428	0.475051745119	0.702100563042	0.72318530165	0.479944620323	0.520952012202	0.404147707692	0.467600094836	0.551316873938	0.447656266051	0.442946410151	0.463146761732	0.465221806525	0.524703843175	0.708491815521	0.528784811375	0.464170692072	0.458838006603	0.502479944016	0.493135282951	0.467190078443	0.475660040826	0.478295389302	0.676228723888	0.504440043251	0.500406351719	0.447597701249	0.557377073121	0.521274731439	0.517829165043	0.501294422033	0.457381539248	0.453880508128	0.468515459459	0.48523213046	0.458280542076	0.470979057574	0.517732501997	0.45457903264	0.672752357579	0.524817502934	0.451830238454	0.521440554183	0.48085639038	0.507194975595	0.465044072129	0.435146218501	0.499651339237	0.461340855679	0.481990597012
HCanyon3R2	0.46109426257	0.641085830412	0.65043468158	0.434119427081	0.0	0.419369519662	0.420465768689	0.479618250755	0.452053418068	0.498220269993	0.467073058252	0.682544607492	0.459598645042	0.612813488861	0.699412891734	0.464725650565	0.553938232028	0.424307243199	0.426574240559	0.380087766632	0.542205972065	0.619898393011	0.385453766442	0.556873882461	0.45842280462	0.714717508733	0.464454800385	0.534011167969	0.464638931219	0.563316168524	0.417716489314	0.522695578635	0.504740037888	0.666043304584	0.425883025257	0.519618422762	0.689868333176	0.669015110363	0.475088421021	0.464168854592	0.541537645813	0.472094335886	0.495155380615	0.592589845287	0.6690775674	0.504749255647	0.692644612288	0.696321017933	0.431336995109	0.496452829395	0.489545391911	0.409515246412	0.56801243576	0.485142773974	0.414528760004	0.474309745536	0.44588780311	0.567937947673	0.682324677777	0.583969320358	0.528242152934	0.463145405134	0.533275339629	0.452700670776	0.446999609932	0.479553556468	0.489038123044	0.663374157184	0.466429122887	0.472955823322	0.36256949665	0.596104351076	0.583767102601	0.574488221279	0.500200542653	0.462707750398	0.495191749945	0.485003185584	0.518694910671	0.451596106791	0.484382901309	0.585038958921	0.354600316745	0.651121732227	0.559614054636	0.441292940153	0.492370158337	0.470838841272	0.525512304605	0.452778768072	0.459810845136	0.488592313173	0.429877059678	0.469687509602
HCanyon3R1	0.422526407071	0.675862306779	0.689360181054	0.474340025763	0.419369519662	0.0	0.440915750271	0.498706151506	0.411381807209	0.406917861862	0.397305505747	0.722864958901	0.471515076334	0.599270571829	0.72715369983	0.518607660305	0.568527068157	0.336396166736	0.375770916715	0.410839210322	0.521084264807	0.663185361058	0.426928785146	0.580164484906	0.372313098523	0.749447807053	0.48712104533	0.5616148057	0.442894900216	0.508259786563	0.462181948844	0.478392058694	0.459394905341	0.700955487367	0.328253743209	0.526817155663	0.725053047383	0.704186451165	0.490027830843	0.412547277036	0.493802766378	0.466210798736	0.518217601024	0.59157390904	0.69660365879	0.429567157662	0.724983493714	0.734904475336	0.366693807406	0.467330516778	0.476921746409	0.362218333045	0.579447963718	0.487101259068	0.445815626173	0.380100536531	0.360889883756	0.553982156572	0.718736278709	0.58513246508	0.491562826435	0.48951136816	0.562419939532	0.463508314247	0.388047092911	0.436869452604	0.505310271448	0.705360752351	0.454574751868	0.443203903176	0.432708499988	0.596201794238	0.583868790939	0.577408501553	0.421148203443	0.416828113391	0.469661748438	0.500353875218	0.503672426726	0.394783373882	0.426323860882	0.561301125916	0.430174126838	0.686506723231	0.576537643609	0.452416932686	0.473484306596	0.409721096855	0.49688579752	0.365723699768	0.470785079302	0.390663155852	0.375685102143	0.389838155456
Halls9R2	0.474121489459	0.66688166939	0.677559312237	0.429473192101	0.420465768689	0.440915750271	0.0	0.450732648542	0.441436864976	0.473960216518	0.445928317342	0.697147133187	0.437462868067	0.590337969401	0.721616579421	0.452154973574	0.516189922282	0.451787383325	0.449457651759	0.439771880651	0.527835744539	0.647139956929	0.425192263132	0.535953409631	0.455278187587	0.737588589294	0.45055621328	0.531765615317	0.466779316477	0.562189741899	0.411758816047	0.507585321479	0.486800155444	0.688972136293	0.443662234684	0.488112859677	0.703939815241	0.678264767596	0.45902369454	0.471253313701	0.52581969819	0.4429601458	0.479328014168	0.564023606657	0.673563706764	0.488135076929	0.715927187809	0.712722019436	0.427120163214	0.511195414951	0.426633777878	0.449990556209	0.54758857966	0.461166547574	0.459537309642	0.446593700523	0.435952638318	0.562630710892	0.69632170657	0.555158871988	0.512201432115	0.447857815972	0.513649104118	0.424784443171	0.442141574363	0.459395025164	0.4599976726	0.675406167047	0.501882949506	0.496933706957	0.437380878857	0.574003202563	0.544024708263	0.562779986786	0.51031155072	0.46015301609	0.477662682128	0.460518589334	0.511342824686	0.454217341881	0.463407764492	0.561836426733	0.416449154884	0.681377835889	0.519045125961	0.437090923852	0.495790005175	0.45996350678	0.524309700733	0.429931949878	0.439841795746	0.475281147863	0.425568371968	0.467458755307
HCanyon2R2	0.512078468475	0.71222382133	0.708413034034	0.468855841452	0.479618250755	0.498706151506	0.450732648542	0.0	0.475659648732	0.505043936997	0.464441279153	0.719336125598	0.491277529914	0.526557025123	0.744378214964	0.49246246979	0.473322285448	0.508167303764	0.510151622613	0.495623098076	0.512166522313	0.692300802182	0.485571399694	0.482889658494	0.515305292727	0.75678343232	0.449427105799	0.538899733326	0.45582642103	0.595119729691	0.518501406759	0.513699314151	0.51520585635	0.718624537072	0.49413356254	0.454259501839	0.732155679087	0.698115993112	0.449097620194	0.494996326546	0.548174775544	0.428492924218	0.49473035984	0.53931273281	0.697659657784	0.495073866638	0.740802692263	0.741917838286	0.49065530379	0.50257480308	0.468147224363	0.507316166379	0.480503300116	0.435425279007	0.481055233469	0.479441840933	0.483951525629	0.53940123263	0.738800758439	0.512621151343	0.493300570099	0.422727378352	0.437798373062	0.534527612663	0.460006181488	0.443967139299	0.40214627243	0.69243952818	0.482784696262	0.507500677289	0.49005497706	0.553264973032	0.492765444818	0.535907128861	0.52787338925	0.495762448414	0.473889942227	0.36741978595	0.52272346969	0.480084824447	0.496623534608	0.53057485103	0.486663734375	0.709099667385	0.463357004664	0.495375327064	0.540808704384	0.489749654579	0.532094770579	0.456735953852	0.485375456838	0.512475362071	0.457997396885	0.502107685445
HCanyon2R3	0.366881097176	0.697212933705	0.705977974321	0.451320031319	0.452053418068	0.411381807209	0.441436864976	0.475659648732	0.0	0.449454412029	0.411036893022	0.729583856237	0.482339346138	0.621309557197	0.735632999902	0.500251037569	0.535707795107	0.417250714898	0.42796906224	0.440297005744	0.501440687204	0.673927273812	0.421181481291	0.561617517935	0.404126091714	0.754461777097	0.440984369331	0.587208424646	0.429259118385	0.549194820366	0.491970847605	0.473158965783	0.447912018872	0.711167415432	0.41157758478	0.521142174979	0.735064692072	0.717499031973	0.454603853454	0.441342093629	0.485624356275	0.455816756896	0.527300132016	0.604553210311	0.712035386625	0.438738431369	0.729475827592	0.749505511736	0.382657234159	0.464965925164	0.466305292756	0.415177398685	0.572126908162	0.455504593702	0.458489263366	0.428452157851	0.40615975979	0.537717280547	0.726753056895	0.569114464296	0.462346279286	0.436519671094	0.5414405711	0.501358806036	0.405465382366	0.433244237142	0.48791688283	0.712380580518	0.472119134225	0.448655001748	0.460087502347	0.601542406542	0.574510728774	0.571016550292	0.45705563533	0.379587194176	0.442117143041	0.484674181316	0.491211250791	0.425178498055	0.388076968487	0.558291791766	0.46528819939	0.706633341716	0.5658465781	0.480096660762	0.445290505445	0.437481667363	0.480420902021	0.397677146156	0.474440858213	0.427403322776	0.410885130932	0.430914731843
HCanyon2R1	0.463277414447	0.707148632292	0.711033960799	0.496474786718	0.498220269993	0.406917861862	0.473960216518	0.505043936997	0.449454412029	0.0	0.418692067341	0.724132594624	0.493996427599	0.58240254808	0.740421556496	0.554802725488	0.570798042641	0.425273882267	0.44326742014	0.497919293873	0.542098794405	0.695413319989	0.490816424808	0.588076206389	0.422265588829	0.764539773903	0.526879933277	0.569294005757	0.486848174825	0.539697992777	0.523889701944	0.479578564589	0.480009353623	0.719544883783	0.427811334182	0.532356245261	0.73931756813	0.717507492983	0.511431764231	0.429727805813	0.511256802685	0.50765256126	0.540964902267	0.590393916162	0.712044452847	0.437343518325	0.732074178077	0.755191622164	0.445896017736	0.516697821773	0.49787387013	0.44428260582	0.57819848112	0.521775051483	0.496962587514	0.428895511278	0.422994622621	0.561720816455	0.742039119231	0.588843077275	0.497186599749	0.513504585935	0.57178119428	0.521012377129	0.427586653651	0.46624579279	0.536346775083	0.715722390664	0.484151403567	0.493528472488	0.503094520399	0.569829476567	0.591942476159	0.585101517174	0.433579786422	0.460532212318	0.48527686872	0.505264724195	0.528023975848	0.45184476416	0.472325387469	0.582664004017	0.50320590177	0.70692728219	0.580185678864	0.497703945941	0.51836740009	0.455906167137	0.526544946432	0.420080184736	0.496937289014	0.425689558558	0.447149470181	0.405837511494
