	M9Ekey217.141044	M2Tkey217.141054	M2Gkey217.141106	M2Enter217.141012	M2Skey217.141089	M9Pkey217.141096	M9Fkey217.141065	M9Okey217.141076	M9Akey217.141086	M2Ckey217.141092	M2Ykey217.141095	M2Ukey217.141085	M2Nkey217.141052	M3Kkey217.141046	M3Ykey217.141023	M3Lkey217.141097	M3Bkey217.141059	M9Wkey217.141090	M9Nkey217.141010	M9Mkey217.141007	M9Bkey217.141032	M2Ikey217.141000	M2Mkey217.141014	M3Ckey217.141073	M3Space217.141098	M9Xkey217.141072	M2Vkey217.141022	M2Rkey217.141050	M2Pkey217.141105	M2Lkey217.141048	M2Qkey217.141102	M2Kkey217.141041	M2Xkey217.141016	M2Ekey217.141011	M2Fkey217.141078	M3Jkey217.141017	M9Gkey217.141099	M9Vkey217.141018	M9Kkey217.141033	M9Ckey217.141013	M2Hkey217.141026	M3Nkey217.141001	M3Akey217.141006	M3Mkey217.141107	M3Zkey217.141083	M3Rkey217.141025	M3Qkey217.141051	M9Enter217.141084	M9Dkey217.141053	M2Bkey217.141063	M3Wkey217.141104	M3Xkey217.141055	M9Space217.141079	M9Ykey217.141029	M9Qkey217.141019	M2Okey217.141061	M2Dkey217.140994	M2Zkey217.141015	M2Space217.140997	M2Lsft217.141056	M2Jkey217.141038	M2Wkey217.141070	M2Akey217.141030	M3Pkey217.141031	M3Ekey217.141042	M3Lsft217.141088	M3Hkey217.141093	M3Rsft217.140995	M9Hkey217.140999	M9Skey217.141004	M2Rsft217.141034	M3Gkey217.141037	M3Vkey217.141028	M3Tkey217.141081
M9Ekey217.141044	0.0	1.2862429786	2.09720695212	6.36462764033	1.58121788505	4.50800277285	1.71143214882	3.85711666922	1.90943054338	3.07335012649	1.92523375204	2.58122393449	3.88250241468	3.69374349407	1.92523375204	4.29238511786	3.52351486445	0.637200910232	3.88250241468	4.31408402793	3.52351486445	3.223	4.31408402793	3.07335012649	5.06555712632	3.06255661172	3.2191006508	0.648694072734	4.50800277285	4.29238511786	1.28300974275	3.69374349407	3.06255661172	0.0	1.71143214882	3.13561301822	2.09720695212	3.2191006508	3.69374349407	3.07335012649	2.57751663428	3.88250241468	1.90943054338	4.31408402793	3.1560459439	0.648694072734	1.28300974275	6.36462764033	1.51763104871	3.52351486445	0.637200910232	3.06255661172	5.06555712632	1.92523375204	1.28300974275	3.85711666922	1.51763104871	3.1560459439	5.06555712632	3.58295436756	3.13561301822	0.637200910232	1.90943054338	4.50800277285	0.0	3.58295436756	2.57751663428	6.73423974922	2.57751663428	1.58121788505	6.73423974922	2.09720695212	3.2191006508	1.2862429786
M2Tkey217.141054	1.2862429786	0.0	1.55226801809	5.13345517171	2.34037197898	3.22206207265	1.61451695562	2.57100486192	2.88121675686	3.1633532841	0.639019561516	1.29503127375	3.26632300913	2.58910216098	0.639019561516	3.13846092854	3.1112499096	1.92302106073	3.26632300913	3.5418709745	3.1112499096	1.93716132524	3.5418709745	3.1633532841	4.78411475615	3.40823972162	3.044103152	0.638019592176	3.22206207265	3.13846092854	2.56907785012	2.58910216098	3.40823972162	1.2862429786	1.61451695562	2.12683473735	1.55226801809	3.044103152	2.58910216098	3.1633532841	1.7345088642	3.26632300913	2.88121675686	3.5418709745	3.72339589622	0.638019592176	2.56907785012	5.13345517171	1.90844989455	3.1112499096	1.92302106073	3.40823972162	4.78411475615	0.639019561516	2.56907785012	2.57100486192	1.90844989455	3.72339589622	4.78411475615	4.40466355128	2.12683473735	1.92302106073	2.88121675686	3.22206207265	1.2862429786	4.40466355128	1.7345088642	5.63086156818	1.7345088642	2.34037197898	5.63086156818	1.55226801809	3.044103152	0.0
M2Gkey217.141106	2.09720695212	1.55226801809	0.0	4.73102377927	1.93105075024	3.42029530889	0.648019289836	2.86571491953	2.58304355364	1.79546651319	1.62137040802	1.92354724403	1.80344170962	1.92502103885	1.62137040802	2.5610780933	1.56310588253	2.58749183574	1.80344170962	2.2184828149	1.56310588253	2.33775319484	2.2184828149	1.79546651319	3.23190501098	2.2294147214	1.52942472845	1.74247094667	3.42029530889	2.5610780933	3.12570264101	1.92502103885	2.2294147214	2.09720695212	0.648019289836	1.29104686205	0.0	1.52942472845	1.92502103885	1.79546651319	0.640019530952	1.80344170962	2.58304355364	2.2184828149	2.73002216108	1.74247094667	3.12570264101	4.73102377927	1.29403129792	1.56310588253	2.58749183574	2.2294147214	3.23190501098	1.62137040802	3.12570264101	2.86571491953	1.29403129792	2.73002216108	3.23190501098	3.64136306896	1.29104686205	2.58749183574	2.58304355364	3.42029530889	2.09720695212	3.64136306896	0.640019530952	4.80919390335	0.640019530952	1.93105075024	4.80919390335	0.0	1.52942472845	1.55226801809
M2Enter217.141012	6.36462764033	5.13345517171	4.73102377927	0.0	6.66206311888	2.27026033749	5.3790371815	2.79794496014	7.314	5.88755042441	4.5305187341	3.92298865662	4.05224382287	2.80610263533	4.5305187341	2.17000576036	4.66391959622	6.98806811644	4.05224382287	3.46085134035	4.66391959622	3.32855404042	3.46085134035	5.88755042441	5.40915076514	6.52448557359	5.26172614263	5.7459496169	2.27026033749	2.17000576036	7.61709399968	2.80610263533	6.52448557359	6.36462764033	5.3790371815	3.44000232558	4.73102377927	5.26172614263	2.80610263533	5.88755042441	4.09104888751	4.05224382287	7.314	3.46085134035	7.15424971608	5.7459496169	7.61709399968	0.0	6.02504780064	4.66391959622	6.98806811644	6.52448557359	5.40915076514	4.5305187341	7.61709399968	2.79794496014	6.02504780064	7.15424971608	5.40915076514	8.17146871743	3.44000232558	6.98806811644	7.314	2.27026033749	6.36462764033	8.17146871743	4.09104888751	1.5195394039	4.09104888751	6.66206311888	1.5195394039	4.73102377927	5.26172614263	5.13345517171
M2Skey217.141089	1.58121788505	2.34037197898	1.93105075024	6.66206311888	0.0	5.21633482438	1.28303156625	4.60534352682	0.652644619989	1.81103865227	2.85732829755	3.43057968862	3.28119261855	3.8560032417	2.85732829755	4.49212867135	2.72964045251	1.52857613484	3.28119261855	3.86397994301	2.72964045251	4.0017857264	3.86397994301	1.81103865227	3.95997840903	1.58522332812	2.20949519121	1.90785586458	5.21633482438	4.49212867135	1.70789461033	3.8560032417	1.58522332812	1.58121788505	1.28303156625	3.22209698799	1.93105075024	2.20949519121	3.8560032417	1.81103865227	2.57101575258	3.28119261855	0.652644619989	3.86397994301	1.57887174907	1.90785586458	1.70789461033	6.66206311888	0.637019622932	2.72964045251	1.52857613484	1.58522332812	3.95997840903	2.85732829755	1.70789461033	4.60534352682	0.637019622932	1.57887174907	3.95997840903	2.07523299897	3.22209698799	1.52857613484	0.652644619989	5.21633482438	1.58121788505	2.07523299897	2.57101575258	6.67192513447	2.57101575258	0.0	6.67192513447	1.93105075024	2.20949519121	2.34037197898
M9Pkey217.141096	4.50800277285	3.22206207265	3.42029530889	2.27026033749	5.21633482438	0.0	4.00892267324	0.651479853871	5.85102948207	5.04323071057	2.58312098052	1.92721820249	3.69495250308	1.89420009503	2.58312098052	1.62324890266	4.10432454857	5.14501175898	3.69495250308	3.37132525871	4.10432454857	1.28500972759	3.37132525871	5.04323071057	5.44823365872	5.58906020723	4.53263720145	3.8600809577	0.0	1.62324890266	5.791	1.89420009503	5.58906020723	4.50800277285	4.00892267324	2.34364374426	3.42029530889	4.53263720145	1.89420009503	5.04323071057	2.85892374855	3.69495250308	5.85102948207	3.37132525871	6.13687583384	3.8600809577	5.791	2.27026033749	4.61193679488	4.10432454857	5.14501175898	5.58906020723	5.44823365872	2.58312098052	5.791	0.651479853871	4.61193679488	6.13687583384	5.44823365872	7.0612268764	2.34364374426	5.14501175898	5.85102948207	0.0	4.50800277285	7.0612268764	2.85892374855	3.39755824085	2.85892374855	5.21633482438	3.39755824085	3.42029530889	4.53263720145	3.22206207265
M9Fkey217.141065	1.71143214882	1.61451695562	0.648019289836	5.3790371815	1.28303156625	4.00892267324	0.0	3.42657511227	1.93510335641	1.55307340458	1.91156088054	2.36122701153	2.22336794076	2.57300310921	1.91156088054	3.20909738088	1.81473110956	2.09764749183	2.22336794076	2.72944041884	1.81473110956	2.85881461449	2.72944041884	1.55307340458	3.37237023472	1.82075835849	1.53684774783	1.55126915782	4.00892267324	3.20909738088	2.5764165036	2.57300310921	1.82075835849	1.71143214882	0.0	1.93906601229	0.648019289836	1.53684774783	2.57300310921	1.55307340458	1.288	2.22336794076	1.93510335641	2.72944041884	2.22665533929	1.55126915782	2.5764165036	5.3790371815	0.646012383782	1.81473110956	2.09764749183	1.82075835849	3.37237023472	1.91156088054	2.5764165036	3.42657511227	0.646012383782	2.22665533929	3.37237023472	3.06995667722	1.93906601229	2.09764749183	1.93510335641	4.00892267324	1.71143214882	3.06995667722	1.288	5.42904973269	1.288	1.28303156625	5.42904973269	0.648019289836	1.53684774783	1.61451695562
M9Okey217.141076	3.85711666922	2.57100486192	2.86571491953	2.79794496014	4.60534352682	0.651479853871	3.42657511227	0.0	5.23317609106	4.55756009286	1.932	1.27600626958	3.3917936258	1.6148671772	1.932	1.57615386305	3.72189763427	4.4940218068	3.3917936258	3.17151635657	3.72189763427	0.634709382316	3.17151635657	4.55756009286	5.18030269386	5.07230913884	4.08894436255	3.209	0.651479853871	1.57615386305	5.14006079731	1.6148671772	5.07230913884	3.85711666922	3.42657511227	1.92041662147	2.86571491953	4.08894436255	1.6148671772	4.55756009286	2.34954825445	3.3917936258	5.23317609106	3.17151635657	5.59533957861	3.209	5.14006079731	2.79794496014	4.01230918549	3.72189763427	4.4940218068	5.07230913884	5.18030269386	1.932	5.14006079731	0.0	4.01230918549	5.59533957861	5.18030269386	6.49324549051	1.92041662147	4.4940218068	5.23317609106	0.651479853871	3.85711666922	6.49324549051	2.34954825445	3.75126325389	2.34954825445	4.60534352682	3.75126325389	2.86571491953	4.08894436255	2.57100486192
M9Akey217.141086	1.90943054338	2.88121675686	2.58304355364	7.314	0.652644619989	5.85102948207	1.93510335641	5.23317609106	0.0	2.20921750853	3.43830481488	4.0351143726	3.85807464936	4.50806388597	3.43830481488	5.14400243001	3.27454332694	1.62864974749	3.85807464936	4.45995964107	3.27454332694	4.62198615316	4.45995964107	2.20921750853	4.34935811356	1.80650934124	2.70621248242	2.37325114558	5.85102948207	5.14400243001	1.54590976451	4.50806388597	1.80650934124	1.90943054338	1.93510335641	3.87400206505	2.58304355364	2.70621248242	4.50806388597	2.20921750853	3.22306205339	3.85807464936	0.0	4.45995964107	1.54884117972	2.37325114558	1.54590976451	7.314	1.28922340965	3.27454332694	1.62864974749	1.80650934124	4.34935811356	3.43830481488	1.54590976451	5.23317609106	1.28922340965	1.54884117972	4.34935811356	1.69209012762	3.87400206505	1.62864974749	0.0	5.85102948207	1.90943054338	1.69209012762	3.22306205339	7.30183785084	3.22306205339	0.652644619989	7.30183785084	2.58304355364	2.70621248242	2.88121675686
M2Ckey217.141092	3.07335012649	3.1633532841	1.79546651319	5.88755042441	1.81103865227	5.04323071057	1.55307340458	4.55756009286	2.20921750853	0.0	3.38684307283	3.71701089587	1.93100647332	3.26502588045	3.38684307283	3.82747240356	1.28207644078	3.25042181878	1.93100647332	2.5770048506	1.28207644078	4.08819593464	2.5770048506	0.0	2.15389554064	0.651406171294	0.644310484161	3.06938446598	5.04323071057	3.82747240356	3.51623221645	3.26502588045	0.651406171294	3.07335012649	1.55307340458	2.70943425829	1.79546651319	0.644310484161	3.26502588045	0.0	2.20903712056	1.93100647332	2.20921750853	2.5770048506	1.29907544046	3.06938446598	3.51623221645	5.88755042441	1.56072066687	1.28207644078	3.25042181878	0.651406171294	2.15389554064	3.38684307283	3.51623221645	4.55756009286	1.56072066687	1.29907544046	2.15389554064	2.33324773653	2.70943425829	3.25042181878	2.20921750853	5.04323071057	3.07335012649	2.33324773653	2.20903712056	5.52300733297	2.20903712056	1.81103865227	5.52300733297	1.79546651319	0.644310484161	3.1633532841
