	M9Ekey217.141044	M2Tkey217.141054	M2Gkey217.141106	M2Enter217.141012	M2Skey217.141089	M9Pkey217.141096	M9Fkey217.141065	M9Okey217.141076	M9Akey217.141086	M2Ckey217.141092	M2Ykey217.141095	M2Ukey217.141085	M2Nkey217.141052	M3Kkey217.141046	M3Ykey217.141023	M3Lkey217.141097	M3Bkey217.141059	M9Wkey217.141090	M9Nkey217.141010	M9Mkey217.141007	M9Bkey217.141032	M2Ikey217.141000	M2Mkey217.141014	M3Ckey217.141073	M3Space217.141098	M9Xkey217.141072	M2Vkey217.141022	M2Rkey217.141050	M2Pkey217.141105	M2Lkey217.141048	M2Qkey217.141102	M2Kkey217.141041	M2Xkey217.141016	M2Ekey217.141011	M2Fkey217.141078	M3Jkey217.141017	M9Gkey217.141099	M9Vkey217.141018	M9Kkey217.141033	M9Ckey217.141013	M2Hkey217.141026	M3Nkey217.141001	M3Akey217.141006	M3Mkey217.141107	M3Zkey217.141083	M3Rkey217.141025	M3Qkey217.141051	M9Enter217.141084	M9Dkey217.141053	M2Bkey217.141063	M3Wkey217.141104	M3Xkey217.141055	M9Space217.141079	M9Ykey217.141029	M9Qkey217.141019	M2Okey217.141061	M2Dkey217.140994	M2Zkey217.141015	M2Space217.140997	M2Lsft217.141056	M2Jkey217.141038	M2Wkey217.141070	M2Akey217.141030	M3Pkey217.141031	M3Ekey217.141042	M3Lsft217.141088	M3Hkey217.141093	M3Rsft217.140995	M9Hkey217.140999	M9Skey217.141004	M2Rsft217.141034	M3Gkey217.141037	M3Vkey217.141028	M3Tkey217.141081
M9Ekey217.141044	0.0	0.693252567971	0.782470285906	0.481092676131	0.411366720963	0.402418366355	0.656666294312	0.630486328858	0.711582906167	0.423305140122	0.711361616177	0.674737863565	0.67391602211	0.480915721661	0.645408350119	0.414879506999	0.428310464646	0.63380965346	0.754469293118	0.693542430439	0.669968231418	0.48891498832	0.720658673344	0.79162984455	0.709287012364	0.662110223069	0.780009382988	0.456738139979	0.69004604658	0.704041997308	0.662526357148	0.475444967842	0.655301145984	0.682530840365	0.682248768578	0.415867425027	0.692998618408	0.510282454707	0.403462309285	0.398267075557	0.446532238318	0.663357430334	0.709580859483	0.610077875152	0.606434115364	0.45081798545	0.403289308112	0.721367959451	0.493031962726	0.644186637371	0.435922779295	0.443394599758	0.647157225616	0.603079361984	0.640984137261	0.713478068486	0.405357386196	0.675753241588	0.3879962485	0.7084139942	0.536221707872	0.419797643898	0.714692095914	0.70155755092	0.700488315633	0.687053987464	0.440889152007	0.400930020612	0.443733839968	0.456056468526	0.668111804821	0.434529256521	0.632406907166	0.677043574113
M2Tkey217.141054	0.693252567971	0.0	0.618960283108	0.60483121537	0.667782783819	0.71061228707	0.507654803469	0.411288555106	0.557037627803	0.700964818978	0.531633065176	0.586944224752	0.466469643197	0.672443308813	0.589308521901	0.721745539723	0.703229985922	0.540351722243	0.559567323944	0.587651331199	0.484043243644	0.757176544512	0.521511005153	0.654128743504	0.543114961984	0.606086265876	0.596728412069	0.64244824152	0.554371416247	0.506090863441	0.482496668046	0.610192719773	0.483166264095	0.456682268521	0.621371354036	0.681473931762	0.605137572105	0.661894280316	0.678193698801	0.695812453235	0.741396536803	0.384075545425	0.551942803924	0.533015721595	0.534695222108	0.641684817556	0.72474686222	0.605611246784	0.676387247416	0.623363772825	0.715442665711	0.681541942148	0.447511968997	0.477205863762	0.532804721309	0.497573858954	0.73745304575	0.568243061982	0.697000106201	0.574666484569	0.76272204567	0.705786947439	0.52868018669	0.448511551046	0.560513052336	0.642316584619	0.642085461086	0.673216011965	0.72293427651	0.766646991424	0.620762233787	0.676538525384	0.539853774792	0.595114039243
M2Gkey217.141106	0.782470285906	0.618960283108	0.0	0.728973009296	0.789307174555	0.807123204589	0.667928575696	0.635807119985	0.570450477514	0.812416572252	0.616034240316	0.6997651464	0.650395115056	0.771176325755	0.66984934344	0.792218584404	0.779925164729	0.635829889337	0.659932082421	0.642160745201	0.582067369498	0.863955533328	0.478335403267	0.646852339384	0.6102294982	0.715186544647	0.620321670412	0.753235011087	0.643311703165	0.587521947479	0.673763887524	0.727047391838	0.537919965918	0.601526739214	0.707479371607	0.75614202283	0.671070205062	0.8025472432	0.768748889016	0.800040183468	0.832733160963	0.596323536057	0.600013259717	0.645802885284	0.68389100196	0.738137529452	0.814441909723	0.584251438365	0.762551491195	0.697296357344	0.809018397374	0.760965426115	0.685435947596	0.630495079985	0.624531898123	0.648033687713	0.809336076094	0.631907278533	0.797788018082	0.621913749646	0.83818385135	0.75137258482	0.535310739979	0.565235232642	0.563818006713	0.727702811762	0.732237329562	0.769398506745	0.765468966506	0.871757400696	0.679083387723	0.789353787076	0.641276129926	0.653850438223
M2Enter217.141012	0.481092676131	0.60483121537	0.728973009296	0.0	0.477319743588	0.526235095997	0.583678815825	0.503022594312	0.643872332055	0.475539334239	0.642261955289	0.613032624695	0.617967301584	0.534541624118	0.536504132577	0.512058334744	0.512875028252	0.531766787023	0.707636805094	0.609906048509	0.602600211314	0.593414918153	0.651481517785	0.706081964255	0.675460804244	0.580880872521	0.710426640305	0.451311899423	0.586333678169	0.630112350454	0.595727304682	0.427350109681	0.543597653718	0.619881050736	0.624344486696	0.453187977826	0.632977907177	0.518229743964	0.424165840972	0.45866170811	0.526948040182	0.571147217694	0.647283487705	0.556573669616	0.580034310672	0.396302736228	0.51041230454	0.67631582463	0.447886967923	0.595447574947	0.496008525242	0.442688400748	0.548256993759	0.522293518174	0.59446370553	0.653296638528	0.503675698724	0.573279501602	0.464849765694	0.631750219303	0.58523610178	0.467645817733	0.636272020417	0.636078902089	0.64700268341	0.669558466109	0.436730597206	0.428892280997	0.495923996285	0.607520188002	0.651829046141	0.477933748242	0.559406988908	0.63065547986
M2Skey217.141089	0.411366720963	0.667782783819	0.789307174555	0.477319743588	0.0	0.40638028451	0.678444235372	0.608160325472	0.731305017353	0.406453721736	0.695847882291	0.689344691762	0.669670579602	0.479032779752	0.61066302498	0.414716137123	0.466241178562	0.630521308139	0.754077282969	0.684711678725	0.684149108988	0.44050202582	0.720496451926	0.774350295575	0.736492834869	0.646293409567	0.775195792167	0.482536979265	0.695443368088	0.68831695017	0.655474752593	0.444785204865	0.657973681436	0.682133702806	0.691250595485	0.433197751096	0.702492725734	0.452869956946	0.437564648282	0.363249784159	0.448279940805	0.663356351313	0.715474799772	0.612787287812	0.651803357932	0.447214928078	0.373502794029	0.750748239065	0.459192098581	0.665731092546	0.438762764391	0.433958748522	0.621631260582	0.621143222769	0.652057401581	0.714546261843	0.40500604841	0.681573180224	0.353729500659	0.71495433203	0.472595452053	0.386328539958	0.701498242739	0.704421273651	0.70744409999	0.711475143496	0.41881411073	0.39095067471	0.354800008407	0.429739394811	0.664163464618	0.443819184078	0.629072831885	0.696209019434
M9Pkey217.141096	0.402418366355	0.71061228707	0.807123204589	0.526235095997	0.40638028451	0.0	0.703665048693	0.649460971446	0.761346760874	0.451635238011	0.732158029784	0.690952827252	0.697641683836	0.475477785426	0.674734638047	0.441213845156	0.449141214963	0.676210980304	0.757559167192	0.738730368499	0.699972752209	0.421450362202	0.733134833682	0.776535297089	0.753552126101	0.679646354167	0.796046426828	0.50473814649	0.72287070003	0.722494422895	0.692778529146	0.473511513122	0.686312580862	0.726431514346	0.719492070026	0.457877545874	0.73182846382	0.496941342275	0.444243893098	0.403609927024	0.466725876518	0.689235664611	0.74225276619	0.664406832081	0.675557004395	0.499435615308	0.394304734279	0.761504139737	0.487020842385	0.706595072769	0.449422841941	0.481258432607	0.670460174883	0.643750224747	0.704023943151	0.745369115276	0.411078611388	0.68738641345	0.378245019487	0.737511321931	0.463033685592	0.423094520957	0.730785176134	0.735504649763	0.721536017387	0.705580751981	0.460656898325	0.449348594139	0.428328890785	0.388102686469	0.694424560194	0.460669704104	0.68056397305	0.707981309848
M9Fkey217.141065	0.656666294312	0.507654803469	0.667928575696	0.583678815825	0.678444235372	0.703665048693	0.0	0.534071293211	0.551827235852	0.68818334209	0.534605863095	0.588740097933	0.537017706488	0.69161145303	0.519962251644	0.700338361226	0.671903900919	0.48372966318	0.576882603062	0.565997037369	0.554753163294	0.75699898937	0.614461224109	0.706172670088	0.683178037985	0.556629288052	0.706677338279	0.659130782102	0.628810422695	0.514748246293	0.554640559043	0.592658435424	0.485505957158	0.554353907537	0.510266330493	0.626075762718	0.543845862382	0.665303971026	0.661918798298	0.676838187902	0.724872659677	0.548529040241	0.559029061458	0.461495831568	0.508355882882	0.605572463144	0.706589578369	0.60601604667	0.659611707351	0.522305559162	0.691888045665	0.646701917758	0.436469293452	0.516106103307	0.549709654247	0.533033053815	0.696953394022	0.564318451211	0.681515200497	0.548069257941	0.760156119746	0.657306395174	0.615363844013	0.537518934468	0.598459651612	0.610551634444	0.616173781712	0.633770364681	0.670740018426	0.762410583708	0.589571957397	0.670997771984	0.514691429671	0.563934138611
M9Okey217.141076	0.630486328858	0.411288555106	0.635807119985	0.503022594312	0.608160325472	0.649460971446	0.534071293211	0.0	0.494375068704	0.642292581673	0.544145249265	0.562150046619	0.462714290375	0.6250928232	0.557787517552	0.658871677885	0.639589777166	0.520483607111	0.635977495661	0.56237484692	0.452634872183	0.703842712641	0.472443939904	0.589133203078	0.595924306563	0.58842408685	0.564773854297	0.583344048984	0.481375175047	0.474189904934	0.502072990642	0.542193936682	0.427808633751	0.424123388184	0.628361435574	0.599766925095	0.576180342418	0.607326727644	0.602221567292	0.631082364771	0.695491195154	0.3640215103	0.553364081423	0.499066994356	0.552758207708	0.56377704051	0.658614659525	0.60660233587	0.580512775968	0.564861307884	0.651823397219	0.617226783772	0.454803814663	0.450859463016	0.500526297583	0.554804091141	0.663511499178	0.557848368096	0.637575791799	0.588856023882	0.693055377768	0.616948051207	0.520969514095	0.515466249317	0.533678515479	0.646284784433	0.557796081067	0.594227246932	0.642289372385	0.712869085657	0.580527208574	0.59782828716	0.528901266655	0.610484846401
M9Akey217.141086	0.711582906167	0.557037627803	0.570450477514	0.643872332055	0.731305017353	0.761346760874	0.551827235852	0.494375068704	0.0	0.735075960821	0.52280964624	0.638899216193	0.490262276028	0.753504500571	0.588233228915	0.752198453534	0.726726685024	0.53062535622	0.551640799241	0.527479067096	0.477167784734	0.803737732731	0.551499873465	0.584975887584	0.62437438767	0.628699951601	0.589302896713	0.696515975232	0.523519731735	0.531884872216	0.555417645199	0.657376290172	0.456649095788	0.494400761934	0.638006139152	0.704388012283	0.589322903439	0.7280204628	0.694236963617	0.743596529728	0.780460276115	0.486461466082	0.531963604413	0.593209389264	0.596498631792	0.682312307441	0.74453178536	0.542604248013	0.699536926313	0.639763491436	0.742391063031	0.709712746638	0.580703477766	0.543964318583	0.479143747907	0.590073584588	0.753968588288	0.597941288744	0.744248543582	0.527403067592	0.783379810238	0.720227533145	0.539671238515	0.44661460888	0.596968409269	0.663771636521	0.663806037922	0.691466928772	0.724851507383	0.804024540046	0.601727131813	0.715224094524	0.565998555844	0.62940765902
M2Ckey217.141092	0.423305140122	0.700964818978	0.812416572252	0.475539334239	0.406453721736	0.451635238011	0.68818334209	0.642292581673	0.735075960821	0.0	0.716113993808	0.694796727836	0.670615758843	0.487216177914	0.639037778626	0.459090756308	0.509529744697	0.658195231783	0.75943064969	0.705124327719	0.702359361317	0.457325239411	0.743406848786	0.790169521775	0.740178143607	0.662714954087	0.795145721168	0.485986671853	0.691839073766	0.708726633069	0.680785586502	0.473609797188	0.678195821261	0.697601567102	0.709603928023	0.443366897281	0.723163697261	0.476286254355	0.412426088673	0.358686734303	0.42723224411	0.685485359419	0.722634024301	0.656019560064	0.624309094165	0.462928077716	0.43986509371	0.748498331479	0.488504239693	0.691902266162	0.470278592691	0.445130693544	0.662898734073	0.644406924259	0.670163153501	0.741872757753	0.448882933053	0.705758175696	0.426035730235	0.737401648858	0.517093694007	0.400657330342	0.71543412647	0.717990216523	0.7230060255	0.711796358008	0.468938665233	0.384190514164	0.468264122628	0.455501491303	0.685557201501	0.440015799637	0.666029704852	0.684273423761
