	M9Mkey217.141007	M3Nkey217.141001	M3Ekey217.141042	M3Rkey217.141025	M9Ekey217.141044	M3Qkey217.141051	M2Ekey217.141011	M2Enter217.141012	M2Hkey217.141026	M9Ykey217.141029	M3Hkey217.141093	M2Ykey217.141095	M9Fkey217.141065	M2Vkey217.141022	M3Zkey217.141083	M9Okey217.141076	M9Gkey217.141099	M3Lkey217.141097	M2Pkey217.141105	M3Lsft217.141088	M9Skey217.141004	M3Wkey217.141104	M3Pkey217.141031	M2Wkey217.141070	M2Mkey217.141014	M9Enter217.141084	M2Ukey217.141085	M9Vkey217.141018	M9Dkey217.141053	M2Tkey217.141054	M2Fkey217.141078	M2Jkey217.141038	M2Ckey217.141092	M2Qkey217.141102	M2Gkey217.141106	M3Tkey217.141081	M3Space217.141098	M9Space217.141079	M3Ckey217.141073	M2Ikey217.141000	M2Lkey217.141048	M9Kkey217.141033	M2Lsft217.141056	M9Nkey217.141010	M9Hkey217.140999	M2Rkey217.141050	M3Jkey217.141017	M9Pkey217.141096	M3Bkey217.141059	M2Kkey217.141041	M2Xkey217.141016	M3Ykey217.141023	M9Bkey217.141032	M2Space217.140997	M2Okey217.141061	M3Rsft217.140995	M9Ckey217.141013	M3Xkey217.141055	M9Qkey217.141019	M2Rsft217.141034	M2Bkey217.141063	M9Akey217.141086	M2Akey217.141030	M2Dkey217.140994	M3Akey217.141006	M2Zkey217.141015	M9Xkey217.141072	M2Skey217.141089	M3Mkey217.141107	M3Gkey217.141037	M2Nkey217.141052	M9Wkey217.141090	M3Vkey217.141028	M3Kkey217.141046
M9Mkey217.141007	0.0	0.683173731147	0.740071786072	0.707098071556	0.688594648292	0.650395115056	0.453942134382	0.560085767228	0.557065324432	0.772349243681	0.663416460711	0.640918339535	0.592249549416	0.585054523732	0.52387236909	0.630948022867	0.520136826402	0.465645249156	0.468446599296	0.527657157743	0.51748146531	0.71389950296	0.617967301584	0.585492666234	0.591491616102	0.527160861367	0.682741146648	0.682851892147	0.673703307611	0.620378555245	0.67391602211	0.678805952185	0.681622221144	0.762825558554	0.708880592515	0.540911394899	0.462714290375	0.512498652061	0.619463901253	0.50291879187	0.664670681712	0.563666948021	0.604342960182	0.587881455163	0.60776743337	0.580199809635	0.592691109768	0.466469643197	0.565927437675	0.670615758843	0.628095876509	0.648091732586	0.668343460613	0.490262276028	0.553159695744	0.670521495246	0.75519472855	0.705604117284	0.71719616991	0.644768311785	0.657413147928	0.697641683836	0.690889523957	0.585777517412	0.537017706488	0.599838608242	0.600056790434	0.611823030753	0.584047726574	0.55720021554	0.669670579602	0.548326240632	0.584777802199	0.550046866137
M3Nkey217.141001	0.683173731147	0.0	0.458183177009	0.469239225655	0.393324336717	0.75137258482	0.687897109644	0.678246072257	0.672615136096	0.463669880932	0.365866751742	0.408879795054	0.420684048458	0.732099907493	0.617539193533	0.656043682309	0.648052628721	0.675201970927	0.693811844356	0.672914033873	0.697238208472	0.450999494203	0.467645817733	0.710046560605	0.696485534535	0.661262883887	0.384355725689	0.448772890033	0.451175806345	0.411469609044	0.419797643898	0.425306154388	0.464185089562	0.466323406782	0.396861577482	0.659440958744	0.616948051207	0.603147317155	0.791097770452	0.638468449034	0.387830299472	0.700722414414	0.687064263625	0.663478545541	0.756820754492	0.60179802039	0.626819019455	0.705786947439	0.722503095131	0.400657330342	0.68245183329	0.641835237734	0.780549378805	0.720227533145	0.743756975181	0.456039146134	0.462157293972	0.440384108438	0.437207816038	0.395060820612	0.412617224676	0.423094520957	0.410014892582	0.672257304599	0.657306395174	0.703826304555	0.662265280808	0.684354838886	0.755294009955	0.708186403206	0.386328539958	0.631046985199	0.696621549823	0.613951767524
M3Ekey217.141042	0.740071786072	0.458183177009	0.0	0.446000043191	0.46189626858	0.832733160963	0.707205864462	0.74243515937	0.756411725003	0.452935821886	0.457239102522	0.46241221436	0.50926698827	0.770851880431	0.673930737565	0.721476667307	0.698197984872	0.719633115858	0.75748110583	0.697800687405	0.71365215613	0.480812571259	0.526948040182	0.768448524804	0.77417657729	0.720369902253	0.368519952649	0.494202748798	0.525963025742	0.514310780107	0.446532238318	0.464895519219	0.55589570719	0.463125677204	0.431260987351	0.721716387257	0.695491195154	0.687599901269	0.818055291488	0.721657062109	0.474067893086	0.763163489761	0.746154659819	0.713593645641	0.788965020672	0.650978882208	0.671540862738	0.741396536803	0.747695422305	0.42723224411	0.705589505051	0.688534819869	0.810445579814	0.780460276115	0.786076148212	0.525626276976	0.448498203588	0.47275545429	0.439072173763	0.438913104291	0.476644092426	0.466725876518	0.420313397026	0.715482592519	0.724872659677	0.749970100117	0.734627735858	0.703804200688	0.726698767554	0.769870070694	0.448279940805	0.69511633056	0.740540742573	0.670069223665
M3Rkey217.141025	0.707098071556	0.469239225655	0.446000043191	0.0	0.452523119306	0.809018397374	0.686444845288	0.708774201251	0.725924555493	0.496128290489	0.42477470652	0.449165227341	0.484709806313	0.749797744227	0.638374689623	0.675340241351	0.677250702563	0.714082651505	0.74057718046	0.668965171664	0.697284119834	0.473435867111	0.496008525242	0.742337550115	0.719234931136	0.683580959847	0.450222243176	0.511872695757	0.445267044001	0.455034991724	0.435922779295	0.438342860997	0.527165058675	0.525528822928	0.421103862391	0.696040697921	0.651823397219	0.647219047209	0.782577835308	0.685339581566	0.445585542763	0.72294037643	0.687573561392	0.718339704865	0.766915448239	0.64349982366	0.622708747286	0.715442665711	0.74771098379	0.470278592691	0.691669468819	0.67465384232	0.789358134612	0.742391063031	0.767925052741	0.504224884225	0.522110140639	0.452352951734	0.41618831523	0.444779538948	0.465137294346	0.449422841941	0.420674451488	0.685519217845	0.691888045665	0.687512663422	0.683082659051	0.6962513396	0.733637288686	0.741522021322	0.438762764391	0.663257163584	0.710466045061	0.649301128615
M9Ekey217.141044	0.688594648292	0.393324336717	0.46189626858	0.452523119306	0.0	0.765468966506	0.687379997145	0.688744634864	0.684571380655	0.500415660317	0.446633732149	0.467409794061	0.481869374459	0.737630616957	0.643771458125	0.656222669021	0.66613880371	0.689620731219	0.716459250959	0.660089614625	0.712621327671	0.471495211639	0.495923996285	0.72445141145	0.70782303645	0.683170319565	0.422707007648	0.478176200398	0.471906674296	0.42673575056	0.443733839968	0.494977245442	0.484074893082	0.442157859316	0.408531997655	0.679243256523	0.642289372385	0.625473092034	0.785018601151	0.65689497155	0.478357248188	0.70774212467	0.707833647053	0.696183112822	0.770412789164	0.61931598835	0.632541083513	0.72293427651	0.714125442603	0.468264122628	0.680810638582	0.670096625953	0.797343409009	0.724851507383	0.728403874822	0.512750125076	0.490384512242	0.475533659774	0.463442646609	0.438024610544	0.473715443263	0.428328890785	0.400789763048	0.678508672383	0.670740018426	0.72080001816	0.666578689656	0.675867540307	0.752044878208	0.725920284502	0.354800008407	0.640941064285	0.694962207769	0.621292938808
M3Qkey217.141051	0.650395115056	0.75137258482	0.832733160963	0.809018397374	0.765468966506	0.0	0.601526739214	0.643311703165	0.563818006713	0.871757400696	0.75614202283	0.738137529452	0.727047391838	0.648033687713	0.68389100196	0.697296357344	0.685435947596	0.596323536057	0.565235232642	0.624531898123	0.587521947479	0.779925164729	0.728973009296	0.600013259717	0.621913749646	0.582067369498	0.800040183468	0.8025472432	0.762551491195	0.732237329562	0.782470285906	0.789353787076	0.771176325755	0.83818385135	0.814441909723	0.673763887524	0.635807119985	0.630495079985	0.620321670412	0.537919965918	0.768748889016	0.616034240316	0.671070205062	0.653850438223	0.659932082421	0.66984934344	0.641276129926	0.618960283108	0.535310739979	0.812416572252	0.707479371607	0.715186544647	0.646852339384	0.570450477514	0.584251438365	0.753235011087	0.863955533328	0.792218584404	0.809336076094	0.769398506745	0.760965426115	0.807123204589	0.797788018082	0.6997651464	0.667928575696	0.727702811762	0.631907278533	0.679083387723	0.6102294982	0.478335403267	0.789307174555	0.635829889337	0.642160745201	0.645802885284
M2Ekey217.141011	0.453942134382	0.687897109644	0.707205864462	0.686444845288	0.687379997145	0.601526739214	0.0	0.538755063158	0.562827945968	0.774165262571	0.646579620298	0.633983291816	0.614509723418	0.602838190105	0.555342311971	0.602023842528	0.505541756514	0.392171796473	0.527855298997	0.471888429707	0.366815285314	0.703291523179	0.619881050736	0.562228082013	0.599442532002	0.426518115055	0.695957320964	0.686348941608	0.667858494044	0.6323267871	0.682530840365	0.689535162661	0.691784453058	0.766109962295	0.71349281398	0.522009169406	0.424123388184	0.495166167684	0.573256871445	0.46406121135	0.645165357688	0.540695960939	0.589226225458	0.584846737425	0.634142341099	0.558409866134	0.513409541697	0.456682268521	0.499291305221	0.697601567102	0.57841648001	0.579829110882	0.591944817938	0.494400761934	0.550259276087	0.63945829446	0.765932612556	0.712069955484	0.729694776573	0.661208108723	0.660869710606	0.726431514346	0.692248543694	0.585791571337	0.554353907537	0.62206860167	0.610108300186	0.599838176557	0.504853640152	0.518875999119	0.682133702806	0.536894626396	0.568822363871	0.506035766511
M2Enter217.141012	0.560085767228	0.678246072257	0.74243515937	0.708774201251	0.688744634864	0.643311703165	0.538755063158	0.0	0.616530823309	0.780567864183	0.686801400023	0.641466434242	0.621637919598	0.621326395541	0.591298311201	0.657134018567	0.553424179713	0.461940993081	0.606474455684	0.552367084264	0.579495921739	0.699894768637	0.586333678169	0.600481563312	0.627130917217	0.537020810635	0.695738551517	0.686212804335	0.668853634745	0.632879364526	0.69004604658	0.666418362674	0.729568350479	0.770496957717	0.716163135828	0.567841635488	0.481375175047	0.525265149507	0.546835812354	0.483445337602	0.661521922326	0.636509742101	0.629707403361	0.700528827196	0.643372282167	0.5801239092	0.568559197598	0.554371416247	0.484390398489	0.691839073766	0.667051143302	0.647107069823	0.554966927101	0.523519731735	0.668689952411	0.641296757475	0.771112751298	0.720432974419	0.715567488144	0.661893207744	0.67819587048	0.72287070003	0.69413449341	0.636016443648	0.628810422695	0.702614048789	0.626620608051	0.64496039137	0.65640936778	0.573570540899	0.695443368088	0.593272367881	0.566729435864	0.553988030328
M2Hkey217.141026	0.557065324432	0.672615136096	0.756411725003	0.725924555493	0.684571380655	0.563818006713	0.562827945968	0.616530823309	0.0	0.780372453274	0.685891034343	0.648697490128	0.632052093324	0.669920403976	0.622322514131	0.654723281217	0.600394993611	0.540326556105	0.500544835266	0.587675222399	0.568324839342	0.682286422728	0.64700268341	0.655418541436	0.660929831687	0.514829517846	0.716433875879	0.689759694175	0.657486554744	0.633226435427	0.700488315633	0.68405731577	0.676733992848	0.737805317815	0.747728278503	0.582325678713	0.533678515479	0.516840453652	0.585572538577	0.544603574043	0.674470200617	0.57355347045	0.628445329242	0.606466634592	0.682748048889	0.630821044054	0.608161743511	0.560513052336	0.589245759729	0.7230060255	0.698136094221	0.689419148264	0.684092560109	0.596968409269	0.575776277591	0.630411167129	0.770445645785	0.726956418301	0.739296624134	0.673226173352	0.678404435134	0.721536017387	0.721394323828	0.607996916569	0.598459651612	0.683347331262	0.591065481486	0.640540272389	0.580797807724	0.459992891018	0.70744409999	0.641250505896	0.6821551656	0.583990256903
M9Ykey217.141029	0.772349243681	0.463669880932	0.452935821886	0.496128290489	0.500415660317	0.871757400696	0.774165262571	0.780567864183	0.780372453274	0.0	0.527801028942	0.550733574723	0.547567635472	0.785143181777	0.749322909251	0.778687613289	0.742683711048	0.743299254621	0.787994630105	0.76150619268	0.777923654866	0.523899924875	0.607520188002	0.782998918154	0.810527328057	0.760512754379	0.399414457244	0.463718343304	0.561925525559	0.521137562708	0.456056468526	0.503309093747	0.496056213666	0.363631599437	0.408252747631	0.745742873526	0.712869085657	0.730634412647	0.834611396532	0.754786587371	0.481605385867	0.781486287554	0.787185770218	0.767974503773	0.813558214778	0.738018593658	0.753326653224	0.766646991424	0.809343882309	0.455501491303	0.788414552463	0.753742642017	0.852490134043	0.804024540046	0.80058776807	0.568155541774	0.324371566264	0.429799552347	0.425186411431	0.486380978405	0.531141404171	0.388102686469	0.381635343229	0.76652166427	0.762410583708	0.765343594166	0.776980972729	0.763082150156	0.791318674398	0.794544855201	0.429739394811	0.75504210524	0.795592884065	0.74704178585
