	M9Ekey217.141044	M2Tkey217.141054	M2Gkey217.141106	M2Enter217.141012	M2Skey217.141089	M9Pkey217.141096	M9Fkey217.141065	M9Okey217.141076	M9Akey217.141086	M2Ckey217.141092	M2Ykey217.141095	M2Ukey217.141085	M2Nkey217.141052	M3Kkey217.141046	M3Ykey217.141023	M3Lkey217.141097	M3Bkey217.141059	M9Wkey217.141090	M9Nkey217.141010	M9Mkey217.141007	M9Bkey217.141032	M2Ikey217.141000	M2Mkey217.141014	M3Ckey217.141073	M3Space217.141098	M9Xkey217.141072	M2Vkey217.141022	M2Rkey217.141050	M2Pkey217.141105	M2Lkey217.141048	M2Qkey217.141102	M2Kkey217.141041	M2Xkey217.141016	M2Ekey217.141011	M2Fkey217.141078	M3Jkey217.141017	M9Gkey217.141099	M9Vkey217.141018	M9Kkey217.141033	M9Ckey217.141013	M2Hkey217.141026	M3Nkey217.141001	M3Akey217.141006	M3Mkey217.141107	M3Zkey217.141083	M3Rkey217.141025	M3Qkey217.141051	M9Enter217.141084	M9Dkey217.141053	M2Bkey217.141063	M3Wkey217.141104	M3Xkey217.141055	M9Space217.141079	M9Ykey217.141029	M9Qkey217.141019	M2Okey217.141061	M2Dkey217.140994	M2Zkey217.141015	M2Space217.140997	M2Lsft217.141056	M2Jkey217.141038	M2Wkey217.141070	M2Akey217.141030	M3Pkey217.141031	M3Ekey217.141042	M3Lsft217.141088	M3Hkey217.141093	M3Rsft217.140995	M9Hkey217.140999	M9Skey217.141004	M2Rsft217.141034	M3Gkey217.141037	M3Vkey217.141028	M3Tkey217.141081
M9Ekey217.141044	0.0	0.42673575056	0.408531997655	0.688744634864	0.675867540307	0.72293427651	0.481869374459	0.656222669021	0.428328890785	0.484074893082	0.467409794061	0.422707007648	0.354800008407	0.621292938808	0.670096625953	0.689620731219	0.714125442603	0.640941064285	0.696183112822	0.688594648292	0.797343409009	0.65689497155	0.70782303645	0.785018601151	0.642289372385	0.666578689656	0.737630616957	0.61931598835	0.716459250959	0.478357248188	0.442157859316	0.468264122628	0.680810638582	0.687379997145	0.443733839968	0.632541083513	0.66613880371	0.478176200398	0.70774212467	0.490384512242	0.684571380655	0.393324336717	0.670740018426	0.752044878208	0.643771458125	0.452523119306	0.765468966506	0.683170319565	0.471906674296	0.473715443263	0.471495211639	0.475533659774	0.625473092034	0.500415660317	0.463442646609	0.728403874822	0.678508672383	0.72080001816	0.724851507383	0.707833647053	0.494977245442	0.72445141145	0.400789763048	0.495923996285	0.46189626858	0.660089614625	0.446633732149	0.512750125076	0.770412789164	0.712621327671	0.438024610544	0.725920284502	0.694962207769	0.679243256523
M2Tkey217.141054	0.42673575056	0.0	0.446981886917	0.632879364526	0.637239235157	0.642085461086	0.408179621488	0.631138235926	0.460656898325	0.463158766109	0.443104673388	0.406497751517	0.41881411073	0.549251498107	0.597074670914	0.632699374532	0.656032814587	0.5857639598	0.642995556186	0.620378555245	0.74140679972	0.589843622415	0.636899183291	0.754522993897	0.557796081067	0.603754840024	0.679095120164	0.55769813258	0.644249216619	0.416764798506	0.54330359528	0.468938665233	0.641875599907	0.6323267871	0.440889152007	0.5465064021	0.600710010016	0.4952840427	0.6411863608	0.535481829095	0.633226435427	0.411469609044	0.616173781712	0.696192238294	0.573643650053	0.455034991724	0.732237329562	0.623211023301	0.437357183209	0.421691823146	0.42487650251	0.443894695896	0.54810255262	0.521137562708	0.466330745386	0.683695096486	0.618216244539	0.666484034028	0.663806037922	0.611450325162	0.473173911879	0.670841912525	0.409795860436	0.436730597206	0.514310780107	0.619662212133	0.452870590881	0.421239576202	0.710854067428	0.649135976356	0.416290071527	0.653200077334	0.642294780295	0.619971176716
M2Gkey217.141106	0.408531997655	0.446981886917	0.0	0.716163135828	0.687611405139	0.72474686222	0.468145517708	0.696530634984	0.394304734279	0.50868248257	0.459689458569	0.368368045292	0.373502794029	0.668611929416	0.670264371978	0.698422110916	0.753573241537	0.65971568435	0.702718597236	0.708880592515	0.810921286222	0.692786705235	0.734946179429	0.80774004114	0.658614659525	0.710802496752	0.745704015933	0.645995105281	0.729694951909	0.42629343978	0.455333638712	0.43986509371	0.71292648686	0.71349281398	0.403289308112	0.672250082852	0.676775950724	0.471573489917	0.743221416448	0.417733842031	0.747728278503	0.396861577482	0.706589578369	0.757509379852	0.632607939944	0.421103862391	0.814441909723	0.719550794614	0.479013956973	0.436577548826	0.458898335155	0.369105952124	0.66470719302	0.408252747631	0.369172555013	0.75912138221	0.715946930333	0.722762798267	0.74453178536	0.726878421476	0.425839259128	0.733497434138	0.384334800133	0.51041230454	0.431260987351	0.707756507481	0.423745119385	0.467987554405	0.78086016583	0.73231601131	0.412843152732	0.759613482418	0.722487827888	0.692009293751
M2Enter217.141012	0.688744634864	0.632879364526	0.716163135828	0.0	0.64496039137	0.554371416247	0.621637919598	0.657134018567	0.72287070003	0.729568350479	0.641466434242	0.695738551517	0.695443368088	0.553988030328	0.647107069823	0.461940993081	0.484390398489	0.593272367881	0.700528827196	0.560085767228	0.554966927101	0.483445337602	0.627130917217	0.546835812354	0.481375175047	0.626620608051	0.621326395541	0.5801239092	0.606474455684	0.661521922326	0.770496957717	0.691839073766	0.667051143302	0.538755063158	0.69004604658	0.568559197598	0.553424179713	0.686212804335	0.636509742101	0.771112751298	0.616530823309	0.678246072257	0.628810422695	0.65640936778	0.591298311201	0.708774201251	0.643311703165	0.537020810635	0.668853634745	0.67819587048	0.699894768637	0.720432974419	0.525265149507	0.780567864183	0.715567488144	0.668689952411	0.636016443648	0.702614048789	0.523519731735	0.629707403361	0.666418362674	0.600481563312	0.69413449341	0.586333678169	0.74243515937	0.552367084264	0.686801400023	0.641296757475	0.643372282167	0.579495921739	0.661893207744	0.573570540899	0.566729435864	0.567841635488
M2Skey217.141089	0.675867540307	0.637239235157	0.687611405139	0.64496039137	0.0	0.620762233787	0.64592518599	0.569167036181	0.694424560194	0.736262639741	0.601312651023	0.676519012598	0.664163464618	0.5565998314	0.573459943803	0.599109977593	0.614001690836	0.505688352162	0.559413179213	0.611823030753	0.689937161131	0.575228342523	0.562070663492	0.729759832693	0.580527208574	0.606459371022	0.634814857551	0.526970859743	0.60243414115	0.669915456578	0.756396663536	0.685557201501	0.607480501385	0.599838176557	0.668111804821	0.565928963591	0.534182819286	0.690963770979	0.560207578208	0.743757711756	0.640540272389	0.684354838886	0.589571957397	0.657421254341	0.56305467403	0.6962513396	0.679083387723	0.549305749263	0.680666573166	0.640611203559	0.663669131149	0.681864996253	0.552973174563	0.763082150156	0.701732292778	0.669112815723	0.5623029702	0.636649485249	0.601727131813	0.58642019501	0.668496238376	0.652260444761	0.694848105537	0.651829046141	0.703804200688	0.545371051849	0.657050486923	0.631763167524	0.631748594405	0.568049168141	0.652870065463	0.602060917674	0.614105461424	0.513044198037
M9Pkey217.141096	0.72293427651	0.642085461086	0.72474686222	0.554371416247	0.620762233787	0.0	0.610192719773	0.623363772825	0.71061228707	0.672443308813	0.641684817556	0.695812453235	0.667782783819	0.533015721595	0.606086265876	0.384075545425	0.52868018669	0.540351722243	0.595114039243	0.466469643197	0.654128743504	0.483166264095	0.574666484569	0.596728412069	0.411288555106	0.568243061982	0.497573858954	0.589308521901	0.448511551046	0.678193698801	0.76272204567	0.700964818978	0.621371354036	0.456682268521	0.693252567971	0.539853774792	0.447511968997	0.661894280316	0.531633065176	0.757176544512	0.560513052336	0.705786947439	0.507654803469	0.543114961984	0.534695222108	0.715442665711	0.618960283108	0.484043243644	0.676387247416	0.681541942148	0.703229985922	0.721745539723	0.477205863762	0.766646991424	0.73745304575	0.605611246784	0.586944224752	0.642316584619	0.557037627803	0.605137572105	0.676538525384	0.551942803924	0.697000106201	0.60483121537	0.741396536803	0.532804721309	0.681473931762	0.64244824152	0.559567323944	0.506090863441	0.673216011965	0.521511005153	0.587651331199	0.482496668046
M9Fkey217.141065	0.481869374459	0.408179621488	0.468145517708	0.621637919598	0.64592518599	0.610192719773	0.0	0.630064428578	0.473511513122	0.503647178467	0.389572947238	0.4362949126	0.444785204865	0.539177290396	0.616849273879	0.562302368264	0.618875300046	0.57427447815	0.634281567709	0.592249549416	0.708424339352	0.567733395637	0.661441893831	0.729028044654	0.542193936682	0.608159265856	0.650918005158	0.561851929908	0.63245646629	0.435162861316	0.56465167845	0.473609797188	0.635973967339	0.614509723418	0.475444967842	0.576091449172	0.566354348195	0.496330444736	0.642694626936	0.534589289267	0.632052093324	0.420684048458	0.592658435424	0.682997864319	0.579347354893	0.484709806313	0.727047391838	0.587856825425	0.474944125804	0.47107341201	0.510460553768	0.47115158742	0.563729790503	0.547567635472	0.50747664857	0.658885482559	0.616314550682	0.672268100326	0.657376290172	0.65018173428	0.459438814312	0.663384086708	0.448542029631	0.427350109681	0.50926698827	0.593918934549	0.486710025345	0.453124916539	0.684552588561	0.614260045149	0.426271272316	0.634116325253	0.615709768286	0.60472081085
M9Okey217.141076	0.656222669021	0.631138235926	0.696530634984	0.657134018567	0.569167036181	0.623363772825	0.630064428578	0.0	0.706595072769	0.731281653147	0.612888722825	0.691092704429	0.665731092546	0.516527024118	0.583366500202	0.611470902599	0.65145925621	0.56271502595	0.605589992699	0.630948022867	0.729943934494	0.594258739196	0.575956933652	0.725242608489	0.564861307884	0.566195983467	0.661734564874	0.558150715297	0.647537633287	0.63579252791	0.763986541994	0.691902266162	0.580221158662	0.602023842528	0.644186637371	0.583269830762	0.587056910707	0.718899973608	0.637861891441	0.771210771575	0.654723281217	0.656043682309	0.522305559162	0.709570992578	0.602720685917	0.675340241351	0.697296357344	0.592070604112	0.635941962444	0.635963809563	0.657284106951	0.693122324947	0.552732205965	0.778687613289	0.684044122529	0.706357182916	0.572503304598	0.61798651062	0.639763491436	0.566006686369	0.668100565746	0.654178810827	0.698023655562	0.595447574947	0.721476667307	0.605127636388	0.625987346359	0.656165391437	0.69864352337	0.597308853967	0.632614921786	0.681856920328	0.660167709112	0.609817355089
M9Akey217.141086	0.428328890785	0.460656898325	0.394304734279	0.72287070003	0.694424560194	0.71061228707	0.473511513122	0.706595072769	0.0	0.475477785426	0.499435615308	0.403609927024	0.40638028451	0.664406832081	0.679646354167	0.689235664611	0.730785176134	0.676210980304	0.707981309848	0.697641683836	0.776535297089	0.686312580862	0.737511321931	0.796046426828	0.649460971446	0.68738641345	0.745369115276	0.674734638047	0.735504649763	0.444243893098	0.463033685592	0.451635238011	0.719492070026	0.726431514346	0.402418366355	0.68056397305	0.670460174883	0.496941342275	0.732158029784	0.421450362202	0.721536017387	0.423094520957	0.703665048693	0.753552126101	0.675557004395	0.449422841941	0.807123204589	0.699972752209	0.487020842385	0.481258432607	0.449141214963	0.441213845156	0.643750224747	0.388102686469	0.411078611388	0.761504139737	0.690952827252	0.705580751981	0.761346760874	0.73182846382	0.460669704104	0.74225276619	0.378245019487	0.526235095997	0.466725876518	0.704023943151	0.457877545874	0.50473814649	0.757559167192	0.722494422895	0.449348594139	0.733134833682	0.738730368499	0.692778529146
M2Ckey217.141092	0.484074893082	0.463158766109	0.50868248257	0.729568350479	0.736262639741	0.672443308813	0.503647178467	0.731281653147	0.475477785426	0.0	0.51030711415	0.500668336619	0.479032779752	0.67578361893	0.722733894139	0.671395984545	0.725967138342	0.680056677096	0.71321632053	0.681622221144	0.817192471629	0.691018289576	0.73914577994	0.766687732673	0.6250928232	0.689616653904	0.704974935535	0.686633670383	0.725285061129	0.487682511382	0.512707323344	0.487216177914	0.734077108373	0.691784453058	0.480915721661	0.690926544626	0.664885018627	0.506120358343	0.714924143459	0.518409981974	0.676733992848	0.464185089562	0.69161145303	0.721695249687	0.686945102331	0.527165058675	0.771176325755	0.705340525283	0.569626224064	0.518765784831	0.53826641157	0.524588658494	0.649038581698	0.496056213666	0.521433301752	0.728242059159	0.704140769038	0.733421299231	0.753504500571	0.733441153484	0.517421831972	0.724438825102	0.466812025265	0.534541624118	0.55589570719	0.690548582957	0.551780994474	0.506863193509	0.759520688368	0.71029182917	0.521309744189	0.716169810779	0.730376215937	0.683139322678
M2Ykey217.141095	0.467409794061	0.443104673388	0.459689458569	0.641466434242	0.601312651023	0.641684817556	0.389572947238	0.612888722825	0.499435615308	0.51030711415	0.0	0.424320578662	0.447214928078	0.571357937957	0.622605567592	0.620842447825	0.661852227668	0.579875261349	0.646473934764	0.640918339535	0.737929176986	0.591695628075	0.65938908271	0.751613859601	0.56377704051	0.630358201465	0.683788009831	0.567062125468	0.651772209463	0.399491390511	0.542216465591	0.462928077716	0.642678112241	0.633983291816	0.45081798545	0.579519934519	0.590131325285	0.510415137948	0.65978364943	0.548131843986	0.648697490128	0.408879795054	0.605572463144	0.694334557641	0.578418974422	0.449165227341	0.738137529452	0.625630485362	0.457032072587	0.408982712452	0.481301255781	0.450832422971	0.562910404278	0.550733574723	0.471014205553	0.696183294733	0.638293561404	0.691735298651	0.682312307441	0.646142762653	0.477198218566	0.674561079107	0.421481303186	0.396302736228	0.46241221436	0.632509380708	0.436186946	0.470520281972	0.714198376988	0.659992002769	0.401530280015	0.664643635001	0.651997671498	0.62532432265
M2Ukey217.141085	0.422707007648	0.406497751517	0.368368045292	0.695738551517	0.676519012598	0.695812453235	0.4362949126	0.691092704429	0.403609927024	0.500668336619	0.424320578662	0.0	0.363249784159	0.641127156298	0.645330977458	0.698235086143	0.710483340375	0.656715817975	0.686894216847	0.682741146648	0.78167482379	0.661021370973	0.723452226468	0.800807385639	0.631082364771	0.677075735807	0.734910373128	0.630888318108	0.71820410916	0.414270743102	0.452309934555	0.358686734303	0.687368823412	0.695957320964	0.398267075557	0.646707470731	0.65013284964	0.4256229747	0.712636224595	0.425473174525	0.716433875879	0.384355725689	0.676838187902	0.752416776202	0.631665792575	0.450222243176	0.800040183468	0.692908964095	0.464460454821	0.419809129942	0.456327524631	0.399429463868	0.627094916417	0.399414457244	0.3805586007	0.749829788393	0.683832449365	0.699291109974	0.743596529728	0.700451013428	0.416206410919	0.707133509871	0.350678688544	0.45866170811	0.368519952649	0.673162716749	0.4273054153	0.482655352321	0.755312678482	0.699202955721	0.347270428211	0.724299533306	0.691770548311	0.675104632434
M2Nkey217.141052	0.354800008407	0.41881411073	0.373502794029	0.695443368088	0.664163464618	0.667782783819	0.444785204865	0.665731092546	0.40638028451	0.479032779752	0.447214928078	0.363249784159	0.0	0.612787287812	0.646293409567	0.663356351313	0.701498242739	0.630521308139	0.696209019434	0.669670579602	0.774350295575	0.657973681436	0.71495433203	0.775195792167	0.608160325472	0.681573180224	0.714546261843	0.61066302498	0.704421273651	0.437564648282	0.472595452053	0.406453721736	0.691250595485	0.682133702806	0.411366720963	0.629072831885	0.621631260582	0.452869956946	0.695847882291	0.44050202582	0.70744409999	0.386328539958	0.678444235372	0.736492834869	0.651803357932	0.438762764391	0.789307174555	0.684149108988	0.459192098581	0.433958748522	0.466241178562	0.414716137123	0.621143222769	0.429739394811	0.40500604841	0.750748239065	0.689344691762	0.711475143496	0.731305017353	0.702492725734	0.443819184078	0.715474799772	0.353729500659	0.477319743588	0.448279940805	0.652057401581	0.433197751096	0.482536979265	0.754077282969	0.68831695017	0.39095067471	0.720496451926	0.684711678725	0.655474752593
