	M11Space217.141008	M3Ekey217.141042	M2Space217.140997	M2Thml217.141005	M2Gkey217.141106	M3Pkey217.141031	M2Xkey217.141016	M3Jkey217.141017	M2Ukey217.141085	M2Fkey217.141078	M2Kkey217.141041	M9Fkey217.141065	M3Bkey217.141059	M3Space217.141098	M3Pinr217.141057	M2Ikey217.141000	M2Ckey217.141092	M3Rinr217.141091	M3Lsft217.141088	M3Qkey217.141051	M9Wkey217.141090	M3Akey217.141006	M3Midr217.141101	M9Xkey217.141072	M3Ckey217.141073	M9Pkey217.141096	F12Space217.141068	M2Wkey217.141070	M3Thml217.141040	M9Mkey217.141007	M9Space217.141079	M9Skey217.141004	M2Tkey217.141054	M9Rinl217.141020	M2Pkey217.141105	M2Jkey217.141038	M3Gkey217.141037	M3Lkey217.141097	M9Ckey217.141013	M9Midl217.141043	M9Ekey217.141044	M2Qkey217.141102	U2Space217.141047	M9Ykey217.141029	M2Ekey217.141011	M3Ykey217.141023	M2Rinr217.141027	M3Zkey217.141083	M2Dkey217.140994	M9Okey217.141076	M2Akey217.141030	M3Wkey217.141104	U3Space217.141064	M3Pinl217.141094	M9Dkey217.141053	M3Midl217.141103	M10Space217.141036	M9Bkey217.141032	M3Rsft217.140995	M2Vkey217.141022	M3Tkey217.141081	M3Indr217.140993	M9Hkey217.140999	M2Skey217.141089	M2Indr217.141062	M9Akey217.141086	R1Space217.141077	M3Hkey217.141093	M2Bkey217.141063	F11Space217.141071	M3Nkey217.141001	M2Lkey217.141048	M2Pinl217.141003	L3Space217.141024	M2Okey217.141061	M9Indr217.140998	M2Lsft217.141056	M2Zkey217.141015	M3Kkey217.141046	M9Pinr217.141002	M2Pinr217.141039	M9Gkey217.141099	M2Mkey217.141014	M2Rsft217.141034	M3Indl217.141067	M2Rinl217.141058	M3Xkey217.141055	M2Enter217.141012	M3Rkey217.141025	M2Thmr217.141087	M2Hkey217.141026	M9Qkey217.141019	L1Space217.141069	M2Rkey217.141050	M9Indl217.141066	M9Pinl217.141035	M9Enter217.141084	M2Midl217.141009	M3Mkey217.141107	M3Rinl217.141100	U1Space217.141075	M9Rinr217.141080	M9Kkey217.141033	M2Indl217.141074	M9Vkey217.141018	M3Vkey217.141028	M2Nkey217.141052	M9Thml217.141021	F10Space217.141045	M3Thmr217.140996	M9Midr217.141060	M9Nkey217.141010	M2Midr217.141082	M2Ykey217.141095	M9Thmr217.141049
M11Space217.141008	0.0	0.571547246209	0.683173731147	0.740071786072	0.707098071556	0.688594648292	0.675572996042	0.674917040606	0.622909640188	0.637446416372	0.548990335507	0.650395115056	0.453942134382	0.560085767228	0.557065324432	0.578187090694	0.772349243681	0.663416460711	0.640918339535	0.647739929196	0.592249549416	0.706452381119	0.633836894767	0.585054523732	0.52387236909	0.630948022867	0.520136826402	0.598358252936	0.636373542321	0.465645249156	0.468446599296	0.527657157743	0.51748146531	0.585523949454	0.515855302592	0.71389950296	0.617967301584	0.630117679193	0.576923641251	0.585492666234	0.591491616102	0.647566457404	0.527160861367	0.554873490222	0.682741146648	0.682851892147	0.673703307611	0.620378555245	0.67391602211	0.678805952185	0.639245792401	0.681622221144	0.762825558554	0.708880592515	0.5998888431	0.606584338686	0.540911394899	0.62372994562	0.58032076534	0.462714290375	0.512498652061	0.619463901253	0.50291879187	0.592276207506	0.597454922828	0.664670681712	0.563666948021	0.604342960182	0.587881455163	0.60776743337	0.592806605755	0.580199809635	0.592691109768	0.466469643197	0.565927437675	0.561023485505	0.621193575203	0.620780198367	0.670615758843	0.632428544738	0.705741690724	0.628095876509	0.648091732586	0.659743854493	0.607566091443	0.668343460613	0.490262276028	0.553159695744	0.602872438897	0.670521495246	0.75519472855	0.705604117284	0.71719616991	0.644768311785	0.657413147928	0.697641683836	0.690889523957	0.585777517412	0.537017706488	0.599838608242	0.600056790434	0.611823030753	0.629211791213	0.584047726574	0.55720021554	0.589365205654	0.529819704461	0.569701443884	0.619305562766	0.669670579602	0.721809886066	0.548326240632	0.584777802199	0.550046866137	0.629143546623
M3Ekey217.141042	0.571547246209	0.0	0.600317898763	0.58619417866	0.652056013922	0.649374694687	0.512241025502	0.546633010076	0.594484106713	0.656416215559	0.497988850876	0.708868038461	0.552063849921	0.55325520233	0.635415059066	0.379603205739	0.673414169938	0.620034773221	0.576255816916	0.50697279236	0.517178804742	0.605008738219	0.681680618474	0.626947579861	0.555297712269	0.624057115049	0.52594004694	0.546467596665	0.664341007424	0.486339467216	0.57624129758	0.525778171232	0.548077441094	0.419163423282	0.474941702501	0.655866770985	0.535279766248	0.45224319462	0.517823558076	0.65665012248	0.674881931549	0.593320738045	0.553761724721	0.454269622058	0.586098419019	0.64072879778	0.63294598212	0.585933921684	0.587501147532	0.573616592493	0.570952660294	0.66584517801	0.710889734803	0.618908739121	0.467284524819	0.551497415833	0.509102262357	0.607263301999	0.530832964505	0.492982154782	0.500905245282	0.682576774313	0.507582772144	0.424547298231	0.536178017536	0.562870145296	0.62331048526	0.657559302612	0.650836912427	0.710423162242	0.574011385331	0.529054898707	0.578840363276	0.538471037247	0.578475464025	0.382723701179	0.617662477262	0.532126357999	0.553716765397	0.560087070191	0.655739344002	0.648159362448	0.574690743527	0.59028271486	0.601874986567	0.658441004677	0.632266684307	0.606263260572	0.520576992439	0.599263743788	0.658981134608	0.661702394804	0.637302379581	0.547710999576	0.605622370688	0.635237861774	0.60910512899	0.624259972451	0.598522498437	0.656062156757	0.621624441808	0.605791221488	0.61278203119	0.618709483687	0.59574798751	0.458111287599	0.514056098426	0.437970894692	0.462440193995	0.595755616229	0.654629342811	0.55644669622	0.606651393454	0.520019806883	0.598753353522
M2Space217.140997	0.683173731147	0.600317898763	0.0	0.458183177009	0.469239225655	0.393324336717	0.462689372765	0.392178832483	0.609975447496	0.678151816592	0.721919987831	0.75137258482	0.687897109644	0.678246072257	0.672615136096	0.634757719031	0.463669880932	0.365866751742	0.408879795054	0.435526269694	0.420684048458	0.460059872322	0.694597851089	0.732099907493	0.617539193533	0.656043682309	0.648052628721	0.649076822199	0.692384806527	0.675201970927	0.693811844356	0.672914033873	0.697238208472	0.632954368402	0.662467252582	0.450999494203	0.467645817733	0.45257446117	0.645705969548	0.710046560605	0.696485534535	0.621480007379	0.661262883887	0.633508474176	0.384355725689	0.448772890033	0.451175806345	0.411469609044	0.419797643898	0.425306154388	0.4552613224	0.464185089562	0.466323406782	0.396861577482	0.460426835484	0.690424492233	0.659440958744	0.649644535342	0.640324062361	0.616948051207	0.603147317155	0.791097770452	0.638468449034	0.653174685948	0.659134836134	0.387830299472	0.700722414414	0.687064263625	0.663478545541	0.756820754492	0.677627523897	0.60179802039	0.626819019455	0.705786947439	0.722503095131	0.604447851853	0.748437717208	0.670786855416	0.400657330342	0.476699388232	0.543566118462	0.68245183329	0.641835237734	0.607161985472	0.6341831203	0.780549378805	0.720227533145	0.743756975181	0.638554949192	0.456039146134	0.462157293972	0.440384108438	0.437207816038	0.395060820612	0.412617224676	0.423094520957	0.410014892582	0.672257304599	0.657306395174	0.703826304555	0.662265280808	0.684354838886	0.66139065717	0.755294009955	0.708186403206	0.660817676446	0.661442742498	0.599999282851	0.65500783944	0.386328539958	0.521955288944	0.631046985199	0.696621549823	0.613951767524	0.696005947817
M2Thml217.141005	0.740071786072	0.58619417866	0.458183177009	0.0	0.446000043191	0.46189626858	0.472250541151	0.454952464361	0.651806196919	0.695061338943	0.724776788502	0.832733160963	0.707205864462	0.74243515937	0.756411725003	0.634115280495	0.452935821886	0.457239102522	0.46241221436	0.434865675784	0.50926698827	0.476081607185	0.706420700783	0.770851880431	0.673930737565	0.721476667307	0.698197984872	0.657809978375	0.742542179613	0.719633115858	0.75748110583	0.697800687405	0.71365215613	0.615170598544	0.682541712104	0.480812571259	0.526948040182	0.488823453267	0.701712134316	0.768448524804	0.77417657729	0.643969728231	0.720369902253	0.660623665817	0.368519952649	0.494202748798	0.525963025742	0.514310780107	0.446532238318	0.464895519219	0.487812953015	0.55589570719	0.463125677204	0.431260987351	0.51687824246	0.737554475792	0.721716387257	0.700335135592	0.64402900441	0.695491195154	0.687599901269	0.818055291488	0.721657062109	0.614609618003	0.656206205271	0.474067893086	0.763163489761	0.746154659819	0.713593645641	0.788965020672	0.718175325062	0.650978882208	0.671540862738	0.741396536803	0.747695422305	0.595289612084	0.764931107141	0.661249819408	0.42723224411	0.542390565354	0.531254170591	0.705589505051	0.688534819869	0.623653978506	0.651714787246	0.810445579814	0.780460276115	0.786076148212	0.668927637214	0.525626276976	0.448498203588	0.47275545429	0.439072173763	0.438913104291	0.476644092426	0.466725876518	0.420313397026	0.715482592519	0.724872659677	0.749970100117	0.734627735858	0.703804200688	0.701356971909	0.726698767554	0.769870070694	0.674956066897	0.664666814714	0.633859395851	0.632734193114	0.448279940805	0.555733569163	0.69511633056	0.740540742573	0.670069223665	0.718379501401
M2Gkey217.141106	0.707098071556	0.652056013922	0.469239225655	0.446000043191	0.0	0.452523119306	0.506290603336	0.508793328217	0.638229230835	0.629415582175	0.759337700845	0.809018397374	0.686444845288	0.708774201251	0.725924555493	0.64303758891	0.496128290489	0.42477470652	0.449165227341	0.468509878834	0.484709806313	0.542323717758	0.684633610747	0.749797744227	0.638374689623	0.675340241351	0.677250702563	0.654147060917	0.705441832595	0.714082651505	0.74057718046	0.668965171664	0.697284119834	0.608095094528	0.674627418523	0.473435867111	0.496008525242	0.538493065483	0.660584413889	0.742337550115	0.719234931136	0.625317985828	0.683580959847	0.656319172587	0.450222243176	0.511872695757	0.445267044001	0.455034991724	0.435922779295	0.438342860997	0.490518263118	0.527165058675	0.525528822928	0.421103862391	0.539764812091	0.698681856082	0.696040697921	0.66103438051	0.640898263649	0.651823397219	0.647219047209	0.782577835308	0.685339581566	0.626852459073	0.61313900229	0.445585542763	0.72294037643	0.687573561392	0.718339704865	0.766915448239	0.666075010878	0.64349982366	0.622708747286	0.715442665711	0.74771098379	0.6088220086	0.748486528862	0.65683143328	0.470278592691	0.507998497432	0.593946286585	0.691669468819	0.67465384232	0.596262769269	0.635874035676	0.789358134612	0.742391063031	0.767925052741	0.648413986766	0.504224884225	0.522110140639	0.452352951734	0.41618831523	0.444779538948	0.465137294346	0.449422841941	0.420674451488	0.685519217845	0.691888045665	0.687512663422	0.683082659051	0.6962513396	0.626685336064	0.733637288686	0.741522021322	0.676923828871	0.647855723413	0.648014721075	0.640733893098	0.438762764391	0.632238561982	0.663257163584	0.710466045061	0.649301128615	0.71391340395
M3Pkey217.141031	0.688594648292	0.649374694687	0.393324336717	0.46189626858	0.452523119306	0.0	0.470107613539	0.431684381576	0.614319421184	0.6721210841	0.753727606401	0.765468966506	0.687379997145	0.688744634864	0.684571380655	0.657325700652	0.500415660317	0.446633732149	0.467409794061	0.45338741369	0.481869374459	0.474697847545	0.709879776297	0.737630616957	0.643771458125	0.656222669021	0.66613880371	0.661040925257	0.708717599866	0.689620731219	0.716459250959	0.660089614625	0.712621327671	0.638970257406	0.692171757135	0.471495211639	0.495923996285	0.552597745174	0.646967195361	0.72445141145	0.70782303645	0.622998635797	0.683170319565	0.618845533753	0.422707007648	0.478176200398	0.471906674296	0.42673575056	0.443733839968	0.494977245442	0.426967125133	0.484074893082	0.442157859316	0.408531997655	0.548753327046	0.698668699478	0.679243256523	0.646757502678	0.647677425252	0.642289372385	0.625473092034	0.785018601151	0.65689497155	0.653309935881	0.650898549505	0.478357248188	0.70774212467	0.707833647053	0.696183112822	0.770412789164	0.66495446723	0.61931598835	0.632541083513	0.72293427651	0.714125442603	0.631427492948	0.764067901825	0.671161656545	0.468264122628	0.521830445919	0.506994376512	0.680810638582	0.670096625953	0.587147822868	0.62686498312	0.797343409009	0.724851507383	0.728403874822	0.647435717204	0.512750125076	0.490384512242	0.475533659774	0.463442646609	0.438024610544	0.473715443263	0.428328890785	0.400789763048	0.678508672383	0.670740018426	0.72080001816	0.666578689656	0.675867540307	0.655804166477	0.752044878208	0.725920284502	0.666239236352	0.670990350871	0.618783692223	0.675045401009	0.354800008407	0.509290330016	0.640941064285	0.694962207769	0.621292938808	0.705722566304
M2Xkey217.141016	0.675572996042	0.512241025502	0.462689372765	0.472250541151	0.506290603336	0.470107613539	0.0	0.418936797673	0.559949972191	0.647687409843	0.656654355148	0.775955070075	0.658730666051	0.657485451432	0.687071984124	0.551312419019	0.567575784954	0.475397054976	0.468909374254	0.330419757376	0.47781020478	0.470186399901	0.663876567229	0.694132824153	0.586824061741	0.663225482385	0.601672136192	0.575218636955	0.678719892012	0.641093998215	0.666309715424	0.625543655158	0.672615178025	0.560789075986	0.630503720635	0.466872949866	0.432221686574	0.411394213297	0.596006693662	0.66204081512	0.684552527046	0.580834116391	0.658934820324	0.568768021187	0.472098978855	0.522539105343	0.498559873495	0.493566600163	0.485840154375	0.435651814366	0.475181537645	0.557446975537	0.564503739708	0.48053755022	0.386463737377	0.647895149249	0.624485959697	0.605590917247	0.59372500852	0.592165501948	0.574056131443	0.75548517439	0.614704677991	0.565703356428	0.584984163849	0.437068294338	0.675263274372	0.669281962573	0.659932908263	0.734848020256	0.619819042529	0.560316277007	0.596538414185	0.656134516827	0.688390203839	0.527174937482	0.708565529852	0.622713085017	0.460506426844	0.469707009502	0.513739242767	0.667331251904	0.593988031218	0.517118051086	0.552099609123	0.745272393693	0.698475330525	0.720492698239	0.58289682264	0.492872699188	0.568074345772	0.517695180416	0.486896601216	0.454849706219	0.47667054266	0.503584177048	0.46701110645	0.654831182758	0.650529275382	0.68297934559	0.650596368699	0.648860712492	0.614152101843	0.714346709844	0.688231589823	0.575632131143	0.600872588971	0.540516183514	0.579362979795	0.470978875663	0.538161382474	0.580677604446	0.636339209422	0.607763464857	0.640687553327
M3Jkey217.141017	0.674917040606	0.546633010076	0.392178832483	0.454952464361	0.508793328217	0.431684381576	0.418936797673	0.0	0.597026371635	0.69521425122	0.676868701008	0.762253651542	0.680519543612	0.660204750927	0.663415973835	0.607342837299	0.511068375211	0.483042734763	0.457909446618	0.393194789752	0.45514784022	0.466647222744	0.698496231688	0.712265456028	0.605858309445	0.680444090483	0.639755706424	0.636059941	0.699804152111	0.662787090224	0.683548767812	0.675020751035	0.686037934779	0.61431306969	0.663580756059	0.520890778267	0.466173949515	0.43215708619	0.627139815429	0.677515228667	0.708241811352	0.624730154833	0.683029717738	0.630751967127	0.407918854599	0.443109420195	0.511907410503	0.461631277069	0.466744088287	0.418349249437	0.406812085269	0.53354539384	0.492434838575	0.450650009574	0.425567907024	0.67981855146	0.637686376454	0.65316682358	0.641633323759	0.618443933236	0.613418705578	0.773217083562	0.633350059824	0.630713608202	0.648841704476	0.472722013306	0.672776549305	0.69670649765	0.667182864969	0.739855033208	0.651214006022	0.58347419096	0.615485982755	0.689459194035	0.701817013051	0.57442498492	0.73527680196	0.662535770938	0.432131047694	0.486105797874	0.531189144859	0.678768441389	0.630059514907	0.582287543734	0.616676237818	0.76902394264	0.718792795112	0.748247530028	0.626546170356	0.489135641781	0.487468253263	0.492889888842	0.482095704726	0.410384861387	0.484946326955	0.491166995189	0.410106436104	0.680135217216	0.669740482496	0.678620178934	0.661196310942	0.66595551657	0.6430248386	0.735150664328	0.716980071565	0.621017364321	0.635225207177	0.587199397766	0.629769059944	0.444752330065	0.485070662729	0.617687729973	0.668214750695	0.619127714306	0.686396219356
M2Ukey217.141085	0.622909640188	0.594484106713	0.609975447496	0.651806196919	0.638229230835	0.614319421184	0.559949972191	0.597026371635	0.0	0.579127407897	0.676647082043	0.731014661604	0.609309919381	0.65672519699	0.654264192979	0.590246741155	0.713342707327	0.583337237794	0.583410416091	0.560245454863	0.608892146681	0.651287871171	0.578103068975	0.657531937172	0.509261693286	0.562272088255	0.565457413803	0.588215438846	0.576165282009	0.657480942054	0.634875240235	0.593068127777	0.6424157487	0.570980770508	0.634392075206	0.595218545694	0.563390195805	0.567019633619	0.592771624826	0.6069802599	0.576719785341	0.540718908852	0.599156370807	0.555843740503	0.610073392318	0.655764733574	0.61394070386	0.565212804048	0.597406279644	0.612982425152	0.602422388971	0.702135152618	0.728165485145	0.627012476353	0.530004311928	0.638088338454	0.596162680349	0.541987496667	0.510186778588	0.611911017524	0.564404251314	0.753896203796	0.591556466364	0.597756479394	0.599341211011	0.587005486447	0.604297131344	0.52997839824	0.591997792528	0.642932731993	0.589433340219	0.525502381519	0.531535408441	0.612985233157	0.657203512565	0.564291148403	0.696808630344	0.581368751783	0.623259772158	0.533144704239	0.682359729602	0.590081324308	0.537388503046	0.475652438062	0.527192236588	0.748138258888	0.65481640596	0.676810177208	0.567206730552	0.588659353829	0.707347662047	0.637642021061	0.631535754806	0.589700120961	0.597369007578	0.645030452248	0.639564341791	0.578484927002	0.564741688963	0.563853319606	0.538448241518	0.571475289802	0.483650515947	0.736303515489	0.677896569762	0.631211997558	0.592862498272	0.505135570549	0.616578124417	0.616821329686	0.701824498733	0.53417157141	0.614102378885	0.542623167244	0.599881725124
M2Fkey217.141078	0.637446416372	0.656416215559	0.678151816592	0.695061338943	0.629415582175	0.6721210841	0.647687409843	0.69521425122	0.579127407897	0.0	0.701018810706	0.736674826071	0.596922532963	0.647701164206	0.65240113032	0.572824903103	0.781248389922	0.625466319244	0.61617033599	0.656043872504	0.642256869757	0.737718856279	0.570530072761	0.680114092842	0.566422739992	0.608175950012	0.604675196614	0.549437469015	0.585327602365	0.635104322402	0.631307962949	0.60668094172	0.621068473867	0.550518444831	0.57665133122	0.666826718751	0.624886094193	0.656443063127	0.621274407249	0.685892102166	0.666561953977	0.555211432831	0.567903724476	0.591398981715	0.69116040054	0.694592401061	0.647997276379	0.626297370716	0.692817995866	0.650643501383	0.67542711079	0.72300221527	0.769848916492	0.702813736139	0.624171670563	0.640649769416	0.651553259938	0.591966060411	0.544326602238	0.616522481308	0.59815302557	0.736828440376	0.622945338036	0.557232298628	0.504552077974	0.655931422289	0.677803725379	0.613526618502	0.667379254674	0.676874389524	0.614814191708	0.579198682181	0.578659102421	0.625594189041	0.636925667081	0.587526669111	0.678750723508	0.580378523348	0.701865198883	0.615801765663	0.735722038276	0.619518828568	0.618517730849	0.575348814336	0.57892041536	0.732763966979	0.651712522603	0.713775799744	0.598709885271	0.63898379426	0.776369622253	0.702952354918	0.686694565787	0.66090712632	0.632329822433	0.71888828676	0.697269969864	0.600940119905	0.594314256517	0.684109572585	0.648494696349	0.602658010902	0.58207788221	0.696651640779	0.650390011815	0.638034555415	0.586971863722	0.591691537311	0.599441434068	0.675088554987	0.773581793142	0.604245928731	0.659440178302	0.559963422125	0.613488191265
