	M9Ekey217.141044	M9Indl217.141066	M2Tkey217.141054	M2Gkey217.141106	M2Enter217.141012	M2Skey217.141089	M2Midr217.141082	M2Indl217.141074	M3Midr217.141101	F11Space217.141071	F10Space217.141045	M9Pkey217.141096	M9Fkey217.141065	M9Okey217.141076	M9Akey217.141086	M9Indr217.140998	M2Ckey217.141092	M2Ykey217.141095	M2Ukey217.141085	M2Rinr217.141027	M2Nkey217.141052	M2Thml217.141005	M3Pinr217.141057	M3Kkey217.141046	M3Ykey217.141023	M3Lkey217.141097	M3Bkey217.141059	F12Space217.141068	R1Space217.141077	M9Wkey217.141090	M9Nkey217.141010	M9Mkey217.141007	M9Bkey217.141032	M9Midr217.141060	M9Thml217.141021	M2Ikey217.141000	M2Mkey217.141014	M2Thmr217.141087	M11Space217.141008	M3Ckey217.141073	M3Space217.141098	M3Midl217.141103	M9Xkey217.141072	M9Rinl217.141020	M2Vkey217.141022	M2Rkey217.141050	M2Pkey217.141105	M2Lkey217.141048	M2Qkey217.141102	M2Kkey217.141041	M2Pinl217.141003	M2Xkey217.141016	M2Ekey217.141011	M2Fkey217.141078	M2Indr217.141062	M10Space217.141036	M3Jkey217.141017	M3Indr217.140993	M3Indl217.141067	M9Gkey217.141099	M9Vkey217.141018	M9Kkey217.141033	M9Ckey217.141013	M9Rinr217.141080	U1Space217.141075	M2Hkey217.141026	M3Nkey217.141001	M3Akey217.141006	M3Mkey217.141107	M3Zkey217.141083	M3Rinl217.141100	M3Rkey217.141025	M3Qkey217.141051	M9Enter217.141084	M9Dkey217.141053	M9Thmr217.141049	L3Space217.141024	U2Space217.141047	M2Bkey217.141063	M2Pinr217.141039	M2Rinl217.141058	M3Wkey217.141104	M3Xkey217.141055	M3Pinl217.141094	M3Rinr217.141091	M9Space217.141079	M9Ykey217.141029	M9Qkey217.141019	U3Space217.141064	M2Okey217.141061	M2Dkey217.140994	M2Zkey217.141015	M2Space217.140997	M2Lsft217.141056	M2Jkey217.141038	M2Wkey217.141070	M2Akey217.141030	M3Pkey217.141031	M3Ekey217.141042	M3Lsft217.141088	M3Hkey217.141093	M3Rsft217.140995	M3Thmr217.140996	M9Hkey217.140999	M9Skey217.141004	M9Pinr217.141002	M9Midl217.141043	M9Pinl217.141035	L1Space217.141069	M2Rsft217.141034	M2Midl217.141009	M3Gkey217.141037	M3Vkey217.141028	M3Tkey217.141081	M3Thml217.141040
M9Ekey217.141044	0.0	0.401167881192	0.45866478462	0.548136600786	0.45360974161	0.401877607035	0.437857951064	0.433029974034	0.184445703363	0.347319792652	0.262551180331	0.050283090407	0.0683263322732	0.0329822524105	0.0525715970659	0.0329275737156	0.677881991835	0.39784186793	0.434736688642	0.422025032249	0.439516488021	0.54963681157	0.173306185418	0.112424765626	0.108129489496	0.159558829299	0.0470485417965	0.195692394906	0.182947482777	0.0536601623769	0.0385128001649	0.0445276334834	0.0573988787388	0.0450168222344	0.0727649529924	0.475845071691	0.33620226479	0.495931838563	0.278996852471	0.0785698407596	0.104095147552	0.0920776116899	0.038346100492	0.0410522621863	0.528945520471	0.617125649255	0.516805754025	0.420669714437	0.536385978953	0.382736248757	0.465282982967	0.466809814366	0.712836485929	0.52912326983	0.431129270619	0.0810426003917	0.138718817746	0.175248711452	0.0604082189959	0.0381949100786	0.0421243521297	0.0818325808561	0.0362956005652	0.051422919502	0.452758242578	0.510272035481	0.0712225778965	0.108260558151	0.10961946745	0.0911703393642	0.0661199670665	0.184238632091	0.121800965464	0.0593741998073	0.0466749970822	0.0995956522728	0.250041036656	0.141705915982	0.491139322969	0.374846592799	0.407701640078	0.0628718916207	0.0961160990846	0.173055031897	0.310827235396	0.0543651087527	0.0490947086055	0.0672166119486	0.362554753998	0.391454106907	0.665565861046	0.608401460321	0.563804602439	0.382862750588	0.470844746522	0.480817054777	0.549625134552	0.0885338116149	0.0724465010743	0.193589369494	0.132369238537	0.121742862329	0.131059827168	0.0414715786325	0.0383129497046	0.0571224416816	0.0220792574925	0.0572877515089	0.207360427747	0.523113412308	0.558981894799	0.0762654373238	0.0568670468255	0.0917402935747	0.0491487544422
M9Indl217.141066	0.401167881192	0.0	0.354771811609	0.341302067817	0.27823777378	0.405981636445	0.342600740489	0.391580470539	0.358900302899	0.342773447686	0.421601428968	0.420075510959	0.379239856732	0.404576077976	0.411366195074	0.403574474543	0.617157172366	0.270740882035	0.241575386596	0.360988011438	0.269546262078	0.530383781689	0.38282353325	0.386006642284	0.38479193806	0.403503959632	0.404726700988	0.332177143342	0.40411656267	0.437416432516	0.425028231722	0.396456949062	0.38712782871	0.414379519632	0.356963799314	0.351110779882	0.255129380701	0.314142904001	0.253331844866	0.431261154124	0.368638444947	0.422797702775	0.393874994932	0.404088606369	0.390300300082	0.535718041935	0.396335491332	0.344729679137	0.389607770269	0.236974929712	0.357890325007	0.430398973598	0.653773222721	0.429382669138	0.2715455645	0.448263054601	0.403670596138	0.321220783367	0.402918540311	0.392909589586	0.379429728389	0.436498796146	0.418090372165	0.377054658183	0.243365922469	0.2979258825	0.422923275572	0.423335742371	0.412291139333	0.435989482903	0.446794577259	0.317357792676	0.406672737507	0.386831094916	0.408035326404	0.349093875605	0.39099709453	0.391819775862	0.319095384113	0.291454687039	0.462234260327	0.41351815043	0.405671348737	0.379218339818	0.257440827447	0.381328173199	0.4067260327	0.446045381753	0.400378746911	0.231676394347	0.600006010302	0.499704443576	0.377813272252	0.281601774239	0.340208214445	0.420542463985	0.407142692439	0.396654090719	0.387590909053	0.418808875119	0.416037704789	0.400520447709	0.327568037898	0.41003002093	0.410038886098	0.375870180054	0.405936641407	0.375386091834	0.28970626803	0.345133547928	0.540053611656	0.412505806161	0.431554626834	0.410329985667	0.415959942403
M2Tkey217.141054	0.45866478462	0.354771811609	0.0	0.17590795844	0.160121660432	0.149752627154	0.156541898681	0.152141489653	0.380150492914	0.349760887026	0.473243076612	0.453259947833	0.424221102497	0.451987744776	0.446578199851	0.459204342225	0.373210509645	0.181863184058	0.168771254249	0.157768946797	0.185956004739	0.27254732929	0.406607897389	0.416460750163	0.42789352284	0.426162255342	0.455802112945	0.348367478735	0.441526166656	0.497915155347	0.477149204072	0.443132515881	0.439943277612	0.466077171852	0.413151420062	0.149460865854	0.254886323919	0.204827468667	0.306984752655	0.47814420566	0.416511484378	0.45364628945	0.44493652631	0.451771550301	0.164659047492	0.272414880615	0.165787533583	0.185516247927	0.149527737698	0.206660191966	0.138849681972	0.164356565114	0.417697474634	0.182290324546	0.1850481643	0.506658770021	0.434261450802	0.357569677028	0.4389149262	0.440666348061	0.431012112511	0.494197102576	0.473886672821	0.435799164289	0.304045037626	0.221264617642	0.468367435757	0.464169805199	0.444606251484	0.483273336565	0.504766753815	0.356018599117	0.435361128214	0.432707733274	0.450743445156	0.387469969275	0.426751501243	0.405090019301	0.127076202496	0.153697206831	0.268909355436	0.462796461811	0.452831318551	0.390619047812	0.331304043228	0.438827582549	0.461438712054	0.505067628254	0.381367207351	0.212808387079	0.356582488444	0.262408265769	0.204953619938	0.166708205788	0.186363545458	0.136779918372	0.143331316763	0.436199697261	0.425046530259	0.4433339408	0.466525561068	0.432773201347	0.385156122345	0.456028850229	0.454449454844	0.422906407922	0.459967315833	0.425315830904	0.334735615497	0.146859928942	0.305889645872	0.464830313363	0.485500970632	0.454058660269	0.462605830893
M2Gkey217.141106	0.548136600786	0.341302067817	0.17590795844	0.0	0.137957569876	0.270988601789	0.23461844416	0.276337431478	0.468648618672	0.416690567563	0.555999990777	0.549231558885	0.508581840728	0.540441953874	0.540709594613	0.54757543381	0.380635849196	0.223060574762	0.153454495544	0.268183391269	0.184926704839	0.377867732289	0.489143538676	0.500617406161	0.516674275367	0.509578906259	0.545437436897	0.420249487385	0.532106532115	0.588131253059	0.566057777861	0.530745689309	0.525728181598	0.553066202118	0.498795949826	0.176672149918	0.27296451537	0.193392328183	0.365479527007	0.566976365659	0.502558418063	0.540521364913	0.533393246963	0.538867000555	0.14700231241	0.27771587796	0.155203007783	0.248947051454	0.128238245184	0.210481977295	0.241076740787	0.265617984691	0.417162242951	0.184384288172	0.207710315788	0.59412372902	0.523485469515	0.431712822415	0.524924021898	0.529387496951	0.521199890062	0.582796280966	0.566325502783	0.518196788552	0.293337687002	0.154148297319	0.557954417145	0.552564920301	0.532333946945	0.57025538419	0.592040667592	0.430892667939	0.51671140694	0.520536116603	0.539549315973	0.469557028194	0.513476413544	0.491428866	0.111169173991	0.266669927784	0.385858561444	0.551330288569	0.538268912517	0.470531486993	0.369272433028	0.524956901049	0.549852994924	0.597157157502	0.454413938303	0.201897842576	0.362685950167	0.233450858712	0.12055427758	0.207379039651	0.181672458544	0.229260432754	0.139940642409	0.523881329332	0.516628091209	0.531305448149	0.557017690662	0.519350569292	0.457401212896	0.539060085116	0.546901942975	0.513341015509	0.548610574619	0.510032494778	0.399848543412	0.118115220338	0.41986031169	0.552132364244	0.573371331103	0.542981231857	0.550577820155
M2Enter217.141012	0.45360974161	0.27823777378	0.160121660432	0.137957569876	0.0	0.242833847964	0.216240855898	0.258051614809	0.365500340653	0.324867118033	0.454529435294	0.458091649371	0.404766967145	0.445852179673	0.448511683424	0.455081922724	0.435395108043	0.119022363429	0.0917358937359	0.244036866466	0.103203309507	0.379792026588	0.387089051615	0.399213639938	0.409067109657	0.410096855357	0.445537366897	0.336417783502	0.424990409683	0.495071540105	0.468020026373	0.433778666574	0.419300383189	0.46288712493	0.405176570677	0.133803993013	0.186278773785	0.20120573646	0.272451704243	0.46111550414	0.395013486214	0.443062831117	0.437574643277	0.443702554658	0.16830567771	0.326940488145	0.158480537571	0.15466184986	0.168051393521	0.125595029571	0.227901443547	0.240634816558	0.470219598541	0.19173622549	0.176531988169	0.488001107843	0.418367008054	0.325971815319	0.424635783662	0.432212074096	0.426779184712	0.475675948594	0.47154671152	0.420840988991	0.234790449406	0.151527223425	0.450236037362	0.445676054902	0.426004123201	0.464219306416	0.484094918796	0.326109305928	0.414996739492	0.414539635436	0.443120116319	0.375452853765	0.406833724281	0.401726135026	0.119861469539	0.17406486235	0.358390208378	0.444709243512	0.43295793244	0.372270621569	0.268236345098	0.431100361955	0.441521476225	0.502811284532	0.375742711874	0.13862720383	0.418213509978	0.28938731686	0.151907352836	0.123469446954	0.132921341383	0.225216385275	0.18822359541	0.417351245455	0.414679553038	0.424984936428	0.448057316601	0.416169719847	0.355537548928	0.4464005608	0.453584920826	0.420586889374	0.45544214116	0.418354829521	0.296521334205	0.153198222264	0.420830865657	0.444193070312	0.466050707624	0.436638443589	0.444605349743
M2Skey217.141089	0.401877607035	0.405981636445	0.149752627154	0.270988601789	0.242833847964	0.0	0.175876986402	0.0982805984599	0.335248643895	0.352563725095	0.430834193505	0.410573004964	0.372077419381	0.398134853757	0.400381065553	0.404662387632	0.398573891694	0.251153570986	0.256990180871	0.134793406032	0.260141825719	0.224420294814	0.368980920184	0.370429469231	0.381885823486	0.384638064858	0.400343048904	0.332450787268	0.391684026644	0.439054710168	0.419667967176	0.38528410881	0.383410546778	0.418713687323	0.366506969325	0.22683648887	0.28686744246	0.275827352448	0.314667109185	0.426024773419	0.374228070879	0.41852423473	0.386860409405	0.404298318833	0.262665649425	0.325082354693	0.252198349892	0.222844031283	0.239978560312	0.247045188358	0.150157214398	0.14347081086	0.440254767885	0.257989032127	0.244478307953	0.450880522398	0.380950639224	0.32949516349	0.39230512517	0.384144877898	0.37705394294	0.437384007229	0.415992309051	0.386069568616	0.374412205088	0.305811271041	0.415607646392	0.416741925538	0.39594234052	0.429050626283	0.446213867661	0.328577364251	0.389012522914	0.379540766521	0.402464461787	0.344589077686	0.372837364067	0.363698209556	0.222904255518	0.181280665552	0.144423169871	0.40834155296	0.402396550238	0.355404180313	0.341242445433	0.387827633754	0.403856610577	0.447028060295	0.390199297117	0.276028976029	0.372949136169	0.324405683532	0.297064178407	0.221990024669	0.260976261538	0.126661039463	0.227429117271	0.386471425699	0.372272047241	0.390506764818	0.412393114269	0.388400626251	0.350415788948	0.404605408261	0.401780063218	0.371247147767	0.405108845178	0.376498761581	0.322218035572	0.216506811794	0.257142747712	0.407155383533	0.428619436633	0.400283626683	0.41379091131
M2Midr217.141082	0.437857951064	0.342600740489	0.156541898681	0.23461844416	0.216240855898	0.175876986402	0.0	0.150572603257	0.354678123543	0.319626050245	0.446191731023	0.437877993988	0.40150891216	0.431114003713	0.430445191662	0.439205139594	0.470280535013	0.230658916332	0.202640926155	0.116396129789	0.22986507705	0.312364426656	0.384413968671	0.39464803823	0.406710753841	0.404036833102	0.435515564653	0.317991435311	0.422682612623	0.478843664907	0.456597303525	0.421630325923	0.418108255664	0.440763031965	0.39033503219	0.203294741398	0.222886958127	0.127295229764	0.300225109443	0.457195157551	0.391619440843	0.432285800232	0.424957772117	0.429825300941	0.263200936154	0.367210100899	0.246728503921	0.234865595723	0.251724605814	0.197847812162	0.189542433861	0.225495609786	0.512235347257	0.282585472248	0.111116418824	0.48643873292	0.414880501806	0.320270112248	0.41533964038	0.419832330958	0.410977878485	0.473406836282	0.455081737252	0.409946677945	0.30519941273	0.260189278057	0.448376773799	0.444237820425	0.424418570441	0.461603595878	0.482054205289	0.321938444484	0.41471904728	0.411883839613	0.430436538926	0.364145699582	0.409133780471	0.396794798279	0.205418997083	0.143158427364	0.235930197279	0.442622178553	0.428552686126	0.362673418624	0.29147371186	0.416205332148	0.439159464272	0.485882810686	0.378795583113	0.226640013816	0.449539855878	0.334225100509	0.272431218886	0.194416403569	0.208106165665	0.208451835293	0.235284946445	0.415924370974	0.405899127215	0.420506196061	0.446680007191	0.410308869597	0.346640824499	0.433523212453	0.437335010411	0.404008747587	0.439913369312	0.40160482289	0.293530774018	0.216248791238	0.323470799626	0.441189359358	0.462361169829	0.432829650298	0.440694172818
M2Indl217.141074	0.433029974034	0.391580470539	0.152141489653	0.276337431478	0.258051614809	0.0982805984599	0.150572603257	0.0	0.365329703332	0.360259486199	0.45469175892	0.440294591167	0.403826675276	0.42626566465	0.432373757892	0.429111264184	0.415146461135	0.267865318435	0.248737303406	0.0885020492873	0.267317949221	0.208390327847	0.397920522714	0.400966583572	0.411871161422	0.4158528292	0.428798613942	0.357910619074	0.421055436117	0.467300601972	0.447433591688	0.414029352467	0.413398090108	0.44541249422	0.393344059265	0.247389575225	0.289886025532	0.24019015334	0.30874538593	0.456347735575	0.405812935123	0.445323682433	0.415717140944	0.432988808264	0.275827103301	0.340469518305	0.273962123504	0.246962969911	0.254569545446	0.250743923553	0.114587769498	0.181633102522	0.45399451615	0.280205002537	0.222074190628	0.478950944489	0.410869480303	0.351840019704	0.421288041214	0.412448802389	0.408542895519	0.467198591478	0.444394565696	0.409270180905	0.357635522796	0.314057608135	0.446334219319	0.448550863932	0.426837314401	0.457847269256	0.474262481002	0.355198047148	0.419639130265	0.409307282149	0.43210386578	0.369028523283	0.398941214532	0.387936465684	0.232374821752	0.163062753595	0.142092331299	0.436436210447	0.432335058664	0.384528590829	0.348931587327	0.416281574873	0.432186208054	0.477005113865	0.407588988815	0.274597226966	0.378539339105	0.334850551288	0.309287022592	0.239802793308	0.266646581683	0.149646401449	0.216418339755	0.417883236488	0.403562090074	0.42239204029	0.443023861552	0.416722078035	0.372910475863	0.434232310919	0.433093149711	0.40010173003	0.432496905664	0.405514587357	0.336590477374	0.21895678356	0.216541814536	0.435454497686	0.459158013792	0.431608410321	0.442891623779
M3Midr217.141101	0.184445703363	0.358900302899	0.380150492914	0.468648618672	0.365500340653	0.335248643895	0.354678123543	0.365329703332	0.0	0.210861235266	0.186020958562	0.188473369086	0.143156550361	0.179187801363	0.184303100136	0.188504215422	0.631759769711	0.282609618438	0.357772500122	0.345145381704	0.333394083236	0.501150373277	0.059069778279	0.121676528511	0.0966385700868	0.126426687053	0.18040421055	0.131114903492	0.0996391923648	0.223175825488	0.194656369798	0.165205686075	0.152090474987	0.198952516056	0.152010468942	0.345828840494	0.245960324489	0.413108185715	0.170076258614	0.148715444505	0.105745506652	0.170405244101	0.170086238509	0.175737762353	0.449861377581	0.544908788021	0.402842210283	0.273341946256	0.454828973577	0.298921440304	0.398499931947	0.40463846652	0.667154385627	0.436780086301	0.349776302378	0.19774733762	0.110551001862	0.0859257500131	0.153802998728	0.169176594301	0.161652088735	0.154493124866	0.199079431645	0.161551936367	0.360637323953	0.387705985362	0.151197669379	0.146199843195	0.137679594248	0.144777133822	0.202788369073	0.0795704331154	0.124350921474	0.145753030945	0.17382577567	0.126617243716	0.138115718908	0.132414021664	0.413974945728	0.281198536007	0.352845381067	0.158886550908	0.141365209855	0.0925986223095	0.16579723049	0.162750776072	0.160427886573	0.228320801171	0.252263415348	0.315614454705	0.612178727881	0.528410563178	0.456537941546	0.309252804588	0.332997352893	0.405733965574	0.473228548959	0.134494021691	0.140607022097	0.107308120884	0.109828255753	0.120144760623	0.115596279863	0.183426620781	0.186789629837	0.159141474752	0.187149024119	0.15337862638	0.127032598731	0.439956210797	0.511724384919	0.133079977716	0.165686794309	0.121840418341	0.168021196821
F11Space217.141071	0.347319792652	0.342773447686	0.349760887026	0.416690567563	0.324867118033	0.352563725095	0.319626050245	0.360259486199	0.210861235266	0.0	0.28935171233	0.351376808179	0.301619775584	0.342527291722	0.342553594451	0.350885540136	0.603774707307	0.250015129002	0.317040893539	0.342501706541	0.309660326627	0.479509150713	0.224370581369	0.292230514093	0.266261222838	0.27246550883	0.34381922902	0.237553006972	0.242063203621	0.386654131408	0.360275144329	0.331130222723	0.315113028754	0.358893928457	0.301325891393	0.312220736914	0.225561500108	0.373296886163	0.224252699821	0.313507381552	0.268052279615	0.333322365765	0.32859761899	0.33698688871	0.398620040641	0.507292200231	0.340740422214	0.261968511579	0.413730473984	0.263127298981	0.381769301299	0.412159909818	0.64017209847	0.386164414497	0.323510205613	0.360729171287	0.264978141738	0.227035546297	0.32430090618	0.330770275341	0.323163205968	0.317241085852	0.363994976873	0.316282009762	0.272306115055	0.350962367277	0.320275901178	0.307423178186	0.300376831061	0.313334661568	0.368267946077	0.216054455447	0.289628238531	0.308047784903	0.336369956989	0.283372585571	0.241283420728	0.268076681351	0.386338948773	0.27496890183	0.409699459397	0.326352424901	0.304066826512	0.239897870195	0.177962467811	0.323145311965	0.32358798832	0.393257450737	0.196806691274	0.279168133206	0.587910195733	0.47732423464	0.395238748764	0.265372507051	0.274368505551	0.391077558716	0.438216288586	0.3000922808	0.313071582769	0.259004904653	0.271808413673	0.280278952383	0.254926068821	0.34766475816	0.347914370968	0.319087416995	0.347423835881	0.31214969724	0.220257738312	0.40975122956	0.489696817804	0.303236459569	0.331352152834	0.292056940261	0.329852607856
