Acidobacteria Actinobacteria Alphaproteobacteria Anaerolineae Aquificae Bacilli Bacteroidia Betaproteobacteria Caldilineae Clostridia Deferribacteres Deltaproteobacteria Epsilonproteobacteria Flavobacteria Fusobacteria Gammaproteobacteria Lentisphaeria Mollicutes Nitrospira Opitutae Planctomycetacia Sphingobacteria Spirochaetes True_Cyanobacteria Verrucomicrobiae
HS122 0 1 1 1 0 1 0 1 1 0 1 1 1 1 0 1 0 0 1 0 1 1 0 0 0
HS123 1 1 1 1 0 1 1 1 1 0 1 1 1 1 0 1 0 1 1 0 1 1 1 0 0
HS124 0 1 1 1 0 0 0 1 1 1 1 1 1 1 0 1 0 0 1 0 0 1 0 0 0
HS125 0 0 1 0 0 1 0 1 1 0 0 1 1 1 0 1 0 0 0 0 1 1 0 0 0
HS126 0 1 1 1 0 1 1 1 1 0 1 1 1 1 0 1 0 1 1 0 0 1 1 0 0
HS127 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 0 0
HS129 0 1 1 1 0 1 0 1 1 0 1 1 1 1 0 1 0 1 1 0 1 1 0 0 0
HS130 1 0 1 1 0 1 0 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 0
HS132 0 1 1 1 0 1 0 1 1 1 1 1 1 1 0 1 0 1 1 0 1 1 1 0 0
HS133 1 1 1 1 0 1 0 1 1 1 1 1 1 1 0 1 0 1 1 0 1 1 1 0 1
HS134 0 0 1 1 0 1 0 0 1 0 1 1 1 1 1 1 0 1 1 0 1 1 1 0 0
HS135 0 1 1 1 0 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 0 0
HS136 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 0 0 0
HS137 0 0 1 1 0 1 1 1 1 0 1 1 1 1 0 1 0 1 1 0 1 1 1 0 0
HS138 0 1 1 1 0 1 0 1 1 1 1 1 1 1 0 1 0 1 1 0 1 1 1 0 0
HS139 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 0 1
