Sum Adj.R.square
0.01 557 0.0559668717503308
0.05 533 0.0614501089255944
0.1 504 0.0770302152447159
0.15 478 0.0951507376587089
0.2 448 0.105441301979026
0.25 419 0.115312058637631
0.3 388 0.110657050574115
0.35 365 0.0869407509388975
0.4 337 0.0621776153037383
0.45 306 -0.0101497221847056
0.5 269 -0.0563452867056837
0.55 242 -0.0389581552883835
0.6 214 -0.0536440623586638
0.65 186 -0.0263522459719696
0.7 156 0.0265765638530291
0.75 126 -0.0480257232663364
0.8 111 -0.0480257232663366
0.85 80 NA
0.9 48 NA
0.95 16 NA
0.99 0 NA
