Sum Adj.R.square
0.01 698 0.0454922489365308
0.05 670 0.0514007013395639
0.1 633 0.050727599489032
0.15 598 0.0772543170614296
0.2 562 0.0928356931971227
0.25 527 0.112330090941461
0.3 492 0.128674373986289
0.35 452 0.112151283369266
0.4 418 0.103889127310271
0.45 380 -0.0325468049478721
0.5 348 -0.0207230635662756
0.55 311 -0.0337629925826983
0.6 271 -0.0725386998337567
0.65 243 -0.0379418266264748
0.7 200 -0.025838746594375
0.75 170 -0.0693339886073927
0.8 140 -0.0384568462396797
0.85 95 -0.279753819194693
0.9 64 NA
0.95 32 NA
0.99 0 NA
