Sum Adj.R.square
0.01 1872 0.0693456162864865
0.05 1796 0.0748037957896179
0.1 1701 0.0800689280110466
0.15 1607 0.0879690847166763
0.2 1512 0.0956495862077087
0.25 1418 0.104133294391296
0.3 1323 0.114981025722794
0.35 1229 0.128959823370698
0.4 1133 0.138898595349748
0.45 1039 0.150761312767468
0.5 945 0.164067046410997
0.55 847 0.178927533652242
0.6 755 0.198682628532785
0.65 658 0.205007863968056
0.7 562 0.205966500374683
0.75 466 0.176167838879861
0.8 370 0.191305333481466
0.85 282 0.106218161769885
0.9 181 0.118627776163619
0.95 94 -0.0738265170361936
0.99 16 NA
