Sum Adj.R.square
0.01 1955 0.0681064440906006
0.05 1876 0.0728323759869263
0.1 1777 0.0784662836567211
0.15 1678 0.0858500646893918
0.2 1580 0.0939944636701843
0.25 1481 0.102955447019155
0.3 1382 0.113107298676252
0.35 1283 0.12704297264363
0.4 1185 0.140430404272868
0.45 1085 0.149780268754806
0.5 987 0.16475458548038
0.55 885 0.180764633292196
0.6 790 0.193208846138152
0.65 689 0.206157917556782
0.7 587 0.209305171336817
0.75 491 0.181562331308042
0.8 395 0.202801146488474
0.85 295 0.100964373101232
0.9 194 0.115274609897818
0.95 94 -0.0738265170361936
0.99 16 NA
