Sum RDA1.SiO2 RDA1.PO4 RDA1.NH4 RDA1.BCC
CO_0.01 NA NA NA NA NA
CO_0.05 94 -0.0648464912831161 -0.212790374621808 0.0293466480386998 -0.694965524715418
CO_0.1 194 -0.0400030268130679 0.0738738520853312 0.803344837220331 -0.511542315725055
CO_0.15 295 0.00779391374784456 -0.186522473479467 0.735819890266685 -0.656411769160187
CO_0.2 395 0.131433207141567 -0.255644430525288 0.743443862921681 -0.735613026220476
CO_0.25 491 0.227543003662777 -0.276977655309596 0.734171078516226 -0.800245676488007
CO_0.3 491 0.227543003662777 -0.276977655309596 0.734171078516226 -0.800245676488007
CO_0.35 587 0.30284152819732 -0.235403315873387 0.74784147455749 -0.834520852698601
CO_0.4 689 0.283159416096848 -0.334388249615681 0.673798343791754 -0.864503234151263
CO_0.45 790 0.243365232133835 -0.340293164528665 0.663445693629299 -0.853995747319223
CO_0.5 885 0.275222830649775 -0.357431863869812 0.642572093198481 -0.878376371668495
CO_0.55 987 0.289760986016946 -0.337306636149526 0.655266517752264 -0.880523147685103
CO_0.6 1185 0.279372076185209 -0.342053556129427 0.644183720239423 -0.88296596318079
CO_0.65 1283 0.290203076154879 -0.344512045498538 0.642989258372664 -0.88735713378472
CO_0.7 1382 0.292167088977274 -0.347522880951247 0.641154758384375 -0.888570169857888
CO_0.75 1481 0.293523850345004 -0.347867626813242 0.640819070414676 -0.889211893770566
CO_0.8 1580 0.293194269714517 -0.346858180192933 0.640264747206393 -0.889712228878159
CO_0.85 1678 0.292211503435523 -0.346347134537098 0.641021281242938 -0.888970673428954
CO_0.9 1777 0.289501825430645 -0.346607998736545 0.64241923031794 -0.886951363257116
CO_0.95 1876 0.287629616230356 -0.347147077733311 0.641560931594649 -0.886683838942451
CO_0.99 1955 0.286948098957472 -0.347202697242979 0.641843200368466 -0.886220394308792
CO_1 1975 0.287410202784846 -0.347055754675327 0.641916128641293 -0.886384377338868
