o__ o__0319-7L14 o__32-20 o__A31 o__A4b o__Acidimicrobiales o__Acidobacteriales o__Actinomycetales o__Aeromonadales o__AKYG885 o__Alteromonadales o__Anaerolineales o__Armatimonadales o__B07_WMSP1 o__Bacillales o__Bacteroidales o__BB36 o__Bdellovibrionales o__Bifidobacteriales o__BPC110 o__Burkholderiales o__Caldilineales o__Campylobacterales o__Cardiobacteriales o__Caulobacterales o__Cenarchaeales o__CFB-26 o__Chlamydiales o__Chloroflexales o__Chlorophyta o__Chromatiales o__Chroococcales o__Chthonomonadales o__CL500-15 o__Clostridiales o__Coriobacteriales o__Cryptophyta o__CTD005-82B-02 o__d153 o__Dehalococcoidales o__Deinococcales o__Desulfitobacterales o__Desulfobacterales o__Desulfovibrionales o__Desulfuromonadales o__DRC31 o__DS-18 o__E2 o__Elusimicrobiales o__Enterobacteriales o__Entotheonellales o__envOPS12 o__Erysipelotrichales o__Euglenozoa o__Euzebiales o__EW055 o__Exiguobacterales o__FAC88 o__Flavobacteriales o__Fusobacteriales o__Gallionellales o__GCA004 o__Gemellales o__Gemmatales o__Gemmatimonadales o__GIF10 o__Glaucocystophyceae o__GN03 o__GN09 o__H39 o__Halobacteriales o__Haptophyceae o__Herpetosiphonales o__HN1-15 o__Holophagales o__Hydrogenophilales o__I025 o__Ignavibacteriales o__JH-WHS47 o__KD3-145 o__koll13 o__Lactobacillales o__LD1-PA13 o__Legionellales o__Leptospirales o__MC47 o__Methanobacteriales o__Methanosarcinales o__Methylacidiphilales o__Methylococcales o__Methylophilales o__MIZ46 o__mle1-12 o__mle1-48 o__MVP-88 o__Mycoplasmatales o__Myxococcales o__NB1-j o__Neisseriales o__Nitrosomonadales o__Nitrososphaerales o__Nitrospirales o__Nostocales o__Oceanospirillales o__OM190 o__OPB54 o__Opitutales o__Oscillatoriales o__Pasteurellales o__PBS-18 o__pGrfC26 o__Phycisphaerales o__Pirellulales o__Planctomycetales o__Procabacteriales o__Pseudanabaenales o__Pseudomonadales o__Puniceicoccales o__RCP1-27 o__RF39 o__RFP12 o__Rhizobiales o__Rhodobacterales o__Rhodocyclales o__Rhodospirillales o__Rickettsiales o__Roseiflexales o__Rubrobacterales o__S0208 o__S085 o__Sediment-1 o__SHA-124 o__SHA-20 o__SHA-98 o__SJA-101 o__SJA-15 o__SJA-36 o__SM1D11 o__Solibacterales o__Solirubrobacterales o__Spartobacteriales o__Sphingobacteriales o__Sphingomonadales o__Spirochaetales o__Stramenopiles o__Streptophyta o__Sva0725 o__SWA11 o__Synechococcales o__Synergistales o__Syntrophobacterales o__Thermales o__Thermomicrobiales o__Thiotrichales o__Turicibacterales o__Verrucomicrobiales o__Victivallales o__WCHB1-07 o__WCHB1-50 o__WCHB1-81 o__Xanthomonadales o__YS2 o__Z20 o__ZB1
CrustControlR1 1 0 0 0 1 1 1 1 0 1 0 0 1 0 1 1 0 1 0 0 1 1 0 0 1 0 0 0 0 1 1 1 1 0 1 0 0 1 0 0 1 0 0 0 1 0 1 0 0 1 0 1 0 0 1 0 0 1 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 1 0 1 0 1 0 0 0 0 1 1 0 0 1 0 1 0 1 1 1 1 1 1 0 0 1 1 0 0 0 0 1 1 0 1 1 0 0 0 0 1 1 1 1 1 1 1 0 1 0 0 0 0 0 0 0 1 1 1 1 1 1 0 1 1 1 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0
CrustControlR2 1 0 0 1 1 1 1 1 0 1 0 0 1 0 1 1 0 1 0 0 1 1 0 0 1 1 0 1 0 1 1 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 1 0 1 0 0 1 0 0 1 1 0 1 0 0 1 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 1 0 1 0 1 0 0 0 0 1 1 0 0 1 0 1 0 0 1 1 1 1 1 0 0 1 1 0 0 0 0 1 1 0 1 1 0 0 0 0 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 1 1 1 1 1 1 0 1 1 1 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0
CrustControlR3 1 1 0 1 1 1 1 1 0 1 0 0 1 1 1 1 0 1 0 0 1 1 0 0 1 0 0 0 0 1 1 1 1 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 1 0 0 1 0 1 0 0 1 1 1 1 1 0 0 1 1 0 0 0 0 1 0 1 1 1 0 0 0 0 1 1 1 1 1 1 1 0 1 0 0 0 0 0 0 0 1 1 1 1 1 1 0 1 1 1 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0
HCanyon0R1 1 1 0 0 1 1 1 1 1 1 1 1 1 0 1 1 0 1 0 1 1 1 1 0 1 1 1 1 0 1 1 1 0 1 1 1 1 0 0 1 0 1 1 1 1 0 1 1 1 1 0 1 1 0 0 0 0 1 1 1 1 0 0 1 1 1 0 1 1 1 0 0 0 0 1 1 0 1 1 0 1 1 0 0 1 1 0 0 0 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 0 0 1 1 0 1 1 1 1 1 0 1 1 0 0 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 1 0 1 0 1 0 1 0 0 1 0 1 0 0 1 0 1 0 0 1
HCanyon0R2 1 1 0 0 1 1 1 1 1 0 1 1 1 0 1 1 0 1 0 1 1 1 1 0 1 0 1 1 0 0 1 1 1 1 1 1 1 0 0 1 0 1 1 1 1 0 1 1 1 1 0 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 0 1 1 0 0 0 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 0 0 1 0 1 1 1 1 1 1 1 1 0 0 1 1 0 1 1 1 1 1 0 1 1 0 0 1 1 1 1 1 1 1 0 1 0 1 1 0 0 1 0 1 1 0 1 1 1 1 1 1 1 0 1 0 1 0 1 0 0 1 0 1 1 1 1 0 1 1 1 1
HCanyon0R3 1 1 0 0 1 1 1 1 1 0 1 1 0 0 1 1 0 1 0 1 1 1 1 0 1 0 0 1 0 1 1 1 0 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1 0 1 1 1 0 1 1 0 0 0 0 1 1 1 0 1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 0 0 1 0 1 1 1 1 1 1 1 1 0 0 1 1 0 1 1 1 1 1 0 1 1 0 0 1 1 1 1 1 1 1 0 1 0 1 1 0 0 1 0 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 1 1 0 0 1 1 1 1
HCanyon10R1 1 1 0 1 1 1 1 1 0 1 0 0 1 0 1 1 0 1 0 0 1 1 0 0 1 0 0 1 0 1 1 1 1 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 1 1 0 1 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 0 1 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 1 1 1 1 1 1 0 1 0 0 0 0 0 0 0 1 1 1 1 1 1 0 1 1 1 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0
HCanyon10R2 1 1 0 0 1 1 1 1 0 1 1 0 1 1 1 1 0 1 1 0 1 1 0 0 1 0 1 1 0 0 1 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 1 1 1 1 0 0 0 1 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 1 1 1 1 0 1 0 1 0 0 1 1 1 0 1 0 0 1 1 0 0 0 0 1 1 0 0 1 0 0 0 0 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 1 1 1 1 1 1 0 0 1 1 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0
HCanyon10R3 1 1 0 0 1 1 1 1 0 1 0 0 1 1 1 1 0 1 0 0 1 1 0 0 1 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 1 0 0 1 0 1 0 1 1 1 1 1 1 0 0 1 1 0 0 0 0 1 1 1 0 1 0 0 0 0 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 1 1 1 1 1 1 0 1 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0
HCanyon11R1 1 1 0 0 1 1 1 1 0 1 0 0 1 1 1 1 0 1 0 0 1 1 0 0 1 1 0 1 0 1 1 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1 1 0 0 1 0 1 1 1 1 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 1 1 0 1 0 1 0 0 0 1 0 1 1 0 1 0 1 0 1 1 1 1 1 1 0 0 1 1 0 0 0 0 1 1 0 0 1 0 0 0 0 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 0 1 1 1 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0
