f__ f__125ds10 f__211ds20 f__5B-12 f__A29 f__Acaryochloridaceae f__Acetobacteraceae f__Acidimicrobiaceae f__Acidobacteriaceae f__ACK-M1 f__Actinomycetaceae f__Actinopolysporaceae f__Actinosynnemataceae f__Aerococcaceae f__Aeromonadaceae f__AKIW874 f__AKYH910 f__Alcaligenaceae f__Alcanivoracaceae f__Alicyclobacillaceae f__Alteromonadaceae f__Aminiphilaceae f__Anaerolinaceae f__Armatimonadaceae f__At425_EubF1 f__Aurantimonadaceae f__Bacillaceae f__Bacteriovoracaceae f__Bacteroidaceae f__Balneolaceae f__Bartonellaceae f__Bdellovibrionaceae f__Beijerinckiaceae f__Beutenbergiaceae f__Bifidobacteriaceae f__Bogoriellaceae f__Bradyrhizobiaceae f__Brevibacteriaceae f__Brucellaceae f__BSV43 f__Burkholderiaceae f__Caldilineaceae f__Campylobacteraceae f__Cardiobacteriaceae f__Carnobacteriaceae f__Catabacteriaceae f__Caulobacteraceae f__Cellulomonadaceae f__Cenarchaeaceae f__Chlamydomonadaceae f__Chloroflexaceae f__Chromatiaceae f__Chthonomonadaceae f__CL500-29 f__Clostridiaceae f__ClostridialesFamilyXI.IncertaeSedis f__ClostridialesFamilyXII.IncertaeSedis f__ClostridialesFamilyXIII.IncertaeSedis f__Cohaesibacteraceae f__Comamonadaceae f__Coriobacteriaceae f__Corynebacteriaceae f__Coxiellaceae f__Crenotrichaceae f__Cryomorphaceae f__Cryptosporangiaceae f__Cyanobacteriaceae f__Cyclobacteriaceae f__Cystobacteraceae f__Dehalobacteriaceae f__Dehalococcoidaceae f__Deinococcaceae f__Dermabacteraceae f__Dermacoccaceae f__Dermocarpellaceae f__Desulfitobacteraceae f__Desulfobacteraceae f__Desulfobulbaceae f__Desulfohalobiaceae f__Desulfomicrobiaceae f__Desulfonatronumaceae f__Desulfovibrionaceae f__Desulfuromonadaceae f__Dietziaceae f__Dolo_23 f__EB1017 f__Ectothiorhodospiraceae f__Endoecteinascidiaceae f__Endozoicimonaceae f__Enterobacteriaceae f__Enterococcaceae f__Entotheonellaceae f__Erysipelotrichaceae f__Erythrobacteraceae f__Eubacteriaceae f__Euzebiaceae f__Exiguobacteraceae f__FCPT525 f__FFCH4570 f__Flammeovirgaceae f__Flavobacteriaceae f__Flexibacteraceae f__Frankiaceae f__Fusobacteriaceae f__FW f__Gallionellaceae f__Gemellaceae f__Gemmataceae f__Gemmatimonadaceae f__Geobacteraceae f__Geodermatophilaceae f__Glycomycetaceae f__Gomontiellaceae f__Gomphosphaeriaceae f__Haliangiaceae f__Halobacteriaceae f__Halomonadaceae f__Halothiobacillaceae f__Helicobacteraceae f__Herpetosiphonaceae f__Holophagaceae f__HTCC2089 f__HTCC2188 f__Hydrogenophilaceae f__Hyphomicrobiaceae f__Hyphomonadaceae f__Iamiaceae f__Idiomarinaceae f__Ignavibacteriaceae f__Intrasporangiaceae f__Isosphaeraceae f__Jonesiaceae f__JTB38 f__Kineosporiaceae f__Koribacteraceae f__Kouleothrixaceae f__kpj58rc f__Lachnospiraceae f__Lactobacillaceae f__LD19 f__Legionellaceae f__Leptospiraceae f__Leuconostocaceae f__Listeriaceae f__Litincolaceae f__Marinilabiaceae f__Methanobacteriaceae f__Methanosarcinaceae f__Methylobacteriaceae f__Methylococcaceae f__Methylocystaceae f__Methylophilaceae f__Microbacteriaceae f__Micrococcaceae f__Microcystaceae f__Micromonosporaceae f__Microthrixaceae f__MND4 f__Moraxellaceae f__Mycobacteriaceae f__Mycoplasmataceae f__Myxococcaceae f__Nakamurellaceae f__Nannocystaceae f__NB1-i f__Neisseriaceae f__Nitrosomonadaceae f__Nitrososphaeraceae f__Nitrospiraceae f__Nocardiaceae f__Nocardioidaceae f__Nocardiopsaceae f__Nostocaceae f__ntu14 f__Oceanospirillaceae f__Oleiphilaceae f__OM60 f__Opitutaceae f__Oscillatoriaceae f__Oxalobacteraceae f__Paenibacillaceae f__Parachlamydiaceae f__Pasteurellaceae f__Patulibacteraceae f__Pelobacteraceae f__Peptococcaceae f__Phormidiaceae f__Phycisphaeraceae f__Phyllobacteriaceae f__Pirellulaceae f__Piscirickettsiaceae f__Planctomycetaceae f__Planococcaceae f__Polyangiaceae f__Porphyromonadaceae f__Prevotellaceae f__Procabacteriaceae f__Promicromonosporaceae f__Propionibacteriaceae f__PRR-10 f__Pseudanabaenaceae f__Pseudoalteromonadaceae f__Pseudomonadaceae f__Pseudonocardiaceae f__Puniceicoccaceae f__Rhabdochlamydiaceae f__Rhizobiaceae f__Rhodobacteraceae f__Rhodobiaceae f__Rhodocyclaceae f__Rhodospirillaceae f__Rhodothermaceae f__Rickettsiaceae f__Rikenellaceae f__Rivulariaceae f__Roseiflexaceae f__Rubrobacteraceae f__Ruminococcaceae f__S47 f__Sanguibacteraceae f__Saprospiraceae f__Scytonemataceae f__SHA-116 f__SHA-31 f__SHA-4 f__Shewanellaceae f__Simkaniaceae f__Sinobacteraceae f__Solibacteraceae f__Solirubrobacteraceae f__Spartobacteriaceae f__Sphingobacteriaceae f__Sphingomonadaceae f__Spirochaetaceae f__Spirulinaceae f__Sporichthyaceae f__Sporolactobacillaceae f__Staphylococcaceae f__Streptococcaceae f__Streptomycetaceae f__Streptosporangiaceae f__Succinivibrionaceae f__SUP05 f__Symbiobacteriaceae f__Synechococcaceae f__Syntrophaceae f__Syntrophobacteraceae f__Syntrophomonadaceae f__Syntrophorhabdaceae f__Thermaceae f__Thermoactinomycetaceae f__Thermodesulfovibrionaceae f__Thermomonosporaceae f__Thiotrichaceae f__TK06 f__Trebouxiophyceae f__Tsukamurellaceae f__Turicibacteraceae f__Veillonellaceae f__Verrucomicrobiaceae f__Verrucomicrobiasubdivision3 f__wb1_P06 f__WCHD3-02 f__WD294 f__Xanthobacteraceae f__Xanthomonadaceae f__Xenococcaceae
CrustControlR1 1 0 1 1 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 1 0 0 1 1 0 0 0 1 1 0 0 0 1 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 1 1 0 1 0 0 0 1 0 1 0 0 0 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1 1 1 1 1 0 0 0 1 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 1 1 1 1 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1 1 1 1 0 0 1 1 0 1 0 0 0 1 1 1 1 1 1 0 1 0 0 0 0 1 0 1 1 0 0 1 1 0 1 0 1 1 0 1 1 1 0 1 0 0 0 0 1 0 1 1 0 0 1 1 1 1 1 1 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 1 1 1
CrustControlR2 1 0 1 1 0 0 1 1 0 0 0 0 1 0 0 1 0 1 0 1 1 0 0 1 0 1 1 1 0 0 0 1 1 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 1 0 0 0 1 1 1 1 0 0 1 0 1 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 1 1 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 1 1 1 1 0 1 0 0 1 1 0 1 0 1 0 0 1 1 1 0 1 0 1 0 0 0 0 1 1 1 0 0 0 1 1 0 1 0 1 1 0 1 1 1 0 1 0 0 0 0 1 0 1 1 0 0 1 1 1 1 1 1 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 1 1 1 1 1 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 1 1
CrustControlR3 1 0 1 0 0 0 1 1 1 0 0 0 1 0 0 1 0 1 0 1 1 0 0 1 0 0 1 1 0 0 0 1 1 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 1 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 1 0 0 1 1 1 1 1 0 0 0 0 1 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 1 0 0 1 1 0 1 0 0 0 0 1 1 1 0 1 0 1 0 0 0 1 1 1 1 1 0 0 1 1 0 1 0 1 1 0 0 1 1 0 0 1 0 1 0 1 0 1 1 0 0 1 1 1 1 1 1 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 1 1 1 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 1
HCanyon0R1 1 1 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 1 1 1 0 1 1 0 0 1 1 1 0 0 1 1 0 0 0 1 0 0 0 1 1 1 0 0 1 1 1 1 1 0 1 0 1 1 0 1 0 0 1 0 1 0 1 1 0 1 1 1 0 1 0 0 0 0 1 1 1 0 1 0 1 1 0 1 1 1 1 0 1 0 0 1 1 0 0 0 1 0 1 1 1 1 1 0 1 0 1 1 1 1 0 0 1 1 0 0 0 1 0 1 1 1 1 1 1 1 0 1 1 0 0 1 1 1 0 1 1 0 0 0 1 0 0 0 1 0 0 1 1 1 1 1 1 1 1 1 0 1 1 0 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1 1 0 1 1 1 1 0 0 0 0 1 1 0 1 1 0 0 1 1 1 1 1 1 1 0 0 0 1 1 0 0 1 0 1 0 1 1 0 1 1 1 1 1 1 1 1 0 0 1 1 0 0 0 0 0 1 1 1 0 0 0 0 1 0 1 0 0 0 0 1 1 1 1 1 0 0 1 0
HCanyon0R2 1 1 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 1 1 0 1 1 0 0 1 1 0 0 1 1 1 0 0 0 1 0 1 0 1 1 0 0 0 1 1 0 0 0 0 1 1 1 1 1 1 0 0 1 0 0 1 1 1 0 1 1 1 0 1 0 0 0 0 1 1 1 0 1 0 1 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 1 1 1 1 0 1 1 1 1 1 1 0 0 0 1 0 1 0 1 0 1 1 0 1 1 1 0 0 1 1 0 0 1 0 1 0 1 1 1 1 0 1 0 0 0 1 0 0 1 1 1 1 1 1 1 1 1 0 1 1 0 1 0 1 1 1 1 1 1 0 1 0 1 0 1 0 1 1 0 1 0 0 0 1 1 0 1 1 1 1 0 1 0 1 1 1 0 0 0 1 1 0 1 0 0 1 1 1 1 1 1 1 1 0 0 0 1 1 0 0 1 0 1 0 1 0 0 1 1 1 1 1 1 1 1 0 0 0 1 0 0 0 0 0 1 1 1 0 1 0 0 1 0 1 0 0 0 0 1 1 1 0 1 0 1 1 1
HCanyon0R3 1 1 1 0 0 1 1 0 1 1 0 0 0 0 1 0 0 1 1 1 1 0 1 0 0 0 1 1 0 0 0 1 0 0 0 1 1 0 0 0 1 1 1 0 0 1 1 0 0 0 0 1 0 1 1 0 1 0 0 1 0 0 1 1 1 0 1 1 1 1 1 0 0 0 0 1 1 1 0 1 0 1 1 0 0 1 1 0 0 1 0 1 1 1 0 0 1 1 0 1 1 1 1 1 0 1 0 1 1 1 1 0 0 0 1 0 0 0 1 0 1 1 0 1 1 1 1 1 1 0 0 0 1 0 1 0 1 1 1 1 0 1 0 0 0 1 0 1 1 1 1 1 1 1 1 1 0 0 1 0 0 1 0 1 0 1 1 1 1 0 1 0 1 0 1 0 1 1 0 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 1 1 0 1 1 0 0 1 1 1 1 1 1 1 0 0 0 1 1 0 0 1 0 0 0 1 0 0 1 1 1 1 1 1 1 1 0 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 1 0 1 0 1 0 0 1 1 1 0 1 0 1 1 1
HCanyon10R1 1 0 1 0 0 0 1 1 0 0 1 0 1 0 0 1 0 1 0 1 0 0 0 1 0 0 1 1 0 0 0 1 1 0 0 0 1 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 1 0 1 1 0 0 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 1 1 0 0 1 1 1 1 0 0 1 0 1 1 0 1 1 1 0 1 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 1 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 1 0 0 1 1 0 0 1 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 0 1 1 1 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 1 0 0 1 1 1 1 1 1 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 1 1 1 1 1 0 0 1 0 1 1 1 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 0 1 1 1
HCanyon10R2 1 0 1 1 0 0 1 1 1 0 1 0 1 0 0 1 1 1 0 1 0 0 0 1 0 1 1 1 0 0 0 1 1 0 1 1 1 1 0 0 1 1 0 0 0 0 1 1 0 0 0 1 0 1 0 1 0 0 0 1 0 1 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 1 0 0 1 1 1 1 1 0 0 0 1 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 1 1 0 1 1 0 0 0 1 0 0 1 1 1 0 1 0 0 0 0 0 1 1 1 1 1 1 0 1 0 0 1 0 1 1 0 1 1 1 0 1 0 0 0 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 1 0 1 1 1 1 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 1 1 0 0 0 0 1 1
HCanyon10R3 1 0 1 1 0 0 1 1 1 0 1 0 1 0 0 1 0 1 0 1 0 0 0 1 0 0 1 1 1 0 0 1 1 0 0 1 1 0 0 0 1 1 0 0 0 0 1 1 0 0 0 1 1 1 0 1 0 0 0 1 0 1 1 0 0 1 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 1 1 0 1 1 1 1 1 0 0 0 0 1 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 1 0 0 1 1 0 0 0 1 0 1 1 1 1 0 1 1 1 0 0 0 0 1 0 1 1 0 0 1 0 0 1 0 1 1 0 1 1 1 0 0 1 1 1 0 0 0 1 1 0 0 1 1 1 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 1 0 0 0 0 1 1
HCanyon11R1 1 0 1 1 0 0 1 0 0 0 0 0 1 0 0 1 1 1 0 1 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 1 1 0 0 0 1 1 0 0 0 0 1 1 1 0 0 1 0 1 0 1 0 0 0 1 0 1 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 1 0 1 0 1 1 0 1 1 1 1 1 1 0 0 0 1 1 0 1 1 1 0 1 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 1 0 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0 1 1 1 0 1 1 0 1 0 0 0 1 0 1 0 1 0 1 1 1 1 0 1 0 1 0 0 0 0 1 0 1 1 1 0 1 0 0 1 0 1 1 0 1 1 1 0 0 0 1 1 0 0 0 1 1 0 1 1 1 1 1 1 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 1 1 1 1 0 0 1 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 1 1 1
