k__Archaea k__Bacteria
CrustControlR1 1 1
CrustControlR2 1 1
CrustControlR3 1 1
HCanyon0R1 1 1
HCanyon0R2 1 1
HCanyon0R3 1 1
HCanyon10R1 1 1
HCanyon10R2 1 1
HCanyon10R3 1 1
HCanyon11R1 1 1
HCanyon11R2 1 1
HCanyon11R3 1 1
HCanyon12R1 1 1
HCanyon12R2 1 1
HCanyon12R3 1 1
HCanyon1R1 1 1
HCanyon1R2 1 1
HCanyon1R3 1 1
HCanyon2R1 1 1
HCanyon2R2 1 1
HCanyon2R3 1 1
HCanyon3R1 1 1
HCanyon3R2 1 1
HCanyon3R3 1 1
HCanyon4R1 1 1
HCanyon4R2 1 1
HCanyon4R3 1 1
HCanyon5R1 1 1
HCanyon5R2 1 1
HCanyon5R3 1 1
HCanyon6R1 1 1
HCanyon6R2 1 1
HCanyon6R3 1 1
HCanyon7R1 1 1
HCanyon7R2 1 1
HCanyon7R3 1 1
HCanyon8R1 1 1
HCanyon8R2 1 1
HCanyon8R3 1 1
HCanyon9R1 1 1
HCanyon9R2 1 1
HCanyon9R3 1 1
Halls0R1 1 1
Halls0R2 1 1
Halls10R1 1 1
Halls10R2 1 1
Halls1R1 1 1
Halls1R2 1 1
Halls2R1 1 1
Halls2R2 1 1
Halls3R1 1 1
Halls3R2 1 1
Halls4R1 1 1
Halls4R2 1 1
Halls5R1 1 1
Halls6R1 1 1
Halls6R2 1 1
Halls7R1 1 1
Halls7R2 1 1
Halls8R1 1 1
Halls8R2 1 1
Halls9R1 1 1
Halls9R2 1 1
Stillton0R1 1 1
Stillton0R2 1 1
Stillton0R3 1 1
Stillton10R1 1 1
Stillton10R2 1 1
Stillton10R3 1 1
Stillton11R1 1 1
Stillton11R3 1 1
Stillton1R1 1 1
Stillton1R2 1 1
Stillton2R1 1 1
Stillton2R2 0 1
Stillton2R3 1 1
Stillton3R1 1 1
Stillton3R2 1 1
Stillton3R3 1 1
Stillton4R1 1 1
Stillton4R2 1 1
Stillton4R3 1 1
Stillton5R2 1 1
Stillton6R1 1 1
Stillton6R2 1 1
Stillton6R3 1 1
Stillton7R1 1 1
Stillton7R2 1 1
Stillton7R3 1 1
Stillton8R1 1 1
Stillton8R3 1 1
Stillton9R1 1 1
Stillton9R2 1 1
Stillton9R3 1 1
