whole.sig ENV1.sig ENV2.sig ENV3.sig ENV4.sig
CO_0.01 NA NA NA NA NA
CO_0.05 0.689 0.359 0.533 0.532 0.135
CO_0.1 0.117 0.148 0.674 0.26 0.459
CO_0.15 0.116 0.075 0.721 0.232 0.409
CO_0.2 0.008 0.068 0.743 0.034 0.22
CO_0.25 0.006 0.114 0.637 0.08 0.225
CO_0.3 0.003 0.058 0.658 0.069 0.126
CO_0.35 <0.001 0.039 0.543 0.049 0.052
CO_0.4 0.001 0.048 0.689 0.07 0.085
CO_0.45 <0.001 0.065 0.632 0.112 0.059
CO_0.5 <0.001 0.08 0.547 0.092 0.065
CO_0.55 <0.001 0.068 0.638 0.095 0.055
CO_0.6 <0.001 0.05 0.574 0.113 0.05
CO_0.65 <0.001 0.056 0.593 0.154 0.062
CO_0.7 <0.001 0.08 0.578 0.146 0.081
CO_0.75 <0.001 0.092 0.564 0.161 0.109
CO_0.8 <0.001 0.127 0.522 0.192 0.118
CO_0.85 <0.001 0.14 0.559 0.204 0.14
CO_0.9 <0.001 0.188 0.55 0.253 0.174
CO_0.95 <0.001 0.218 0.528 0.243 0.173
CO_0.99 <0.001 0.237 0.529 0.308 0.209
CO_1 <0.001 0.224 0.543 0.277 0.228
