Phylum Class Order Family Genus OTUs_completeDS OTUs_wholeDS
0.01 157 262 415 557 698 1872 1955
0.05 148 250 397 533 670 1796 1876
0.1 133 236 378 504 633 1701 1777
0.15 133 225 353 478 598 1607 1678
0.2 121 200 328 448 562 1512 1580
0.25 108 186 310 419 527 1418 1481
0.3 108 171 290 388 492 1323 1382
0.35 94 171 268 365 452 1229 1283
0.4 94 156 244 337 418 1133 1185
0.45 79 141 231 306 380 1039 1085
0.5 79 126 203 269 348 945 987
0.55 64 111 188 242 311 847 885
0.6 48 96 158 214 271 755 790
0.65 48 80 143 186 243 658 689
0.7 32 64 112 156 200 562 587
0.75 32 64 96 126 170 466 491
0.8 16 48 80 111 140 370 395
0.85 16 32 48 80 95 282 295
0.9 0 16 32 48 64 181 194
0.95 0 0 16 16 32 94 94
0.99 0 0 0 0 0 16 16
