Phylum Class Order Family Genus OTUs_completeDS OTUs_wholeDS
0.01 16 393 836 1309 1897 22129 22129
0.05 16 377 800 1256 1819 21235 21235
0.1 16 358 758 1188 1723 20117 20117
0.15 16 338 716 1125 1628 19000 19000
0.2 16 314 671 1052 1530 17881 17881
0.25 16 295 633 992 1429 16762 16762
0.3 16 273 586 920 1341 15646 15646
0.35 16 250 549 857 1241 14527 14527
0.4 16 238 493 788 1144 13409 13409
0.45 16 208 463 716 1053 12294 12294
0.5 16 192 416 656 951 11172 11172
0.55 0 176 368 592 861 10055 10055
0.6 0 144 336 528 752 8940 8940
0.65 0 128 288 448 656 7821 7821
0.7 0 112 240 384 560 6700 6700
0.75 0 96 208 320 464 5584 5584
0.8 0 64 160 256 368 4463 4463
0.85 0 48 112 192 272 3345 3345
0.9 0 32 80 128 176 2227 2227
0.95 0 16 32 64 80 1104 1104
0.99 0 0 0 0 16 208 208
