o__ o__0319-7L14 o__A4b o__Acidimicrobiales o__Acidobacteriales o__Actinomycetales o__Aeromonadales o__Alteromonadales o__Bacillales o__Bacteroidales o__Bdellovibrionales o__Bifidobacteriales o__Blgi18 o__Burkholderiales o__Campylobacterales o__Cardiobacteriales o__Caulobacterales o__CFB-26 o__Chromatiales o__Clostridiales o__Coriobacteriales o__CW040 o__Deinococcales o__Desulfovibrionales o__Enterobacteriales o__Erysipelotrichales o__EW055 o__Flavobacteriales o__Fusobacteriales o__Gemmatales o__Gemmatimonadales o__HN1-15 o__Hydrogenophilales o__I025 o__koll13 o__Lactobacillales o__Legionellales o__MC47 o__Methylococcales o__Methylophilales o__MIZ46 o__Mycoplasmatales o__Myxococcales o__Neisseriales o__Nitrosomonadales o__Nitrospirales o__Nostocales o__Oceanospirillales o__OPB54 o__Oscillatoriales o__Pasteurellales o__Pseudomonadales o__RF39 o__Rhizobiales o__Rhodobacterales o__Rhodocyclales o__Rhodospirillales o__Rickettsiales o__Roseiflexales o__Rubrobacterales o__Solibacterales o__Solirubrobacterales o__Sphingobacteriales o__Sphingomonadales o__Spirochaetales o__Synergistales o__Syntrophobacterales o__Thermotogales o__Verrucomicrobiales o__Vibrionales o__Victivallales o__Xanthomonadales
M13Urin.140575 1 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
M64Urin.140764 1 0 0 0 0 1 1 1 1 1 0 1 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
M44Uric.140688 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
M12Aptr.140800 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
M41Kner.140735 1 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 1 0 1 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1
F24Plmr.140433 1 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 1 0 0 1 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1 0 1 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1
M53Tong.140327 1 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 1 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
M42Glns.140719 1 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1
F31Indl.140679 1 1 0 1 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1
M33Fotl.140701 1 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0
